,EntryID,Headword,Country
0,d3e598Brockhaus-1809,Die Addresse,England
1,d3e1585Brockhaus-1809,Alceste,Wieland
2,d3e2199Brockhaus-1809,Amadis,Wieland
3,d3e5626Brockhaus-1809,Die Bacchante,Wieland
4,d3e10297Brockhaus-1809,Britannien,England
5,d3e15367Brockhaus-1809,Combabus,Wieland
6,d3e16806Brockhaus-1809,Curland,Curland
7,d3e16806Brockhaus-1809,Curland,Curland
8,d3e16806Brockhaus-1809,Curland,Rußland
9,d3e16840Brockhaus-1809,Curland (Interims-Nachtrag),Curland
10,d3e17127Brockhaus-1809,Dännemark,Jütland
11,d3e19340Brockhaus-1809,Dionysius [2],Wieland
12,d3e19890Brockhaus-1809,Claude Joseph Dorat,Wieland
13,d3e23117Brockhaus-1809,Die Kaiserin Faustina,Wieland
14,d3e27035Brockhaus-1809,Die Gartenkunst,England
15,d3e27505Brockhaus-1809,Die Generalstaaten,Holland
19,d3e30063Brockhaus-1809,Griechenland,Griechenland
20,d3e30063Brockhaus-1809,Griechenland,Griechenland
21,d3e30234Brockhaus-1809,Großbritannien und Irland,England
22,d3e30234Brockhaus-1809,Großbritannien und Irland,Schottland
23,d3e30234Brockhaus-1809,Großbritannien und Irland,Schottland
24,d3e30234Brockhaus-1809,Großbritannien und Irland,Irland
25,d3e30234Brockhaus-1809,Großbritannien und Irland,England
26,d3e30234Brockhaus-1809,Großbritannien und Irland,England
27,d3e30234Brockhaus-1809,Großbritannien und Irland,Schottland
28,d3e30234Brockhaus-1809,Großbritannien und Irland,Irland
29,d3e30234Brockhaus-1809,Großbritannien und Irland,England
30,d3e30234Brockhaus-1809,Großbritannien und Irland,Schottland
31,d3e30234Brockhaus-1809,Großbritannien und Irland,Hochland
32,d3e30234Brockhaus-1809,Großbritannien und Irland,Niederland
33,d3e31713Brockhaus-1809,Das Churfürstenthum Hannover,England
34,d3e34619Brockhaus-1809,Holland,Nordholland
35,d3e34619Brockhaus-1809,Holland,Holland
36,d3e34837Brockhaus-1809,Quintus Horatius Flaccus,Wieland
37,d3e35216Brockhaus-1809,Die Huronen,Mohakerland
44,d3e36405Brockhaus-1809,Irland,Irland
45,d3e36405Brockhaus-1809,Irland,Irland
46,d3e36405Brockhaus-1809,Irland,Irland
47,d3e36405Brockhaus-1809,Irland,Irland
48,d3e36405Brockhaus-1809,Irland,Irland
49,d3e36405Brockhaus-1809,Irland,Irland
50,d3e36879Brockhaus-1809,Italien,Welschland
51,d3e37874Brockhaus-1809,Die Johanniterritter,England
52,d3e38687Brockhaus-1809,Die Jury,England
53,d3e38861Brockhaus-1809,Der Kaffee,England
54,d3e38861Brockhaus-1809,Der Kaffee,Deutschland
55,d3e39433Brockhaus-1809,Das Kartenspiel,Deutschland
56,d3e39491Brockhaus-1809,Die Kartoffeln,Deutschland
57,d3e40697Brockhaus-1809,Die Kosaken,Rußland
58,d3e40836Brockhaus-1809,Kosciusko,Rußland
60,d3e41930Brockhaus-1809,Labrador oder Neubritannien,Neufundland
61,d3e43632Brockhaus-1809,Die Leibeigenschaft,Deutschland
62,d3e43632Brockhaus-1809,Die Leibeigenschaft,Rußland
63,d3e43632Brockhaus-1809,Die Leibeigenschaft,Deutschland
64,d3e44557Brockhaus-1809,Die Letten,Liefland
65,d3e44557Brockhaus-1809,Die Letten,Ehstland
66,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Esthland
67,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Liefland
68,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Esthland
69,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Liefland
70,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Curland
71,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Esthland
72,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Esthland
73,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Liefland
74,d3e44779Brockhaus-1809,Das Herzogthum Liefland,Liefland
75,d3e46170Brockhaus-1809,Lucianus,Wieland
76,d3e46339Brockhaus-1809,Ludwig der vierzehnte,Holland
78,d3e48517Brockhaus-1809,Magellanienland,Magelhänsland
85,d3e51890Brockhaus-1809,Maria,England
86,d3e52772Brockhaus-1809,Das Marschland,Maschland
87,d3e53069Brockhaus-1809,Das Maschland oder Marschland,Geestland
88,d3e53847Brockhaus-1809,Mayland,Mailand
89,d3e54313Brockhaus-1809,Der Meerschaum,Griechenland
90,d3e55651Brockhaus-1809,Die Methodisten,England
91,d3e55874Brockhaus-1809,Miltiades,Griechenland
92,d3e56405Brockhaus-1809,Die Minstrels,England
93,d3e56405Brockhaus-1809,Die Minstrels,Deutschland
94,d3e59606Brockhaus-1809,Der Münzfuß,Deutschland
95,d3e61782Brockhaus-1809,Der Negerhandel,England
96,d3e62804Brockhaus-1809,Die Niederlande,Deutschland
97,d3e62804Brockhaus-1809,Die Niederlande,Holland
98,d3e62804Brockhaus-1809,Die Niederlande,Friesland
99,d3e62804Brockhaus-1809,Die Niederlande,England
100,d3e62804Brockhaus-1809,Die Niederlande,England
101,d3e62804Brockhaus-1809,Die Niederlande,Holland
102,d3e63820Brockhaus-1809,Die vereinigten Staaten von Nordamerika,Congreßland
103,d3e63928Brockhaus-1809,Der Nordamerikanische Krieg,England
104,d3e63928Brockhaus-1809,Der Nordamerikanische Krieg,England
105,d3e63928Brockhaus-1809,Der Nordamerikanische Krieg,England
106,d3e63928Brockhaus-1809,Der Nordamerikanische Krieg,Holland
107,d3e63928Brockhaus-1809,Der Nordamerikanische Krieg,England
108,d3e63928Brockhaus-1809,Der Nordamerikanische Krieg,Holland
109,d3e64182Brockhaus-1809,Die Normänner oder Normannen,England
110,d3e64182Brockhaus-1809,Die Normänner oder Normannen,Friesland
111,d3e64182Brockhaus-1809,Die Normänner oder Normannen,England
112,d3e65397Brockhaus-1809,Das Haus Oestreich,Mailand
113,d3e65397Brockhaus-1809,Das Haus Oestreich,Mailand
114,d3e65927Brockhaus-1809,Johann von Oldenbarneveld,Holland
115,d3e66005Brockhaus-1809,Oliva,Liefland
116,d3e66182Brockhaus-1809,Die Oper,Deutschland
117,d3e66543Brockhaus-1809,Das Oratorium,England
118,d3e66543Brockhaus-1809,Das Oratorium,Deutschland
119,d3e67009Brockhaus-1809,Die Orgel,England
