	EntryID	Headword	Results
0	d3e1367Brockhaus-1809	Die Akademie	Academie Royale des Inscriptions et Medailles
1	d3e1367Brockhaus-1809	Die Akademie	Academie Royale des Sciences
2	d3e1367Brockhaus-1809	Die Akademie	Institut national des Sciences et des Arts
3	d3e1367Brockhaus-1809	Die Akademie	Akademie der Wissenschaften zu St. Petersburg
4	d3e1909Brockhaus-1809	Die Allegorie	bloß als Theil oder Figur betrachtet
5	d3e4091Brockhaus-1809	Archimed	ich habe es gefunden! ich habe es gefunden
6	d3e4372Brockhaus-1809	Aristipp	 daß es in unsrer Gewalt sei, in allen Umständen glücklich zu sein
7	d3e5519Brockhaus-1809	Die Axe	Sich um seine eigene Axe drehen
8	d3e5680Brockhaus-1809	Johann Sebastian Bach	Versuch über die wahre Art Clavier zu spielen
9	d3e5725Brockhaus-1809	Franciscus Bacon	über den Werth und das Wachsthum der menschlichen Wissenschaften
10	d3e5725Brockhaus-1809	Franciscus Bacon	Versuche über die Moral und Physik
11	d3e5838Brockhaus-1809	Carl Friedrich Bahrdt	 Handbuch der Moral für den Bürgerstand
12	d3e8254Brockhaus-1809	Riumin Alexei Bestuchef	Auserlesene Sprüche aus der heil. Schrift, zum Trost eines jeden unschuldig leidenden Christen zusammengetragen
13	d3e9948Brockhaus-1809	Die geographische Breite	 einen Zirkel rund um die Kugel herum
14	d3e10210Brockhaus-1809	Jean Pierre Brissot	Betrachtungen über die Mittel, in allen menschlichen Kenntnissen zur Wahrheit zu gelangen
15	d3e10833Brockhaus-1809	Johann George Büsch	über den Wohlstand des Staats und der Bürger und die Quellen und Hindernisse desselben
16	d3e11748Brockhaus-1809	Der Friede zu Cambrai	la paix des Dames
17	d3e12655Brockhaus-1809	Carl der erste	Grundsätze in Ansehung der königlichen Hoheit
18	d3e12712Brockhaus-1809	Carl der zwölfte	was hat die Bombe mit dem Briefe zu schaffen? Schreib
19	d3e17555Brockhaus-1809	Die Dechiffrirkunst	am Ende der Zeile nur die zwei ersten Buchstaben des Worts stehen
20	d3e17555Brockhaus-1809	Die Dechiffrirkunst	an auch das wie ihm will auf
21	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	erweckten endlich die protestantischen Fürsten dieses Kreises aus ihrem Schlummer
22	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	 Protestanten und mit ihr die Deutsche Freiheit in der äußersten Gefahr
23	d3e22197Brockhaus-1809	Leonhart Euler	Briefe an eine Deutsche Prinzessin über verschiedene Gegenstände der Naturlehre
24	d3e23393Brockhaus-1809	Fenelon	Franz von Salignac de la Motte Fenelon
25	d3e23757Brockhaus-1809	Heinrich Fielding	»die Geschichte des Thomas Jones, eines Findelkindes«
26	d3e23830Brockhaus-1809	Die Figur	Folge der Lebhaftigkeit der Vorstellungen ist
27	d3e24660Brockhaus-1809	Bernard le Bovier de Fontenelle	Unterhaltungen über die Mehrheit der Welten
28	d3e24815Brockhaus-1809	Johann Georg Adam Forster	Ansichten vom Niederrhein, von Brabant, Flandern, Holland, England und Frankreich
29	d3e24815Brockhaus-1809	Johann Georg Adam Forster	 ein Beitrag zur Völker- und Länderkunde, Naturgeschichte und Philosophie des Lebens
30	d3e24927Brockhaus-1809	Fort Louis	Plan der Belagerung vom Fort Louis
31	d3e25314Brockhaus-1809	Frankreich	St. Malo, Cherburg, Havre de Grace, Harfleur, Dieppe, Calais, Dünkirchen
32	d3e25314Brockhaus-1809	Frankreich	 Isle de France, Orleans, Lyon, Bretagne, Normandie, Picardie, Gnienne, Languedoc, Provence, Dauphiné, Bourgogne, Champagne
33	d3e25314Brockhaus-1809	Frankreich	Senegal, Isle de Bourbon, Isle de France
34	d3e26309Brockhaus-1809	Die fruchtbringende Gesellschaft	zur Erhaltung und Wiederherstellung der Reinheit unserer Muttersprache
35	d3e26605Brockhaus-1809	Claudius Galenus	mit noch etwas Appetit vom Tische aufzustehen
36	d3e27035Brockhaus-1809	Die Gartenkunst	ausschließlich für die Tuillerien zu Paris
37	d3e27142Brockhaus-1809	Das Gas	die Luftgattung, das bleibend elastische Fluidum
38	d3e28274Brockhaus-1809	Eduard Gibbon	über den Verfall und den Untergang des Römischen Reichs. Gibbon
