	EntryID	Headword	Results
0	d3e64406Brockhaus-1809	Die Notensetz-Maschine	Phantasirmaschine
1	d3e103440Brockhaus-1809	Der Sagobaum	Sagopalme
2	d3e103496Brockhaus-1809	Saladin	Salaheddin
3	d3e103748Brockhaus-1809	Der Salmiak	Ammoniaksalz
4	d3e104168Brockhaus-1809	Das Sandelholz	Santalholz
5	d3e104198Brockhaus-1809	Der Sander	Zander
6	d3e104328Brockhaus-1809	Die Sanskritsprache	Sanskritta
7	d3e104394Brockhaus-1809	Der Saphir	Sapphir
8	d3e104445Brockhaus-1809	Sarbrücken	Saarbrücken
9	d3e104662Brockhaus-1809	Die Satire	Satyre
10	d3e104981Brockhaus-1809	Die Sau	Saw
11	d3e105037Brockhaus-1809	Saurin	Jacques
12	d3e105672Brockhaus-1809	Die Schattirung	Mahlerei
13	d3e106598Brockhaus-1809	Schettland	Shettland
13	d3e106598Brockhaus-1809	Schettland	Zettland
13	d3e106598Brockhaus-1809	Schettland	Hittland
14	d3e106745Brockhaus-1809	Schildknappe	Schildträger
14	d3e106745Brockhaus-1809	Schildknappe	Wapener
14	d3e106745Brockhaus-1809	Schildknappe	Junker
15	d3e107473Brockhaus-1809	Der Schlüssel	Clavis
16	d3e107602Brockhaus-1809	Der Schmaragd	Smaragd
17	d3e108399Brockhaus-1809	Die Schriftgießerei	Schriftgießerkunst
18	d3e111495Brockhaus-1809	Sclavonien	Slavonien
19	d3e112089Brockhaus-1809	Der Seehund	Hay
19	d3e112089Brockhaus-1809	Der Seehund	Seewolf
20	d3e116960Brockhaus-1809	Die Solwage	Solspindel
21	d3e121728Brockhaus-1809	Die Grafen zu Stolberg	Christian
22	d3e125847Brockhaus-1809	Tabor	Thabor
23	d3e126823Brockhaus-1809	Die Tartarn	Tatarn
24	d3e127466Brockhaus-1809	Tauris	Tabris
24	d3e127466Brockhaus-1809	Tauris	Taurisium
25	d3e128473Brockhaus-1809	Terra sigillata	Siegelerde
26	d3e128816Brockhaus-1809	Teut	Tot
26	d3e128816Brockhaus-1809	Teut	Theot
26	d3e128816Brockhaus-1809	Teut	Taut
26	d3e128816Brockhaus-1809	Teut	Tuisco
27	d3e130052Brockhaus-1809	Die Therapie	Therapevtik
28	d3e130756Brockhaus-1809	Thor	Thoran
28	d3e130756Brockhaus-1809	Thor	Thouar
29	d3e131709Brockhaus-1809	Die Tiber	Tybris
29	d3e131709Brockhaus-1809	Die Tiber	Tyberis
30	d3e131969Brockhaus-1809	Tilsit	Tilsen
31	d3e133040Brockhaus-1809	Die Tora	Thora
32	d3e133888Brockhaus-1809	Der Trappisten-Orden	Orden de la Trappe
33	d3e134375Brockhaus-1809	Trinidad	die Dreifaltigkeits-Insel
34	d3e140007Brockhaus-1809	Das Visum repertum	Wundzettel
34	d3e140007Brockhaus-1809	Das Visum repertum	Fundbericht
35	d3e141854Brockhaus-1809	Der Wardein	Guardein
35	d3e141854Brockhaus-1809	Der Wardein	Waradein
36	d3e143160Brockhaus-1809	Die Wetterscheide	Wetterscheidung
37	d3e143969Brockhaus-1809	Wistnu	Wischnu
37	d3e143969Brockhaus-1809	Wistnu	Vishnu
38	d3e144130Brockhaus-1809	Wodan	Wodin
38	d3e144130Brockhaus-1809	Wodan	Odan
38	d3e144130Brockhaus-1809	Wodan	Odin
39	d3e147555Brockhaus-1809	Aboriginer	Aborigines
40	d3e151619Brockhaus-1809	Assa fötida	Teufelsdreck
40	d3e151619Brockhaus-1809	Assa fötida	stinkender Assand
41	d3e154541Brockhaus-1809	Bilderstürmer	Iconoclasten
42	d3e155684Brockhaus-1809	Braga	Brage
42	d3e155684Brockhaus-1809	Braga	Bragar
43	d3e156537Brockhaus-1809	Die Bulgarei	Bulgarien
44	d3e156802Brockhaus-1809	Cadileschkier	Kadileskier
45	d3e157211Brockhaus-1809	Camisarden	Camisards
46	d3e161133Brockhaus-1809	Corilla	Magdalena Morelli
47	d3e164372Brockhaus-1809	Der Dnieper	Dnepr
48	d3e164386Brockhaus-1809	Der Dniester	Dnestr
49	d3e164400Brockhaus-1809	Die Docke	Dockforme
50	d3e165156Brockhaus-1809	Der Eisbär	Polarbär
51	d3e165315Brockhaus-1809	Die Elfen	Alfen
52	d3e167635Brockhaus-1809	Das Flütschiff	Flüte
53	d3e168973Brockhaus-1809	Der Galmei	Galmey
54	d3e170634Brockhaus-1809	Der Vogel Greif	Gryphs
54	d3e170634Brockhaus-1809	Der Vogel Greif	Gryphus
55	d3e171136Brockhaus-1809	Guyana	Guiana
56	d3e171365Brockhaus-1809	Der Hadschi	Hadji
57	d3e173396Brockhaus-1809	Die Hütte	Bergbau
58	d3e175803Brockhaus-1809	Der Kabeljau	Kabliau
59	d3e177290Brockhaus-1809	Der Kopeke	Kopeik
60	d3e177447Brockhaus-1809	Der Kran	Krahn
61	d3e179265Brockhaus-1809	Der Lothse	Lotse
61	d3e179265Brockhaus-1809	Der Lothse	Lootsmann
62	d3e181043Brockhaus-1809	Der Mareotische See	Mareotis
63	d3e182194Brockhaus-1809	Der Meiler	Meuler
64	d3e182443Brockhaus-1809	Menschenfresser	Anthropophagen
65	d3e183047Brockhaus-1809	Minorenn	minderjährig
65	d3e183047Brockhaus-1809	Minorenn	unmündig
66	d3e183389Brockhaus-1809	Mokka	Mochha
67	d3e183603Brockhaus-1809	Die Monstranz	Hierotheca
68	d3e183902Brockhaus-1809	Die Morlachen	Morlacken
69	d3e184311Brockhaus-1809	Die Mutschirung	Gesammt-Regierung
70	d3e184455Brockhaus-1809	Nänia	Nenia
71	d3e185727Brockhaus-1809	Das Narval	Narhwal
72	d3e186553Brockhaus-1809	Der Neubruch	Neureut
72	d3e186553Brockhaus-1809	Der Neubruch	Noval-Acker
72	d3e186553Brockhaus-1809	Der Neubruch	Rodeland
73	d3e189249Brockhaus-1809	Otaheiti	Taiti
74	d3e190690Brockhaus-1809	Parochial-Kirche	Pfarrkirche
75	d3e191746Brockhaus-1809	Das Pfalgericht	Zaun-Gericht
76	d3e191762Brockhaus-1809	Pfalhecke	Pfalhayn
76	d3e191762Brockhaus-1809	Pfalhecke	Teufelsmauer
77	d3e191989Brockhaus-1809	Die Pharmacie	Pharmacevtik
78	d3e192004Brockhaus-1809	Pharus	Leuchtthurm
79	d3e193428Brockhaus-1809	Der Polaker	Polacre
79	d3e193428Brockhaus-1809	Der Polaker	Polaque
80	d3e193462Brockhaus-1809	Der Polarstern	Nordstern
80	d3e193462Brockhaus-1809	Der Polarstern	Leitstern
81	d3e193520Brockhaus-1809	Die Polize	Polise
82	d3e194156Brockhaus-1809	Die Präbende	Pfründe
83	d3e194963Brockhaus-1809	Die Propyläen	Vorhof
84	d3e195360Brockhaus-1809	Puzzolana	Puzzolanerde
85	d3e196000Brockhaus-1809	Die Rah	Raa
85	d3e196000Brockhaus-1809	Die Rah	Seegelstange
86	d3e196297Brockhaus-1809	Der Reiher	Reiger
87	d3e196698Brockhaus-1809	Risalit	Resalita
88	d3e197512Brockhaus-1809	Das Sahlbuch	Flurbuch
88	d3e197512Brockhaus-1809	Das Sahlbuch	Lagerbuch
88	d3e197512Brockhaus-1809	Das Sahlbuch	Erbregister
89	d3e197741Brockhaus-1809	Der Sarter	Zerter
90	d3e197831Brockhaus-1809	Scala	Gradlʼeiter
91	d3e197918Brockhaus-1809	Die Schaluppe	Chaluppe
92	d3e198183Brockhaus-1809	Der Schmelz	Schmelzglas
93	d3e198215Brockhaus-1809	Der Schörl	Schirl
94	d3e198277Brockhaus-1809	Schublehen	Schupflehen
94	d3e198277Brockhaus-1809	Schublehen	Falllehen
95	d3e198417Brockhaus-1809	Sciron	Scyron
96	d3e198946Brockhaus-1809	Sorbet	Tscherbet
97	d3e199374Brockhaus-1809	Das Steinöl	Bergöl
98	d3e199524Brockhaus-1809	Der Stör	sturio
99	d3e200242Brockhaus-1809	Taurien	Chersonesus Taurica
100	d3e200502Brockhaus-1809	Teutates	Theutates
101	d3e200729Brockhaus-1809	Tiraß	Tyras
102	d3e200997Brockhaus-1809	Tragant	Tragacant
103	d3e201178Brockhaus-1809	Tritheiten	Tritheisten
104	d3e201294Brockhaus-1809	Tschimbprasso	Chimborasso
105	d3e202182Brockhaus-1809	Ungarischen Krone	sacra corona regni hungarici
106	d3e202693Brockhaus-1809	Veliten	Velites
107	d3e202714Brockhaus-1809	Das Veltlin	Veltelin
107	d3e202714Brockhaus-1809	Das Veltlin	Val Tellin
107	d3e202714Brockhaus-1809	Das Veltlin	Telliner-Thal
108	d3e203014Brockhaus-1809	der Vertikal-Kreis	Scheitelkreis
109	d3e203370Brockhaus-1809	Die Volsker	Volsci
110	d3e203514Brockhaus-1809	Die Wacke	Wake
111	d3e204168Brockhaus-1809	Der Wels	Schaidfisch
112	d3e204187Brockhaus-1809	Das Weltauge	Hydrophan
113	d3e204218Brockhaus-1809	Der Werder	Werd
113	d3e204218Brockhaus-1809	Der Werder	Wörth
113	d3e204218Brockhaus-1809	Der Werder	Häger
114	d3e204600Brockhaus-1809	Windmesser	Anemometer
115	d3e205124Brockhaus-1809	Zamolxis	Samolses
116	d3e205365Brockhaus-1809	Der Zeugwärter	Zeugwart
117	d3e205819Brockhaus-1809	Zosterius	Zoster
