	EntryID	Headword	Lemmasynonym
0	d3e8668Brockhaus-1809	Boccaz	Io. Boccacio
1	d3e35153Brockhaus-1809	Die Hunnen	Hiong- nu
2	d3e41061Brockhaus-1809	Die Kretinen	Cretins
3	d3e42957Brockhaus-1809	Die Laudisti	Psalmsänger
4	d3e137806Brockhaus-1809	Der Vasall	Lehnsmann
5	d3e189828Brockhaus-1809	Der Panther	Parder
6	d3e196521Brockhaus-1809	Der Rheinbund	Rheinische Bund
7	d3e64406Brockhaus-1809	Die Notensetz-Maschine	Phantasirmaschine
8	d3e103440Brockhaus-1809	Der Sagobaum	Sagopalme
9	d3e103496Brockhaus-1809	Saladin	Salaheddin
10	d3e103748Brockhaus-1809	Der Salmiak	Ammoniaksalz
11	d3e104168Brockhaus-1809	Das Sandelholz	Santalholz
12	d3e104198Brockhaus-1809	Der Sander	Zander
13	d3e104328Brockhaus-1809	Die Sanskritsprache	Sanskritta
14	d3e104394Brockhaus-1809	Der Saphir	Sapphir
15	d3e104445Brockhaus-1809	Sarbrücken	Saarbrücken
16	d3e104662Brockhaus-1809	Die Satire	Satyre
17	d3e104981Brockhaus-1809	Die Sau	Saw
18	d3e105037Brockhaus-1809	Saurin	Jacques
19	d3e105672Brockhaus-1809	Die Schattirung	Mahlerei
20	d3e106598Brockhaus-1809	Schettland	Shettland
21	d3e106598Brockhaus-1809	Schettland	Zettland
22	d3e106598Brockhaus-1809	Schettland	Hittland
23	d3e106745Brockhaus-1809	Schildknappe	Schildträger
24	d3e106745Brockhaus-1809	Schildknappe	Wapener
25	d3e106745Brockhaus-1809	Schildknappe	Junker
26	d3e107473Brockhaus-1809	Der Schlüssel	Clavis
27	d3e107602Brockhaus-1809	Der Schmaragd	Smaragd
28	d3e108399Brockhaus-1809	Die Schriftgießerei	Schriftgießerkunst
29	d3e111495Brockhaus-1809	Sclavonien	Slavonien
30	d3e112089Brockhaus-1809	Der Seehund	Hay
31	d3e112089Brockhaus-1809	Der Seehund	Seewolf
32	d3e116960Brockhaus-1809	Die Solwage	Solspindel
33	d3e121728Brockhaus-1809	Die Grafen zu Stolberg	Christian
34	d3e125847Brockhaus-1809	Tabor	Thabor
35	d3e126823Brockhaus-1809	Die Tartarn	Tatarn
36	d3e127466Brockhaus-1809	Tauris	Tabris – Taurisium
37	d3e128473Brockhaus-1809	Terra sigillata	Siegelerde
38	d3e128816Brockhaus-1809	Teut	Tot
39	d3e128816Brockhaus-1809	Teut	Theot
40	d3e128816Brockhaus-1809	Teut	Taut
41	d3e128816Brockhaus-1809	Teut	Tuisco
42	d3e130052Brockhaus-1809	Die Therapie	Therapevtik
43	d3e130756Brockhaus-1809	Thor	Thoran
44	d3e130756Brockhaus-1809	Thor	Thouar
45	d3e131709Brockhaus-1809	Die Tiber	Tybris
46	d3e131709Brockhaus-1809	Die Tiber	Tyberis
47	d3e131969Brockhaus-1809	Tilsit	Tilsen
48	d3e133040Brockhaus-1809	Die Tora	Thora
