	EntryID	Headword	Results
0	d3e10598Brockhaus-1809	Bucolische Gedichte	Idylle
1	d3e19407Brockhaus-1809	Der Discant	Schlüssel
2	d3e86686Brockhaus-1809	Der Rammelsberg	Wielauds
3	d3e92864Brockhaus-1809	Reservatrechte des Kaisers	Reichshofrath
4	d3e93386Brockhaus-1809	Die Statthalterschaft Reval	Letten
5	d3e96973Brockhaus-1809	Rheder	Avarie
6	d3e102384Brockhaus-1809	Saarbrück	Sarbrück
7	d3e7249Brockhaus-1809	Die Bauart	Münster
8	d3e7799Brockhaus-1809	Belles Lettres	schöne Wissenschaften
9	d3e10761Brockhaus-1809	Der Burgundische Kreis	Niederlande
10	d3e12808Brockhaus-1809	Carl der sechste	Aachner Frieden
11	d3e13056Brockhaus-1809	Carolina Mathildis	Struensee
12	d3e19601Brockhaus-1809	Das Divinations-Vermögen	Clairvoyant
13	d3e23780Brockhaus-1809	Johann Ludwig von Fiesco	Doria
14	d3e27295Brockhaus-1809	Gefle	Gustav
15	d3e46325Brockhaus-1809	Ludwig der dreizehnte	Richelieu
16	d3e81170Brockhaus-1809	Das Königreich Portugal	wenig benutzen Weinbau Bienenzucht
17	d3e115620Brockhaus-1809	Das Simultäneum	Normaljahr
18	d3e134964Brockhaus-1809	Die Troubadours	Herders Briefe zur Beförderung der Humanität
19	d3e158942Brockhaus-1809	Chargé d'Affaires	Agent
20	d3e164792Brockhaus-1809	John Duns	Scholastiker
21	d3e172328Brockhaus-1809	Die Hellebarde	Streitaxt
22	d3e142Brockhaus-1809	Der abgezogene Begriff	abstracte Begriff
23	d3e256Brockhaus-1809	Die Academie	Akademie
24	d3e439Brockhaus-1809	Das Acidum	Säure
25	d3e455Brockhaus-1809	Der Act	Akademie
26	d3e555Brockhaus-1809	Die beiden Adams	Nordamerika
27	d3e652Brockhaus-1809	Admet	Alceste
28	d3e803Brockhaus-1809	Die Aeneide	Iliade
29	d3e1299Brockhaus-1809	Ain	Departements von Frankreich
30	d3e1313Brockhaus-1809	Aisne	Departements von Frankreich
31	d3e1521Brockhaus-1809	Carl Eduard, Graf von Albani	Prätendent von England
32	d3e1571Brockhaus-1809	Alcali	Alkali
33	d3e1679Brockhaus-1809	Alekto	Furien
34	d3e1757Brockhaus-1809	Alexandriner	Hexameter
35	d3e1794Brockhaus-1809	Die Algebra	Analysis
36	d3e1794Brockhaus-1809	Die Algebra	Analysis
37	d3e1839Brockhaus-1809	Aligheri	Dante
38	d3e1853Brockhaus-1809	Das Alkali	Acidum
39	d3e1964Brockhaus-1809	Allegro	Adagio
40	d3e2008Brockhaus-1809	Allier	Departements von Frankreich
41	d3e2023Brockhaus-1809	Das Allodium	Lehen
42	d3e2077Brockhaus-1809	Die obern Alpen	Departements von Frankreich
43	d3e2091Brockhaus-1809	Die niedern Alpen	Departements von Frankreich
44	d3e2834Brockhaus-1809	Anchises	Aeneas
45	d3e3093Brockhaus-1809	Anna Bullen	Bullen
46	d3e3433Brockhaus-1809	Die antiphlogistische Chemie	dephlogistisirte Luft
47	d3e3471Brockhaus-1809	Der Antipode	Aequator
48	d3e3687Brockhaus-1809	Aphrodite	Venus
49	d3e3957Brockhaus-1809	Der Aräometer	specifisch
50	d3e4136Brockhaus-1809	Ardeche	Departements von Frankreich
51	d3e4150Brockhaus-1809	Ardennes	Departements von Frankreich
52	d3e4216Brockhaus-1809	Die Argonauten	Manen
53	d3e4751Brockhaus-1809	Die Assemblec	National-Versammlung
54	d3e4984Brockhaus-1809	Atlas [2]	Titanen
55	d3e5146Brockhaus-1809	Aube	Departements von Frankreich
56	d3e5160Brockhaus-1809	Aude	Departements von Frankreich
57	d3e5244Brockhaus-1809	Augustus	Antonius
58	d3e5263Brockhaus-1809	Aulis	Iphigenia
59	d3e5445Brockhaus-1809	Aveyron	Departements von Frankreich
60	d3e5519Brockhaus-1809	Die Axe	Aequator
61	d3e5578Brockhaus-1809	Das Babylonische Reich	Assyrien
62	d3e5652Brockhaus-1809	Bacchus	Semele
63	d3e5810Brockhaus-1809	Badensche Friede	Spanischer Successionskrieg
64	d3e5973Brockhaus-1809	Die Ballade	Romanze
65	d3e6015Brockhaus-1809	Das Ballet	Ballet
66	d3e6263Brockhaus-1809	Der Bann	Acht. Der Kirchenbann
67	d3e6424Brockhaus-1809	Barca	Barbarei
68	d3e6486Brockhaus-1809	Bareuth	Bayreuth
69	d3e6511Brockhaus-1809	Barnave	Feuillans
70	d3e6719Brockhaus-1809	Barthelemy	Anacharsis
71	d3e6734Brockhaus-1809	Barthelemy [2]	Baseler Friede
72	d3e6773Brockhaus-1809	Der Bascha	Bassa
73	d3e7320Brockhaus-1809	Baucis	Philemon
74	d3e7392Brockhaus-1809	Baxen	Boxen
75	d3e7421Brockhaus-1809	Bayern	Aachner Friede
76	d3e7421Brockhaus-1809	Bayern	Bayerischer Successionskrieg
77	d3e7515Brockhaus-1809	Bayreuth	Anspach
78	d3e7783Brockhaus-1809	Bellerophon	Pegasus
79	d3e7843Brockhaus-1809	Benares	Rajah
80	d3e7983Brockhaus-1809	Bentabolle	Tallien
81	d3e8044Brockhaus-1809	Der Berg	Jacobiner
82	d3e8287Brockhaus-1809	Der Bey	Dey
83	d3e8406Brockhaus-1809	Blanchard	Aërostat
84	d3e8421Brockhaus-1809	Blason	Heraldik
