	EntryID	Headword	Results
0	d3e16662Brockhaus-1809	Olivier Cromwell	Richard Cromwell
1	d3e41021Brockhaus-1809	Lucas Kranach	Lucas
2	d3e46919Brockhaus-1809	Ludwig der sechzehnte	Dauphin
3	d3e53981Brockhaus-1809	Die Mediceer	Cosmus
4	d3e54083Brockhaus-1809	Bianca Capello, zweite Gemahlin Franz II. von Medici	Antonius
5	d3e65397Brockhaus-1809	Das Haus Oestreich	Franz
6	d3e81590Brockhaus-1809	Der Prätendent	Prätendent
7	d3e81590Brockhaus-1809	Der Prätendent	Ritter Sauet Georg
8	d3e81590Brockhaus-1809	Der Prätendent	England
9	d3e81590Brockhaus-1809	Der Prätendent	Carl Eduard
10	d3e81590Brockhaus-1809	Der Prätendent	England
11	d3e81590Brockhaus-1809	Der Prätendent	Frankreich
12	d3e86306Brockhaus-1809	Franz Rakotzi	Leopold
13	d3e86306Brockhaus-1809	Franz Rakotzi	Joseph der erste
14	d3e93438Brockhaus-1809	Revolution von England	Carl
15	d3e96818Brockhaus-1809	Rhapsodie	Pisistratus
16	d3e96818Brockhaus-1809	Rhapsodie	Hippias
17	d3e104901Brockhaus-1809	Saturn [2]	Jupiter
18	d3e107336Brockhaus-1809	Schleswig	Adolph
19	d3e109123Brockhaus-1809	Schweden	Odinus
20	d3e109123Brockhaus-1809	Schweden	Skiold
21	d3e109123Brockhaus-1809	Schweden	Yngu
22	d3e109123Brockhaus-1809	Schweden	Christinen
23	d3e109123Brockhaus-1809	Schweden	Carl
24	d3e109123Brockhaus-1809	Schweden	Gustav Adolph
25	d3e109966Brockhaus-1809	Die Schweiz	Chlodwig
26	d3e109966Brockhaus-1809	Die Schweiz	Albrecht
27	d3e122467Brockhaus-1809	Stuart	Carl
28	d3e124679Brockhaus-1809	Spanien [2]	Carl
29	d3e130973Brockhaus-1809	Thüringen	Heinrich der Erlauchte
30	d3e130973Brockhaus-1809	Thüringen	Sophie
31	d3e130973Brockhaus-1809	Thüringen	Heinrich das Kind
32	d3e130973Brockhaus-1809	Thüringen	Thüringen
33	d3e130973Brockhaus-1809	Thüringen	Moritz von Sachsen
34	d3e130973Brockhaus-1809	Thüringen	Wittenberger Capitulation
35	d3e130973Brockhaus-1809	Thüringen	Moritz
36	d3e130973Brockhaus-1809	Thüringen	Ernestinischen
37	d3e130973Brockhaus-1809	Thüringen	Albertinische
38	d3e130973Brockhaus-1809	Thüringen	Drei
39	d3e130973Brockhaus-1809	Thüringen	Neben-Linien
40	d3e130973Brockhaus-1809	Thüringen	Weißenfelsische
41	d3e130973Brockhaus-1809	Thüringen	August
42	d3e138711Brockhaus-1809	Titus Flavius Vespasianus	Titus
43	d3e143591Brockhaus-1809	Wilhelm der Eroberer	Heinrich
44	d3e162077Brockhaus-1809	Jakob Ludwig David	Brutus, der seine Söhne zum Tode verdammt
45	d3e162077Brockhaus-1809	Jakob Ludwig David	Horatiern und Curiatiern
46	d3e167730Brockhaus-1809	Johann Reinhold Forster	Saratow
47	d3e167730Brockhaus-1809	Johann Reinhold Forster	Georg
48	d3e167730Brockhaus-1809	Johann Reinhold Forster	Georg
49	d3e167730Brockhaus-1809	Johann Reinhold Forster	Bater
50	d3e167730Brockhaus-1809	Johann Reinhold Forster	Warrington
51	d3e168512Brockhaus-1809	Friedrich der Gebissene	Albert
52	d3e168512Brockhaus-1809	Friedrich der Gebissene	Adolph von Nassau
53	d3e172570Brockhaus-1809	Ludwig Heß	Mortier
54	d3e174371Brockhaus-1809	Jon	Jon
55	d3e192961Brockhaus-1809	Pohlen	Sigismund August 1548 Liefland
56	d3e192961Brockhaus-1809	Pohlen	Curland
57	d3e193903Brockhaus-1809	Portugall	Alphons
58	d3e195531Brockhaus-1809	Python	Apollo
59	d3e195531Brockhaus-1809	Python	Pythius
60	d3e201354Brockhaus-1809	Die Türkei	Orthan
61	d3e201920Brockhaus-1809	Ungarn	Ludwig der Große
0	d3e63650Brockhaus-1809	Niobe	Latona
1	d3e63650Brockhaus-1809	Niobe	Apoll
2	d3e63650Brockhaus-1809	Niobe	Diana
3	d3e63650Brockhaus-1809	Niobe	Niobens
4	d3e112860Brockhaus-1809	Separatisten	Altona
5	d3e124679Brockhaus-1809	Spanien [2]	Saracenen
6	d3e132229Brockhaus-1809	Titan	Saturn
7	d3e140137Brockhaus-1809	Die Völkerwanderung	Haarkönige
8	d3e197007Brockhaus-1809	Roskolniken	Starowerzi
0	d3e17008Brockhaus-1809	Die Cypresse	Cyparissa
1	d3e17263Brockhaus-1809	Die Danaiden	Danaus
2	d3e22520Brockhaus-1809	Cajus Fabricius	Fabricius
3	d3e36337Brockhaus-1809	Iphigenia	Agamemnon
4	d3e36337Brockhaus-1809	Iphigenia	Iphigenia
5	d3e39368Brockhaus-1809	Anne Louise Karschin	Klenke
6	d3e39368Brockhaus-1809	Anne Louise Karschin	Gleim
7	d3e55130Brockhaus-1809	Alexander Menzikof oder Menschikow	Maria
8	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Einer gegen den Andern zu mißtrauisch
9	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Pompejus
10	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Cäsars
11	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Cäsar
12	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Julia
13	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Crassus
14	d3e80454Brockhaus-1809	Cnejus Pompejus Magnus	Parther
15	d3e172233Brockhaus-1809	Helena	Tyndareus
1	d3e24Brockhaus-1809	Der Aachner Friede	Franz
2	d3e24Brockhaus-1809	Der Aachner Friede	Aachen
3	d3e4599Brockhaus-1809	Artemisia	Mausoleen
4	d3e11138Brockhaus-1809	Cajus Julius Cäsar	Cossulia, Cornelia, Pompeja
5	d3e11138Brockhaus-1809	Cajus Julius Cäsar	Calpurnia
