	EntryID	Headword	Results
0	d3e8510Brockhaus-1809	Die Pariser Bluthochzeit	Heinrich
1	d3e8510Brockhaus-1809	Die Pariser Bluthochzeit	Franz
2	d3e8510Brockhaus-1809	Die Pariser Bluthochzeit	Carl
3	d3e8510Brockhaus-1809	Die Pariser Bluthochzeit	Heinrich
4	d3e12277Brockhaus-1809	Bianca Capello	Franz
5	d3e12503Brockhaus-1809	Carl der Große	Leo
6	d3e12535Brockhaus-1809	Carl der fünfte	Franz
7	d3e12535Brockhaus-1809	Carl der fünfte	Franz
8	d3e12712Brockhaus-1809	Carl der zwölfte	Friedrich
9	d3e12712Brockhaus-1809	Carl der zwölfte	Friedrich
10	d3e16390Brockhaus-1809	Der Cosmopolit	besonderes
11	d3e16662Brockhaus-1809	Olivier Cromwell	Carl
12	d3e16840Brockhaus-1809	Curland (Interims-Nachtrag)	Catharina
13	d3e16840Brockhaus-1809	Curland (Interims-Nachtrag)	Paul
14	d3e17453Brockhaus-1809	Der Dauphin	Humbert
15	d3e18934Brockhaus-1809	Deutschland	fremder
16	d3e19499Brockhaus-1809	Die Dissidenten	Augusts
17	d3e19742Brockhaus-1809	St. Domingo (Interims-Nachtrag)	ganzen
18	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	Rudolph
19	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	Christian
20	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	Ferdinand
21	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	Ferdinand
22	d3e21084Brockhaus-1809	Elisabeth	Philipp
23	d3e21084Brockhaus-1809	Elisabeth	Philipp
24	d3e22058Brockhaus-1809	Gabrielle d'Estrées	Heinrich
25	d3e22130Brockhaus-1809	Franz Eugen	Leopold
26	d3e22130Brockhaus-1809	Franz Eugen	Josephs
27	d3e23291Brockhaus-1809	Die Fehde	Maximilian
28	d3e24209Brockhaus-1809	Die Flöte	Friedrichs
29	d3e24815Brockhaus-1809	Johann Georg Adam Forster	Catharina
