	EntryID	Headword	Results
0	d3e12481Brockhaus-1809	Der Cardinal	Inspiration
1	d3e41639Brockhaus-1809	Die Kupferstecherkunst	Crayon-Manier
2	d3e41639Brockhaus-1809	Die Kupferstecherkunst	Punktirmanier
3	d3e41639Brockhaus-1809	Die Kupferstecherkunst	von schwarzer und rother Kreide nachahmt
4	d3e97803Brockhaus-1809	Das Riesengebirge	Riesengebirge
5	d3e97803Brockhaus-1809	Das Riesengebirge	Böhmische Gebirge
6	d3e97803Brockhaus-1809	Das Riesengebirge	Kessel
7	d3e97803Brockhaus-1809	Das Riesengebirge	Teufelsgrund
8	d3e97803Brockhaus-1809	Das Riesengebirge	Teufelswiese
9	d3e97803Brockhaus-1809	Das Riesengebirge	Johannisbrunnen
10	d3e98023Brockhaus-1809	Ritter	Patrimonialgerichtsbarkeit
11	d3e98023Brockhaus-1809	Ritter	dinglichen
12	d3e98496Brockhaus-1809	Der Rittersprung	Ferdinand
13	d3e99532Brockhaus-1809	Das neue Rom	Ciceroni
14	d3e108399Brockhaus-1809	Die Schriftgießerei	Schwabach
15	d3e108399Brockhaus-1809	Die Schriftgießerei	Schwabacher
16	d3e108399Brockhaus-1809	Die Schriftgießerei	 Schriften
17	d3e124515Brockhaus-1809	Syrakus	Dionysius
18	d3e124679Brockhaus-1809	Spanien [2]	nördlichen Amerika
19	d3e149001Brockhaus-1809	Albanien	Arnauten
20	d3e149407Brockhaus-1809	Allodium	Absonderung des Lehns von dem Erbe
21	d3e149407Brockhaus-1809	Allodium	wirklichen Erben
22	d3e149638Brockhaus-1809	Altenburg	Kunz von Kaufungen
23	d3e149638Brockhaus-1809	Altenburg	Nachträgen
24	d3e151665Brockhaus-1809	Der Assiento-Tractat	Assiento-Tractat
25	d3e151665Brockhaus-1809	Der Assiento-Tractat	Permissions-
26	d3e151665Brockhaus-1809	Der Assiento-Tractat	Assiento-Schiff
27	d3e155794Brockhaus-1809	Braunschweig	Holland
28	d3e157489Brockhaus-1809	Das Canonische Recht	canonische Recht
29	d3e157489Brockhaus-1809	Das Canonische Recht	Decret
30	d3e157489Brockhaus-1809	Das Canonische Recht	Gratian
31	d3e162430Brockhaus-1809	Die Deportation	Boulay
32	d3e162430Brockhaus-1809	Die Deportation	Autun
33	d3e162430Brockhaus-1809	Die Deportation	Talot
34	d3e166138Brockhaus-1809	Das Erzgebirge	kleine
35	d3e166138Brockhaus-1809	Das Erzgebirge	sächsische Fichtelberg
36	d3e166224Brockhaus-1809	Johann Baptiste Carl Graf d'Estaing	Caiken
37	d3e166224Brockhaus-1809	Johann Baptiste Carl Graf d'Estaing	Turksinseln
38	d3e171235Brockhaus-1809	Habsburg	Rudolph Graf von Habsburg
39	d3e171274Brockhaus-1809	Jacob Philipp Hackert	Nestenthaler
40	d3e171274Brockhaus-1809	Jacob Philipp Hackert	Hackert
41	d3e171434Brockhaus-1809	Der Hagestolziat	Caelibats
42	d3e171434Brockhaus-1809	Der Hagestolziat	Hagestolzen-Recht
43	d3e171777Brockhaus-1809	Harlekin	Hundertfleck
44	d3e171777Brockhaus-1809	Harlekin	Hauswurst
45	d3e173689Brockhaus-1809	Ibycus	Vocal
46	d3e173689Brockhaus-1809	Ibycus	Jod
47	d3e175556Brockhaus-1809	Die Juden	Judenleibzoll
48	d3e175556Brockhaus-1809	Die Juden	Joseph
49	d3e175556Brockhaus-1809	Die Juden	allgemeine Versammlung der Juden
50	d3e175556Brockhaus-1809	Die Juden	großen Sanhedrin
51	d3e175803Brockhaus-1809	Der Kabeljau	Stockfisch
52	d3e175803Brockhaus-1809	Der Kabeljau	Labberdan
53	d3e175803Brockhaus-1809	Der Kabeljau	Klippfisch
54	d3e176090Brockhaus-1809	Das Kameel	Bactrianische
55	d3e176090Brockhaus-1809	Das Kameel	türkische Kameel
56	d3e176090Brockhaus-1809	Das Kameel	Dromedar
57	d3e178596Brockhaus-1809	Leipzig	Concert-
58	d3e178596Brockhaus-1809	Leipzig	Ball-Saales
59	d3e178596Brockhaus-1809	Leipzig	Raths
60	d3e178596Brockhaus-1809	Leipzig	Universitäts-Bibliothek
61	d3e178596Brockhaus-1809	Leipzig	Universitäts
62	d3e178596Brockhaus-1809	Leipzig	Freischule
63	d3e178596Brockhaus-1809	Leipzig	Lazareths
64	d3e178596Brockhaus-1809	Leipzig	Jakobshospitals
65	d3e178596Brockhaus-1809	Leipzig	Breitkopfische
66	d3e178596Brockhaus-1809	Leipzig	Breitkopf-Härtelsche
67	d3e178596Brockhaus-1809	Leipzig	physikalischen Magazins
68	d3e178653Brockhaus-1809	Lemnos	Siegelerde
69	d3e178827Brockhaus-1809	Leucippus	Atomensystems
70	d3e179393Brockhaus-1809	Lucifer	Morgensterns
71	d3e179393Brockhaus-1809	Lucifer	Abendstern
72	d3e179393Brockhaus-1809	Lucifer	Hesperus
73	d3e183603Brockhaus-1809	Die Monstranz	Venerabile
74	d3e183742Brockhaus-1809	Morea oder Peloponnes	Korinthen
75	d3e184175Brockhaus-1809	Der Muscateller	Wein
76	d3e184552Brockhaus-1809	Napoleon	Bonaparte
77	d3e184552Brockhaus-1809	Napoleon	Höllen maschine
