	EntryID	Headword	synonym
0	d3e910Brockhaus-1809	Der Aërostat	verdünnter Luft
1	d3e1853Brockhaus-1809	Das Alkali	fixes
2	d3e2583Brockhaus-1809	Der Anabaptist	Wiedertäufer
3	d3e3433Brockhaus-1809	Die antiphlogistische Chemie	Phlogiston
4	d3e3488Brockhaus-1809	Der Antiquarius	Antiquair
5	d3e5018Brockhaus-1809	Die atmosphärische Luft	phlogistische Luft
6	d3e5405Brockhaus-1809	Die Avarie	ordinaire
7	d3e7669Brockhaus-1809	Die Beduinen	Schicks
8	d3e7686Brockhaus-1809	Die Beguinen	Bogarden
9	d3e8150Brockhaus-1809	Bern	Welschen
10	d3e8686Brockhaus-1809	Der Bodensee	Bregenzer See
11	d3e10560Brockhaus-1809	Das Buchhalten	Italiänische Buchhalten
12	d3e18655Brockhaus-1809	Die dephlogistisirte Luft	dephlogistisirte
13	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	Münsterischen
14	d3e25622Brockhaus-1809	Die Franziscaner	Klosterbrüdern
15	d3e25622Brockhaus-1809	Die Franziscaner	Minoriten
16	d3e26771Brockhaus-1809	Die Gambe	Geigen-Clavicymbel
17	d3e27142Brockhaus-1809	Das Gas	Luftarten
18	d3e27641Brockhaus-1809	Der Genius	Schutzgötter
19	d3e28092Brockhaus-1809	Die Germanen	Helden
20	d3e28310Brockhaus-1809	Die Gibellinen	Welf
21	d3e28310Brockhaus-1809	Die Gibellinen	Welfen
22	d3e28439Brockhaus-1809	Giornovichi	Jarnowich
23	d3e30234Brockhaus-1809	Großbritannien und Irland	Irisch
24	d3e30234Brockhaus-1809	Großbritannien und Irland	unfundirte; fundirt
25	d3e31012Brockhaus-1809	Gustav III.	Hüthe
26	d3e31387Brockhaus-1809	Halle	im Magdeburgischen
27	d3e32072Brockhaus-1809	Die Harmonica	meteorologische Harmonica
28	d3e33804Brockhaus-1809	Die Landgrafschaft Hessen	Rothenburgische
29	d3e36545Brockhaus-1809	Die Irmensäule	Arminius
30	d3e36545Brockhaus-1809	Die Irmensäule	Herrmann
31	d3e37874Brockhaus-1809	Die Johanniterritter	Commenthureien
32	d3e40697Brockhaus-1809	Die Kosaken	Grebenskischen
33	d3e40697Brockhaus-1809	Die Kosaken	Uralsischen
34	d3e41639Brockhaus-1809	Die Kupferstecherkunst	Schraffirungen
35	d3e42916Brockhaus-1809	Latona	Lato
36	d3e43329Brockhaus-1809	John Law	Actienhandels
37	d3e45477Brockhaus-1809	London	Hospital
38	d3e47261Brockhaus-1809	Giovani Battista Lully	Colasse
39	d3e47867Brockhaus-1809	Macedonien	Rum-Ili
40	d3e48517Brockhaus-1809	Magellanienland	Patagonien
41	d3e48771Brockhaus-1809	Der Magnetismus	ohne Magnet
42	d3e48962Brockhaus-1809	Die Mahlerei	Schmelzmahlerei
43	d3e48962Brockhaus-1809	Die Mahlerei	Musaische
44	d3e51618Brockhaus-1809	Die Maratten	Maha-Rajah
45	d3e51968Brockhaus-1809	Maria Stuart	für
46	d3e53584Brockhaus-1809	Die Mauren	Saracenen
47	d3e53584Brockhaus-1809	Die Mauren	Maranen
48	d3e54737Brockhaus-1809	Das Melodrama	Duodrama
49	d3e56163Brockhaus-1809	Die Minnesinger	Hohenstauffischen Hause (1133)
50	d3e56907Brockhaus-1809	Das Mönchswesen	Sherifs
51	d3e56907Brockhaus-1809	Das Mönchswesen	Klöster
52	d3e56907Brockhaus-1809	Das Mönchswesen	Tabennesus
53	d3e56907Brockhaus-1809	Das Mönchswesen	Abt
54	d3e56907Brockhaus-1809	Das Mönchswesen	Klosterbrüder
55	d3e57243Brockhaus-1809	Die Moldau	Jassy
56	d3e57521Brockhaus-1809	Die Mongolen oder Mogolen	Afghanen, Rohillas
57	d3e58491Brockhaus-1809	Morpheus	Icelos
58	d3e58589Brockhaus-1809	Moschee	Mesdschjit
59	d3e59606Brockhaus-1809	Der Münzfuß	Graumannsche
60	d3e60183Brockhaus-1809	Der Nabob	Dewans
61	d3e62580Brockhaus-1809	Das Fürstenthum Neufchatel	Neuenstadt
62	d3e62804Brockhaus-1809	Die Niederlande	Holländischen Republik
63	d3e64498Brockhaus-1809	Die freie Reichsstadt Nürnberg	adelichen Stadtgeschlechter
64	d3e65397Brockhaus-1809	Das Haus Oestreich	Belgien
65	d3e66182Brockhaus-1809	Die Oper	Operette
66	d3e66697Brockhaus-1809	Die Ordalien	Urtheile Gottes
67	d3e67636Brockhaus-1809	Ossian	Hersischen
68	d3e67636Brockhaus-1809	Ossian	sanften
69	d3e67636Brockhaus-1809	Ossian	Hersischen
70	d3e67928Brockhaus-1809	Ostindien	Hindustan
71	d3e67928Brockhaus-1809	Ostindien	Guzurate
72	d3e67928Brockhaus-1809	Ostindien	Jauts
73	d3e67928Brockhaus-1809	Ostindien	Elhadabat, Malva, Kandisch, Hyderabad
74	d3e67928Brockhaus-1809	Ostindien	Subah von Decan
75	d3e67928Brockhaus-1809	Ostindien	Arcot
76	d3e67928Brockhaus-1809	Ostindien	Guntur
77	d3e67928Brockhaus-1809	Ostindien	Brahma
78	d3e67928Brockhaus-1809	Ostindien	Wistnu
79	d3e67928Brockhaus-1809	Ostindien	Hallachoras
80	d3e67928Brockhaus-1809	Ostindien	Bomanen
81	d3e67928Brockhaus-1809	Ostindien	Azem
82	d3e67928Brockhaus-1809	Ostindien	Lao
83	d3e67928Brockhaus-1809	Ostindien	Camboya
84	d3e67928Brockhaus-1809	Ostindien	Malaya
85	d3e67928Brockhaus-1809	Ostindien	Male
86	d3e67928Brockhaus-1809	Ostindien	Suluhinseln
87	d3e67928Brockhaus-1809	Ostindien	Manilischen
88	d3e67928Brockhaus-1809	Ostindien	Pelewinseln
89	d3e67928Brockhaus-1809	Ostindien	Diebs-
90	d3e67928Brockhaus-1809	Ostindien	Ladroneninseln
91	d3e71310Brockhaus-1809	Die Parther	Artaxerxes
92	d3e71310Brockhaus-1809	Die Parther	mittlere Persische Reich
93	d3e71646Brockhaus-1809	Die Passagen	Rouladen
94	d3e72317Brockhaus-1809	Pegu	Bomanen
95	d3e72317Brockhaus-1809	Pegu	Ranguhn
96	d3e73128Brockhaus-1809	Persien oder Irak	Patanen
97	d3e75579Brockhaus-1809	Die Philippinen	Neuphilippinischen
98	d3e75713Brockhaus-1809	Die Philosophie	Sittenlehre
99	d3e75713Brockhaus-1809	Die Philosophie	Weltkenntniß
100	d3e75713Brockhaus-1809	Die Philosophie	practisch
101	d3e76759Brockhaus-1809	Der Phosphorus	austreten
