	EntryID	Headword	Results
0	d3e1367Brockhaus-1809	Die Akademie	Institut national des Sciences et des Arts
1	d3e8254Brockhaus-1809	Riumin Alexei Bestuchef	Auserlesene Sprüche aus der heil. Schrift, zum Trost eines jeden unschuldig leidenden Christen zusammengetragen
2	d3e11138Brockhaus-1809	Cajus Julius Cäsar	Commentarien
3	d3e36006Brockhaus-1809	Der Infant	Infantin
4	d3e42212Brockhaus-1809	Die Lady	Miß
5	d3e42212Brockhaus-1809	Die Lady	Lady
6	d3e51968Brockhaus-1809	Maria Stuart	König Heinrich
7	d3e71947Brockhaus-1809	Die Patricier	Patricier
8	d3e82990Brockhaus-1809	Prometheus	Prometheus
9	d3e84993Brockhaus-1809	Roger Rabutin	Histoire amoureuse des Gaules
10	d3e87327Brockhaus-1809	Raugraf	Raugraf
11	d3e87327Brockhaus-1809	Raugraf	Raugraf
12	d3e87327Brockhaus-1809	Raugraf	Grafen
13	d3e87853Brockhaus-1809	René Antoine Ferchault von Reaumur	LʼArt de convertir le Fer-forgé en Acier, et lʼArt dʼ adoucir le Fer-fondu, et de faire des Ouvrages de Fer-fondu aussi finis que de Ferforgé
14	d3e90722Brockhaus-1809	Reichs-Hofrath	Reichshofraths-Ordnung
15	d3e91243Brockhaus-1809	Reichsvicarien	Vicarins durch Italien
16	d3e97400Brockhaus-1809	Samuel Richardson	Grandison der Zweite
17	d3e105724Brockhaus-1809	Das Schauspiel	die zehn Jungfrauen
18	d3e108062Brockhaus-1809	Schottland	König von Großbritannien
19	d3e108062Brockhaus-1809	Schottland	König von Großbritannien
20	d3e108700Brockhaus-1809	Christian Daniel Friedrich Schubart	Deutsche Chronik
21	d3e113675Brockhaus-1809	Das Sextett	Serenaten
22	d3e120788Brockhaus-1809	Stifte	Dom-Scholasticus
23	d3e124679Brockhaus-1809	Spanien [2]	der heiligen Inquisition
24	d3e124679Brockhaus-1809	Spanien [2]	beider Sicilien
25	d3e124679Brockhaus-1809	Spanien [2]	Excellenz
26	d3e126823Brockhaus-1809	Die Tartarn	Chingis-Khan
27	d3e141399Brockhaus-1809	Die Wallachei	Hospodaren
28	d3e145259Brockhaus-1809	York	Lord
29	d3e145338Brockhaus-1809	Der Zaar oder Czaar	Zaar
30	d3e148042Brockhaus-1809	Adel	Herzog
31	d3e148042Brockhaus-1809	Adel	Graf
32	d3e148042Brockhaus-1809	Adel	Ritter
33	d3e148073Brockhaus-1809	Johann Christoph Adelung	Mithridates
34	d3e154924Brockhaus-1809	Böhmen	König
35	d3e170827Brockhaus-1809	Der Großfürst	Kaiser
36	d3e181890Brockhaus-1809	Der Mayor	Lord
37	d3e186185Brockhaus-1809	Horazio Nelson	Lord Nelson of the Nile und
38	d3e196521Brockhaus-1809	Der Rheinbund	Protector des Rheinbundes
