	EntryID	Headword	Results
0	d3e12247Brockhaus-1809	Cap	Capstadt
1	d3e20246Brockhaus-1809	Dreßden	Neustadt
2	d3e20246Brockhaus-1809	Dreßden	Neustadt
3	d3e27792Brockhaus-1809	Die Republik Genua	Hauptstadt
4	d3e31792Brockhaus-1809	Hannover	Neustadt
5	d3e33382Brockhaus-1809	Hermanstadt	Hermanstadt
6	d3e33382Brockhaus-1809	Hermanstadt	Hermanstadt
7	d3e33804Brockhaus-1809	Die Landgrafschaft Hessen	Hessen-Darmstadt
8	d3e33804Brockhaus-1809	Die Landgrafschaft Hessen	Darmstadt
9	d3e33804Brockhaus-1809	Die Landgrafschaft Hessen	Darmstadt
10	d3e43129Brockhaus-1809	Die Lausitz	Hessen-Darmstadt
11	d3e43880Brockhaus-1809	Leipzig	Neustadt
12	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Rastadt
13	d3e47075Brockhaus-1809	Die Reichsstadt Lübek	Hansestadt
14	d3e48433Brockhaus-1809	Magdeburg	Neustadt
15	d3e62580Brockhaus-1809	Das Fürstenthum Neufchatel	Neuenstadt
16	d3e63511Brockhaus-1809	Der Niedersächsische Kreis	Halberstadt
17	d3e63724Brockhaus-1809	Nizza	Neustadt
18	d3e82162Brockhaus-1809	Presburg	Hauptstadt
19	d3e86985Brockhaus-1809	Rastadter Congreß	Rastadt
20	d3e94875Brockhaus-1809	Französischer Revolutionskrieg	Rastadt
21	d3e94875Brockhaus-1809	Französischer Revolutionskrieg	Rastadt
22	d3e94875Brockhaus-1809	Französischer Revolutionskrieg	Rastadt
23	d3e100646Brockhaus-1809	Rostock	Freistadt
24	d3e101471Brockhaus-1809	Rußland	Kronstadt
25	d3e107336Brockhaus-1809	Schleswig	Glückstadt
26	d3e108008Brockhaus-1809	Schonen	Christianstadt
27	d3e114592Brockhaus-1809	Siebenbürgen	Hermanstadt
28	d3e137265Brockhaus-1809	Der Utrechter Friede	Rastadt
29	d3e137265Brockhaus-1809	Der Utrechter Friede	Rastadt
30	d3e155223Brockhaus-1809	Claudius Alexander Graf von Bonneval	Rastadt
31	d3e162715Brockhaus-1809	Deutschland	Hessen-Darmstadt
32	d3e162715Brockhaus-1809	Deutschland	Hessen-Darmstadt
33	d3e162715Brockhaus-1809	Deutschland	Halberstadt
34	d3e162715Brockhaus-1809	Deutschland	Hessen-Darmstadt
35	d3e166138Brockhaus-1809	Das Erzgebirge	Johann-Georgenstadt
36	d3e172570Brockhaus-1809	Ludwig Heß	Hessen-Darmstadt
37	d3e173226Brockhaus-1809	Holstein	Glückstadt
38	d3e180064Brockhaus-1809	Magdeburg	Hauptstadt
39	d3e184552Brockhaus-1809	Napoleon	Rastadt
40	d3e191018Brockhaus-1809	Johann Reinhold (Reginald) von Patkul	Fraustadt
41	d3e203831Brockhaus-1809	Die Stadt Warschau	Alt-Stadt
42	d3e203831Brockhaus-1809	Die Stadt Warschau	Nenstadt
