	EntryID	Headword	Results
0	d3e226Brockhaus-1809	Thomas Abt	von dem Tode fürs Vaterland
1	d3e511Brockhaus-1809	Der Activhandel	erstlich
2	d3e511Brockhaus-1809	Der Activhandel	zweitens
3	d3e570Brockhaus-1809	Joseph Addison	Zuschauers
4	d3e598Brockhaus-1809	Die Addresse	Frankreich
5	d3e598Brockhaus-1809	Die Addresse	eine Addresse an die Nation
6	d3e1777Brockhaus-1809	Franz Algarotti	Nevtonianismus für die Damen
7	d3e3263Brockhaus-1809	Die Anthropologie	Platners
8	d3e4027Brockhaus-1809	Die Archäologie	Nitzschischen
9	d3e4389Brockhaus-1809	Der Aristokrat	despotische
10	d3e4389Brockhaus-1809	Der Aristokrat	bürgerlichen
11	d3e4389Brockhaus-1809	Der Aristokrat	Girondisten
12	d3e5725Brockhaus-1809	Franciscus Bacon	über den Werth und das Wachsthum der menschlichen Wissenschaften
13	d3e5725Brockhaus-1809	Franciscus Bacon	neues Organon der Wissenschaften
14	d3e5725Brockhaus-1809	Franciscus Bacon	Vaters der Experimentalphysik
15	d3e5725Brockhaus-1809	Franciscus Bacon	Versuche über die Moral und Physik
16	d3e5838Brockhaus-1809	Carl Friedrich Bahrdt	System der Moraltheologie
17	d3e5838Brockhaus-1809	Carl Friedrich Bahrdt	Ketzeralmanach
18	d3e6015Brockhaus-1809	Das Ballet	Noverre
19	d3e6227Brockhaus-1809	Die Bank	Büsch
20	d3e6384Brockhaus-1809	Die Barbarei	Shaw
21	d3e7540Brockhaus-1809	Peter Augustin Baron von Beaumarchais	Girtanner
22	d3e7540Brockhaus-1809	Peter Augustin Baron von Beaumarchais	neuen
23	d3e7940Brockhaus-1809	Johann Albrecht Bengel	Offenbarung Johannis
24	d3e8084Brockhaus-1809	Georg Berkeley	Alciphron
25	d3e8668Brockhaus-1809	Boccaz	Decameron
26	d3e8716Brockhaus-1809	Jacob Böhme	Martin
27	d3e10210Brockhaus-1809	Jean Pierre Brissot	 nicht
28	d3e10790Brockhaus-1809	Miß Burney	Evelina
29	d3e10790Brockhaus-1809	Miß Burney	Charles Burney
30	d3e10833Brockhaus-1809	Johann George Büsch	allgemeiner Bekanntschaft
31	d3e10833Brockhaus-1809	Johann George Büsch	über den Wohlstand des Staats und der Bürger und die Quellen und Hindernisse desselben
32	d3e10833Brockhaus-1809	Johann George Büsch	von dem Geldumlauf
33	d3e10858Brockhaus-1809	Anton Friedrich Büsching	Charakter Friedrichs des Großen
34	d3e10952Brockhaus-1809	Die Cabbala	theoretische
35	d3e10952Brockhaus-1809	Die Cabbala	practische
36	d3e10952Brockhaus-1809	Die Cabbala	Wunder zu thun
37	d3e10952Brockhaus-1809	Die Cabbala	Heinrich Morus
38	d3e10952Brockhaus-1809	Die Cabbala	Christian Knorr
39	d3e10952Brockhaus-1809	Die Cabbala	Cabbalist
40	d3e11614Brockhaus-1809	Herr von Calonne	Calonne
41	d3e13495Brockhaus-1809	Die Catechetik	Gräffe
42	d3e14110Brockhaus-1809	Philipp Dormer Stanhope Graf von Chesterfield	Briefe an seinen Sohn
43	d3e14110Brockhaus-1809	Philipp Dormer Stanhope Graf von Chesterfield	Johnsons
44	d3e14744Brockhaus-1809	Classisch	engerer
45	d3e14744Brockhaus-1809	Classisch	classische
46	d3e14744Brockhaus-1809	Classisch	Schönen
47	d3e14744Brockhaus-1809	Classisch	noch engerer Bedeutung
48	d3e14744Brockhaus-1809	Classisch	Elassiker
49	d3e15681Brockhaus-1809	Constantin	Großen Constantin
50	d3e16162Brockhaus-1809	Pierre Corneille	Richelieu
51	d3e16230Brockhaus-1809	Das Corpus Juris	Instinians
52	d3e17555Brockhaus-1809	Die Dechiffrirkunst	zweibuchstäbige Worte
53	d3e19154Brockhaus-1809	Denis Diderot	Hausvater
54	d3e19154Brockhaus-1809	Denis Diderot	Lessing
55	d3e19154Brockhaus-1809	Denis Diderot	Versuche über die Mahlerei
56	d3e19186Brockhaus-1809	Denis Diderot (Interims-Nachtrag)	Diderots
57	d3e21248Brockhaus-1809	Die Emigranten	Marchena
58	d3e21248Brockhaus-1809	Die Emigranten	Röderer
59	d3e22197Brockhaus-1809	Leonhart Euler	Voltaire
60	d3e22397Brockhaus-1809	Die Exegetik	allgemeinen
