	EntryID	Headword	Results
0	d3e65142Brockhaus-1809	Die Octroi	Franz.
1	d3e75713Brockhaus-1809	Die Philosophie	Griech.
2	d3e79805Brockhaus-1809	Die Polypen	Griech.
3	d3e83176Brockhaus-1809	Protestanten	Lat.
4	d3e83258Brockhaus-1809	Psyche	Griech.
5	d3e85946Brockhaus-1809	Radius	Latein.
6	d3e119333Brockhaus-1809	Die Steganographie	Griech.
7	d3e124395Brockhaus-1809	Das Symptom	Griech.
8	d3e124411Brockhaus-1809	Der Synchronismus	Griech.
9	d3e124486Brockhaus-1809	Der Syntax	Griech.
10	d3e124626Brockhaus-1809	Das System	Griech.
11	d3e125870Brockhaus-1809	Der Tabouret	Franz.
12	d3e127529Brockhaus-1809	Die Tautologie	Griech.
13	d3e127540Brockhaus-1809	Die Technologie	Griech.
14	d3e127594Brockhaus-1809	Der Telegraph	Griech.
15	d3e127711Brockhaus-1809	Die Teleologie	Griech.
16	d3e128096Brockhaus-1809	Das Tempo	Ital.
17	d3e128699Brockhaus-1809	Têt à tête	Franz.
18	d3e129088Brockhaus-1809	Thavmaturg	Griech.
19	d3e129433Brockhaus-1809	Das Thema	Griech.
20	d3e129591Brockhaus-1809	Die Theocratie	Griech.
21	d3e129852Brockhaus-1809	Die Theogonie	Griech.
22	d3e129867Brockhaus-1809	Die Theophanie	Griech.
23	d3e129883Brockhaus-1809	Die Theophilanthropen	Griech.
24	d3e129922Brockhaus-1809	Die Theopnevstie	Griech.
25	d3e130108Brockhaus-1809	Die Thermolampe	Griech.
26	d3e130147Brockhaus-1809	Das Thermometer	Griech.
27	d3e130248Brockhaus-1809	Die Thesis	Griech.
28	d3e130397Brockhaus-1809	Die Theurgie	Griech.
29	d3e130923Brockhaus-1809	Die Threnodie	Griech.
30	d3e132994Brockhaus-1809	Die Topik	Griech.
31	d3e133054Brockhaus-1809	Die Torevtika	Griech.
32	d3e133165Brockhaus-1809	Der Torso	Ital.
33	d3e133817Brockhaus-1809	Die Transsubstantiation	Lat.
34	d3e134333Brockhaus-1809	Das Trifolium	Lat.
35	d3e134344Brockhaus-1809	Die Trigonometrie	Griech.
36	d3e136032Brockhaus-1809	Der Typus	Griech.
37	d3e136584Brockhaus-1809	Unanimiter	Lat.
38	d3e137150Brockhaus-1809	Uso	Ital.
39	d3e137170Brockhaus-1809	Usurpator	Lat.
40	d3e137443Brockhaus-1809	Và	Franz.
41	d3e137457Brockhaus-1809	Die Vacanz	Lat
42	d3e138865Brockhaus-1809	Veterinarius	Lat.
43	d3e138939Brockhaus-1809	Via Crucis	Lat.
44	d3e139342Brockhaus-1809	Videtur	Lat.
45	d3e146895Brockhaus-1809	Die Zoologie	Griech.
46	d3e146906Brockhaus-1809	Zoolythen	Griech.
47	d3e147388Brockhaus-1809	Die Abbreviatur	Lat.
48	d3e147479Brockhaus-1809	Ab intestato	Lat.
49	d3e147527Brockhaus-1809	Die Abolition	Lat.
50	d3e147538Brockhaus-1809	Abonniren	Franz.
51	d3e147711Brockhaus-1809	Der Acceß	Lat.
52	d3e148017Brockhaus-1809	Das Acrostichon	Griech.
53	d3e148143Brockhaus-1809	Adiaphora	Griech.
54	d3e148395Brockhaus-1809	Das Aequilibrium	Lat.
55	d3e148413Brockhaus-1809	Das Aequivalent	Lat.
56	d3e148424Brockhaus-1809	Die Aërometrie	Griech.
57	d3e148571Brockhaus-1809	Agapeten	Griech.
58	d3e148588Brockhaus-1809	Die Agende	Lat.
59	d3e148648Brockhaus-1809	Das Agio	Ital.
60	d3e148689Brockhaus-1809	Die Agnaten	Lat.
61	d3e148735Brockhaus-1809	Agon	Griech.
62	d3e148895Brockhaus-1809	Der Alabaster	Griech.
63	d3e149465Brockhaus-1809	Allotria	Griech.
64	d3e149566Brockhaus-1809	Al pari	Ital.
65	d3e149724Brockhaus-1809	Der Amanuensis	Lat.
66	d3e149735Brockhaus-1809	Ambassadeur	Franz.
67	d3e149907Brockhaus-1809	Die Amortisation	Lat.
68	d3e150105Brockhaus-1809	Die Anekdote	Griech.
69	d3e150145Brockhaus-1809	Das Anemoskop	Griech
70	d3e150224Brockhaus-1809	Der Anglicism	Lat.
71	d3e150285Brockhaus-1809	Die Annalen	Lat.
72	d3e150313Brockhaus-1809	Anonymus	Griech.
73	d3e150369Brockhaus-1809	Der Antagonist	Griech.
74	d3e150403Brockhaus-1809	Anthropoliten	Griech.
75	d3e150417Brockhaus-1809	Das Antidotum	Griech.
76	d3e150429Brockhaus-1809	Die Antikritik	Griech.
77	d3e150549Brockhaus-1809	Die Antipathie	Griech.
78	d3e150693Brockhaus-1809	Die Apologie	Griech.
79	d3e150707Brockhaus-1809	Die Apoplexie	Griech.
80	d3e150719Brockhaus-1809	Apostasie	Griech.
81	d3e150747Brockhaus-1809	Der Apostroph	Griech.
82	d3e150776Brockhaus-1809	Die Appellation	Lat.
83	d3e150799Brockhaus-1809	Aquäduct	Lat.
84	d3e150958Brockhaus-1809	Das Arcanum	Lat.
85	d3e151020Brockhaus-1809	Die Architektonik	Griech.
86	d3e151031Brockhaus-1809	Die Architektur	Griech.
87	d3e151045Brockhaus-1809	Das Archiv	Lat.
88	d3e151208Brockhaus-1809	Die Armatur	Lat.
89	d3e151428Brockhaus-1809	Arrondiren	Franz.
90	d3e151481Brockhaus-1809	Die Artillerie	Franz
91	d3e151579Brockhaus-1809	Ascendenten	Lat.
92	d3e151602Brockhaus-1809	Die Aspecten	Lat.
93	d3e151726Brockhaus-1809	Das Asthma	Griech.
94	d3e151882Brockhaus-1809	Die Attitude	Franz.
95	d3e151897Brockhaus-1809	Die Attraction	Lat.
96	d3e151911Brockhaus-1809	Die Audienz	Lat.
97	d3e151942Brockhaus-1809	Der Auditeur	Franz.
98	d3e152175Brockhaus-1809	Authentisch	Griech.
99	d3e152332Brockhaus-1809	Der Avtodidactos	Griech.
100	d3e152548Brockhaus-1809	Der Baldachin	Franz.
101	d3e152606Brockhaus-1809	Die Ballotage	Franz.
102	d3e152741Brockhaus-1809	Das Banquet	Ital.
103	d3e152770Brockhaus-1809	Der Barbärism	Lat.
104	d3e153052Brockhaus-1809	Das Barret	Franz.
105	d3e153219Brockhaus-1809	Die Basis	Lat.
106	d3e153256Brockhaus-1809	Das Bassin	Franz.
107	d3e154480Brockhaus-1809	Die Bigamie	Griech.
108	d3e154491Brockhaus-1809	Bigott	Franz.
109	d3e154508Brockhaus-1809	Bijou	Franz.
110	d3e154647Brockhaus-1809	Die Biographie	Griech.
111	d3e154785Brockhaus-1809	Bizarr	Franz.
112	d3e154864Brockhaus-1809	Blasphemie	Griech.
113	d3e155147Brockhaus-1809	Bon bon	Franz.
114	d3e155161Brockhaus-1809	Die Bonhommie	Franz.
115	d3e155175Brockhaus-1809	Bonis cediren	Lat.
116	d3e155186Brockhaus-1809	Das Bon mot	Franz.
117	d3e155212Brockhaus-1809	Die Bonne	Franz.
118	d3e155356Brockhaus-1809	Der Bon sens	Franz.
119	d3e155370Brockhaus-1809	Der Bon ton	Franz.
120	d3e155384Brockhaus-1809	Der Bonvivant	Franz.
121	d3e155455Brockhaus-1809	Bornirt	Franz.
122	d3e155640Brockhaus-1809	Die Boussole	Franz.
123	d3e155668Brockhaus-1809	Bracteaten	Lat.
124	d3e156162Brockhaus-1809	Der Brillant	Franz.
125	d3e156576Brockhaus-1809	Bulletin	Franz.
126	d3e156702Brockhaus-1809	Burlesk	Franz.
127	d3e156785Brockhaus-1809	Der Cadet	Franz.
128	d3e156882Brockhaus-1809	Caduk	Lat.
129	d3e156905Brockhaus-1809	Die Cäsur	Lat.
130	d3e157663Brockhaus-1809	Das Capitel	Lat
131	d3e158251Brockhaus-1809	Das Castrum doloris	Latein.
132	d3e158729Brockhaus-1809	Centurien	Lat.
133	d3e158814Brockhaus-1809	Die Chalcographie	Griech.
134	d3e158845Brockhaus-1809	Die Chamade	Franz.
135	d3e158974Brockhaus-1809	Charlatan	Franz.
136	d3e159190Brockhaus-1809	Chirographarisch	Griech.
137	d3e159476Brockhaus-1809	Chronisch	Griech.
138	d3e160015Brockhaus-1809	Die Cisterne	Lat.
139	d3e160358Brockhaus-1809	Das Codicill	Lat.
140	d3e160448Brockhaus-1809	Cognaten	Lat.
141	d3e160552Brockhaus-1809	Der Colporteur	Franz.
142	d3e160594Brockhaus-1809	Der Commentar	Lat.
143	d3e160634Brockhaus-1809	Competent	Lat.
144	d3e160665Brockhaus-1809	Die Concordanz	Lat.
145	d3e160735Brockhaus-1809	Der Congreß	Lat.
146	d3e160951Brockhaus-1809	Contraband	Ital.
147	d3e160987Brockhaus-1809	Der Convent	Lat.
148	d3e161083Brockhaus-1809	Der Cordon	Franz.
149	d3e161493Brockhaus-1809	Credenzen	Ital.
150	d3e161751Brockhaus-1809	Der Cyclus	Griech.
151	d3e162177Brockhaus-1809	Die Declamation	Lat.
152	d3e162276Brockhaus-1809	Das Decoct	Lat.
153	d3e162324Brockhaus-1809	Der Defilé	Franz.
154	d3e162485Brockhaus-1809	Descendenten	Lat.
155	d3e162502Brockhaus-1809	Der Despot	Griech.
156	d3e164015Brockhaus-1809	Das Diadem	Griech.
157	d3e164040Brockhaus-1809	Der Dialect	Griech
158	d3e164069Brockhaus-1809	Das Dicasterium	Griech.
159	d3e164596Brockhaus-1809	Die Douane	Franz.
160	d3e165226Brockhaus-1809	Die Eklipse	Griech.
161	d3e165246Brockhaus-1809	Die Ekstase	Griech.
162	d3e165462Brockhaus-1809	Der Embryo	Griech.
163	d3e165473Brockhaus-1809	Der Emaritus	Lat.
164	d3e165529Brockhaus-1809	Die Emphasis	Griech.
165	d3e165556Brockhaus-1809	Die Energie	Griech.
166	d3e165610Brockhaus-1809	Das Ensemble	Franz.
167	d3e165645Brockhaus-1809	Der Enthusiasmus	Griech.
168	d3e165667Brockhaus-1809	Das Entrechat	Franz.
169	d3e165681Brockhaus-1809	Der Envoyé	Franz.
170	d3e165791Brockhaus-1809	Der Epilog	Griech.
171	d3e165808Brockhaus-1809	Epineux	Franz.
172	d3e165857Brockhaus-1809	Das Epitheton	Griech.
173	d3e165881Brockhaus-1809	Die Epoche	Griech.
174	d3e166196Brockhaus-1809	Die Escadre	Franz.
175	d3e166210Brockhaus-1809	Die Essenz	Lat.
176	d3e166292Brockhaus-1809	Die Ethik	Griech.
177	d3e166303Brockhaus-1809	Die Etiquette	Franz.
178	d3e166331Brockhaus-1809	Die Etymologie	Griech.
179	d3e166756Brockhaus-1809	Eventualiter	Lat.
180	d3e166770Brockhaus-1809	Evergeten, Evergetä	Griech.
181	d3e166791Brockhaus-1809	Das Exarchat	Griech.
182	d3e166971Brockhaus-1809	Der Fanfaron	Franz.
183	d3e167072Brockhaus-1809	Fauteuil	Franz.
184	d3e167086Brockhaus-1809	Faux-Pas	Franz.
185	d3e167247Brockhaus-1809	Das Fideicommiß	Lat.
186	d3e167505Brockhaus-1809	Der Fiscal	Lat.
187	d3e168065Brockhaus-1809	Das Fragment	Lat.
188	d3e168655Brockhaus-1809	Der Frontispice	Franz.
189	d3e168709Brockhaus-1809	Der Füsilier	Franz.
190	d3e169265Brockhaus-1809	Das Gelée	Franz.
191	d3e169324Brockhaus-1809	Die Genealogie	Griech.
192	d3e169354Brockhaus-1809	Die Generation	Lat.
193	d3e169382Brockhaus-1809	Gens d'armes	Franz.
194	d3e169461Brockhaus-1809	Die Geognosie	Griech.
195	d3e169472Brockhaus-1809	Die Geographie	Griech
196	d3e169845Brockhaus-1809	Glace	Franz.
197	d3e169859Brockhaus-1809	Der Glacis	Franz.
198	d3e169876Brockhaus-1809	Das Glaucom	Griech.
199	d3e169970Brockhaus-1809	Der Globus	Lat.
200	d3e170068Brockhaus-1809	Die Gnomen	Griech.
201	d3e170770Brockhaus-1809	Die Gromatik	Griech.
202	d3e171766Brockhaus-1809	Haranguiren	Franz.
203	d3e171949Brockhaus-1809	Haute-lisse	Franz.
204	d3e172747Brockhaus-1809	High-Wayman	Engl.
205	d3e173295Brockhaus-1809	Das Horologium	Griech.
206	d3e173809Brockhaus-1809	Das Idol	Griech.
207	d3e173995Brockhaus-1809	Das Incarnat	Franz.
208	d3e174023Brockhaus-1809	Incorporirt	Lat.
209	d3e174063Brockhaus-1809	Das Indigenat	Lat.
210	d3e174263Brockhaus-1809	Insurgenten	Lat.
211	d3e174280Brockhaus-1809	Der Intendant	Lat.
212	d3e176481Brockhaus-1809	Kataphracten	Griech.
213	d3e176520Brockhaus-1809	Die Katastrophe	Griech.
214	d3e177365Brockhaus-1809	Die Kosmologie	Griech.
215	d3e177947Brockhaus-1809	Der Laie	Lat.
216	d3e178799Brockhaus-1809	Lethargie	Griech.
217	d3e178893Brockhaus-1809	Das Libell	Lat.
218	d3e178929Brockhaus-1809	Libertin	Franz.
219	d3e179157Brockhaus-1809	Das Littorale	Lat.
220	d3e179211Brockhaus-1809	Logomachie	Griech.
221	d3e180329Brockhaus-1809	Majorenn	mittl.
222	d3e180401Brockhaus-1809	Die Makrobiotik	Griech.
223	d3e180531Brockhaus-1809	Die Manege	Franz.
224	d3e180542Brockhaus-1809	Die Manie	Griech.
225	d3e180670Brockhaus-1809	Das Manometer	Griech.
226	d3e180774Brockhaus-1809	Die Mappemonde	Franz.
227	d3e181009Brockhaus-1809	Die Maréchaussé	Franz.
228	d3e181119Brockhaus-1809	Die Marine	Franz.
229	d3e181306Brockhaus-1809	Der Marodeur	Franz.
230	d3e181355Brockhaus-1809	Die Marotte	Franz.
231	d3e181576Brockhaus-1809	Die Maskopey	Holländ.
232	d3e181861Brockhaus-1809	Das Maximum	Lat.
233	d3e182182Brockhaus-1809	Die Megalographie	Griech.
234	d3e182339Brockhaus-1809	Die Menagerie	Franz.
235	d3e182507Brockhaus-1809	Der Mesochorus	Griech.
236	d3e182602Brockhaus-1809	Die Metapher	Griech.
237	d3e182619Brockhaus-1809	Die Metempsychosis	Griech.
238	d3e182633Brockhaus-1809	Die Methode	Griech.
239	d3e182664Brockhaus-1809	Die Metonymie	Griech.
240	d3e182675Brockhaus-1809	Die Metoposcopie	Griech.
241	d3e182728Brockhaus-1809	Das Metrum	Griech.
242	d3e182894Brockhaus-1809	Die Mikrologie	Griech.
243	d3e182911Brockhaus-1809	Der Mikrometer	Griech.
244	d3e183011Brockhaus-1809	Das Ministerium	Lat.
245	d3e183126Brockhaus-1809	Misanthrop	Griech.
246	d3e183151Brockhaus-1809	Der Misogyn	Griech.
247	d3e183280Brockhaus-1809	Die Mnemonik	Griech.
248	d3e183434Brockhaus-1809	Der Molo	Ital.
249	d3e183468Brockhaus-1809	Die Monarchie	Griech.
250	d3e183529Brockhaus-1809	Die Monogamie	Griech.
251	d3e183544Brockhaus-1809	Der Monolog	Griech.
252	d3e183566Brockhaus-1809	Monoton	Griech.
253	d3e184008Brockhaus-1809	Die Motion	Lat.
254	d3e184341Brockhaus-1809	Myops	Griech.
255	d3e186678Brockhaus-1809	Neutral	Lat.
256	d3e187172Brockhaus-1809	Das Nonens	Lat.
257	d3e187408Brockhaus-1809	Die Nosologie	Griech.
258	d3e187585Brockhaus-1809	Die Numismatik	Lat.
259	d3e187676Brockhaus-1809	Die Observanz	Lat.
260	d3e187691Brockhaus-1809	Obsolet	Lat.
261	d3e187717Brockhaus-1809	Der Occident	Lat.
262	d3e187983Brockhaus-1809	Official	Lat.
263	d3e188014Brockhaus-1809	Die Officin	Lat.
264	d3e188119Brockhaus-1809	Die Oligarchie	Griech.
265	d3e188147Brockhaus-1809	Die Olive	Lat.
266	d3e188242Brockhaus-1809	Die Onomantie	Griech.
267	d3e188256Brockhaus-1809	Die Onomatopöie	Griech.
268	d3e188736Brockhaus-1809	Das Organ	Griech
269	d3e189004Brockhaus-1809	Die Ornithologie	Griech.
270	d3e189429Brockhaus-1809	Die Pädagogik	Griech.
271	d3e189642Brockhaus-1809	Die Palingenesie	Griech.
272	d3e189803Brockhaus-1809	Die Pansophie	Griech.
273	d3e189979Brockhaus-1809	Der Parachronismus	Griech.
274	d3e190023Brockhaus-1809	Die Parallaxe	Griech.
275	d3e190034Brockhaus-1809	Parallel	Griech.
276	d3e190073Brockhaus-1809	Der Paralogismus	Griech.
277	d3e190113Brockhaus-1809	Die Paraphrase	Griech.
278	d3e190169Brockhaus-1809	Das Parere	Ital.
279	d3e190678Brockhaus-1809	Die Parochie	Griech.
280	d3e190745Brockhaus-1809	Das Parquet	Franz.
281	d3e190767Brockhaus-1809	Parrhesie	Griech.
282	d3e190990Brockhaus-1809	Die Pathologie	Griech.
283	d3e191004Brockhaus-1809	Das Pathos	Griech.
284	d3e191067Brockhaus-1809	Der Patriarch	Griech.
285	d3e191307Brockhaus-1809	Der Penchant	Franz.
286	d3e191321Brockhaus-1809	Der Pendant	Franz.
287	d3e191433Brockhaus-1809	Die Pentaglotte	Griech.
