	EntryID	headword	compound
17	d2e90Brockhaus-1911	Aachen	Aachener
20	d2e599Brockhaus-1911	Aarö	Aarösund
21	d2e877Brockhaus-1911	Abaliget	Abaligeter
22	d2e894Brockhaus-1911	Abandon	Abandonnieren
23	d2e930Brockhaus-1911	Abas	Abassî
24	d2e1048Brockhaus-1911	Abbach	Abbacher
25	d2e1117Brockhaus-1911	Abbas	Abbasiden
26	d2e1439Brockhaus-1911	Abdecker	Abdeckereien
27	d2e1970Brockhaus-1911	Abendmahl	Abendmahlselementen
28	d2e2296Brockhaus-1911	Aberration	Aberrationszeit
29	d2e2296Brockhaus-1911	Aberration	Aberrationskonstante
30	d2e2341Brockhaus-1911	Abertham	Aberthamer
31	d2e2583Brockhaus-1911	Abgar	Abgarbilder
32	d2e2886Brockhaus-1911	Abjuration	Abjurationseid
33	d2e2983Brockhaus-1911	Ablaß	Ablaßkrämer
34	d2e3088Brockhaus-1911	Ableitung	Ableitungsmittel
36	d2e3632Brockhaus-1911	Abrechnung	Abrechnungsstellen
38	d2e4013Brockhaus-1911	Absolut	Absolutes
39	d2e4013Brockhaus-1911	Absolut	Absoluter
40	d2e4113Brockhaus-1911	Absonderung	Absonderungsberechtigte
41	d2e4197Brockhaus-1911	Abstention	Abstentionismus
42	d2e4240Brockhaus-1911	Abstoßung	Abstoßungserscheinungen
43	d2e4421Brockhaus-1911	Abtei	Abteien
44	d2e4438Brockhaus-1911	Abtei [2]	Abteital
46	d2e4944Brockhaus-1911	Abzug	Abzugsvorrichtung
49	d2e5741Brockhaus-1911	Achen	Achensees
50	d2e5741Brockhaus-1911	Achen	Achental
51	d2e6251Brockhaus-1911	Achsel	Achselknospe
52	d2e6251Brockhaus-1911	Achsel	Achselhöhle
53	d2e6251Brockhaus-1911	Achsel	Achselsproß
54	d2e6348Brockhaus-1911	Acht	Achtsprozeß
55	d2e6378Brockhaus-1911	Achtel	Achtelpause
56	d2e6413Brockhaus-1911	Achter	Achterlich
57	d2e6413Brockhaus-1911	Achter	Achterlastig
58	d2e6413Brockhaus-1911	Achter	Achterdeck
59	d2e6413Brockhaus-1911	Achter	Achteraus
60	d2e6608Brockhaus-1911	Ackerbau	Ackerbaulehre
61	d2e6608Brockhaus-1911	Ackerbau	Ackerbauwissenschaft
62	d2e6861Brockhaus-1911	a conto	a conto-Zahlung
63	d2e6983Brockhaus-1911	Acquit	Acquit-à-caution
65	d2e7263Brockhaus-1911	a.d. [2]	a dato
66	d2e7341Brockhaus-1911	Adâl	Adâl-Danâkil
67	d2e7961Brockhaus-1911	Addition	Additionalakte
68	d2e7961Brockhaus-1911	Addition	Additionāl
69	d2e8013Brockhaus-1911	Adel	Adelsklassen
70	d2e8013Brockhaus-1911	Adel	Adelsbrief
71	d2e8013Brockhaus-1911	Adel	Adelsprädikat
72	d2e8174Brockhaus-1911	Adelsberg	Adelsberger
73	d2e9014Brockhaus-1911	Adjutor	Adjutorĭum
74	d2e9054Brockhaus-1911	Adler	Legionsadler
75	d2e9054Brockhaus-1911	Adler	Seeadler
76	d2e9054Brockhaus-1911	Adler	Fischadler
77	d2e9054Brockhaus-1911	Adler	Steinadler
78	d2e9603Brockhaus-1911	Admiral	Interimsgroßadmiralstab
79	d2e9603Brockhaus-1911	Admiral	Admiralität
80	d2e9603Brockhaus-1911	Admiral	Großadmiralstab
81	d2e9603Brockhaus-1911	Admiral	Admiralschiff
82	d2e9603Brockhaus-1911	Admiral	Admiralstab
83	d2e9603Brockhaus-1911	Admiral	Admiralitätsgericht
84	d2e9931Brockhaus-1911	Adonis	Adonisröschen
85	d2e10299Brockhaus-1911	Adria	Adriatisches
86	d2e10310Brockhaus-1911	Adria [2]	Hadria
87	d2e10332Brockhaus-1911	Adrian [2]	Hadrian
88	d2e10406Brockhaus-1911	Adschanta	Adschantagebirge
89	d2e10830Brockhaus-1911	Aërobien	Anaërobien
90	d2e10917Brockhaus-1911	Aëronaut	Aëronautik
92	d2e11133Brockhaus-1911	Affektion	Affektionswert
93	d2e11133Brockhaus-1911	Affektion	Affektionsinteresse
94	d2e11206Brockhaus-1911	Affenbrotbaum	Affenbrotbaumrinde
95	d2e11237Brockhaus-1911	Affenthal	Affenthaler
96	d2e11573Brockhaus-1911	Afrika	Zentralafrika
97	d2e11573Brockhaus-1911	Afrika	Afrikanische
98	d2e11573Brockhaus-1911	Afrika	Deutsch-Ostafrika
99	d2e11904Brockhaus-1911	Afterlehn	Afterlehnsherr
101	d2e12621Brockhaus-1911	Ageladas	Hageladas
102	d2e12726Brockhaus-1911	Ägeri	Ägerisee
103	d2e12825Brockhaus-1911	Agglomerat	Agglomeration
104	d2e12870Brockhaus-1911	Aggregat	Aggregatzustand
105	d2e13039Brockhaus-1911	Agil	Agilität
106	d2e13601Brockhaus-1911	Agoníst	Agonístik
107	d2e14133Brockhaus-1911	Agronom	Agronomīe
108	d2e14273Brockhaus-1911	Agtelek	Agteleker
109	d2e14400Brockhaus-1911	Agulhas	Agulhasbank
110	d2e14651Brockhaus-1911	Ägyptolog	Ägyptologīe
111	d2e14746Brockhaus-1911	Ahlbeck	Ahlbecker
112	d2e14958Brockhaus-1911	Ahnen	Ahnenprobe
113	d2e14998Brockhaus-1911	Ahorn	Ahornzucker
114	d2e14998Brockhaus-1911	Ahorn	Bergahorn
115	d2e15067Brockhaus-1911	Ahr	Ahrtal
116	d2e15251Brockhaus-1911	Aia	Aiaia
117	d2e15385Brockhaus-1911	Aide	Aide-major
118	d2e15498Brockhaus-1911	Aigle	Laigle
119	d2e15633Brockhaus-1911	Ailanthus	Ailanthusspinners
120	d2e15853Brockhaus-1911	Ainu	Ainufrau
121	d2e16172Brockhaus-1911	Aix [2]	Aix-en
122	d2e16186Brockhaus-1911	Aix [3]	Aix-les
124	d2e16985Brockhaus-1911	Akka [2]	Akka-Mädchen
125	d2e17303Brockhaus-1911	Akkurat	Akkuratesse
126	d2e17317Brockhaus-1911	Akkusat	Akkusation
127	d2e17385Brockhaus-1911	Akne	Akneknoten
128	d2e17801Brockhaus-1911	Akten	Aktenmäßigkeit
129	d2e17801Brockhaus-1911	Akten	Akteninhalt
130	d2e17825Brockhaus-1911	Aktie	Aktiengesellschaften
131	d2e17825Brockhaus-1911	Aktie	Aktienwesen
132	d2e17825Brockhaus-1911	Aktie	Aktienrecht
133	d2e17825Brockhaus-1911	Aktie	Prioritätsaktien
134	d2e17825Brockhaus-1911	Aktie	Aktiengesellschaft
135	d2e17845Brockhaus-1911	Aktinien	Hexaktinien
136	d2e17915Brockhaus-1911	Aktinograph	Aktinographīe
139	d2e18575Brockhaus-1911	Ala.	Alabama
140	d2e19132Brockhaus-1911	Alas.	Alaska
141	d2e19218Brockhaus-1911	Alatau	Alatauische
142	d2e19285Brockhaus-1911	Alaun	Alaunschiefer
143	d2e19285Brockhaus-1911	Alaun	Alaunlauge
144	d2e19285Brockhaus-1911	Alaun	Alaunkuchen
145	d2e19450Brockhaus-1911	Alb [2]	Albbruck
146	d2e19450Brockhaus-1911	Alb [2]	oberhalb
147	d2e19450Brockhaus-1911	Alb [2]	Herrenalb
149	d2e19942Brockhaus-1911	Albert [6]	Albertus
150	d2e20236Brockhaus-1911	Albigenser	Albigenserkriege
151	d2e20278Brockhaus-1911	Albis	Albisbrunn
152	d2e20892Brockhaus-1911	Albula	Albulatal
153	d2e20892Brockhaus-1911	Albula	Albulabahn
154	d2e20892Brockhaus-1911	Albula	Albulatunnel
155	d2e20920Brockhaus-1911	Albumin	Albuminpapier
156	d2e20920Brockhaus-1911	Albumin	Albumināte
157	d2e21544Brockhaus-1911	Aldehyd	Paraldehyd
158	d2e21544Brockhaus-1911	Aldehyd	Äthylaldehyd
159	d2e21544Brockhaus-1911	Aldehyd	Aldehydharz
160	d2e21544Brockhaus-1911	Aldehyd	Azetaldehyd
161	d2e21719Brockhaus-1911	Ale	Pale
162	d2e21862Brockhaus-1911	Alemannen	Alemannenschlacht
163	d2e22221Brockhaus-1911	Aleurites	Aleuritesöl
164	d2e22314Brockhaus-1911	Alexander	Alexandersage
165	d2e22752Brockhaus-1911	Alexandria [3]	Alexandriakanal
166	d2e23145Brockhaus-1911	Alfanz	Alfanzerei
167	d2e23170Brockhaus-1911	Alfeld	Alfelder
168	d2e23515Brockhaus-1911	Alfuren	Alfuren-Häuptling
169	d2e23645Brockhaus-1911	Algebra	Algebraiker
170	d2e23746Brockhaus-1911	Algesheim	Gaualgesheim
171	d2e23793Brockhaus-1911	Algin	Alginsäure
172	d2e23979Brockhaus-1911	Ali	Kalif
173	d2e24027Brockhaus-1911	Alibi	Alibibeweis
174	d2e24052Brockhaus-1911	Alicante	Alicantewein
175	d2e24277Brockhaus-1911	Alisma	Alismazeen
176	d2e24784Brockhaus-1911	Alkyone	Halkyone
177	d2e24944Brockhaus-1911	Allegat	Allegation
178	d2e25197Brockhaus-1911	Allentando	rallentando
179	d2e25381Brockhaus-1911	Allgäu	Allgäuer
180	d2e25719Brockhaus-1911	All	Allegro
181	d2e25766Brockhaus-1911	Allod	Allodiāl
182	d2e25766Brockhaus-1911	Allod	Allodĭum
183	d2e25766Brockhaus-1911	Allod	Allodifikation
184	d2e25988Brockhaus-1911	Alluvion	Alluvionsrechts
185	d2e26344Brockhaus-1911	Almerode	Großalmerode
187	d2e26786Brockhaus-1911	Alp [2]	Alpdrücken
188	d2e26865Brockhaus-1911	Alpen	Alpenpflanzen
189	d2e26865Brockhaus-1911	Alpen	Gneisalpenzug
190	d2e26865Brockhaus-1911	Alpen	Alpenpässe
191	d2e26865Brockhaus-1911	Alpen	Alpenhase
192	d2e26865Brockhaus-1911	Alpen	Alpenbahnen
193	d2e26865Brockhaus-1911	Alpen	Alpenrosen
194	d2e26865Brockhaus-1911	Alpen	Alpenländer
195	d2e27143Brockhaus-1911	Alpha	Alphabets
196	d2e27314Brockhaus-1911	Alpnach	Alpnach-Stad
197	d2e27314Brockhaus-1911	Alpnach	Alpnacher
198	d2e27314Brockhaus-1911	Alpnach	Alpnach-Dorf
200	d2e27457Brockhaus-1911	Al segno	dal segno
201	d2e27473Brockhaus-1911	Alsen	Alsener
202	d2e27590Brockhaus-1911	Alster	Alsterbassin
203	d2e27652Brockhaus-1911	Alt	contralto
204	d2e27691Brockhaus-1911	Altai	Altaier
205	d2e27793Brockhaus-1911	Altar	Flügelaltar
206	d2e28450Brockhaus-1911	Alternieren	Alternierende
207	d2e28565Brockhaus-1911	Altertum	Altertumswissenschaft
208	d2e28565Brockhaus-1911	Altertum	Altertumskunde
210	d2e28822Brockhaus-1911	Althee	Altheepasta
211	d2e28917Brockhaus-1911	Altkatholiken	Altkatholikenkongresse
212	d2e28917Brockhaus-1911	Altkatholiken	Altkatholiken-Kongresses
213	d2e29107Brockhaus-1911	Altona	Altonaer
214	d2e29606Brockhaus-1911	Aluminium	Aluminiumchlorīd
215	d2e29606Brockhaus-1911	Aluminium	Aluminiumsilber
216	d2e29606Brockhaus-1911	Aluminium	Aluminiumsulfid
217	d2e29606Brockhaus-1911	Aluminium	Aluminiummessing
218	d2e29606Brockhaus-1911	Aluminium	Aluminiumsulfāt
219	d2e29606Brockhaus-1911	Aluminium	Aluminiumhydroxȳd
220	d2e29606Brockhaus-1911	Aluminium	Aluminiumoxȳd
221	d2e29606Brockhaus-1911	Aluminium	Aluminiumnatriumfluorid
222	d2e29606Brockhaus-1911	Aluminium	Aluminiumazetāt
223	d2e29606Brockhaus-1911	Aluminium	Aluminiumbronze
224	d2e29807Brockhaus-1911	Alveolar	Alveolarabszeß
225	d2e29807Brockhaus-1911	Alveolar	Alveolarkrebs
227	d2e30069Brockhaus-1911	Amadis	Amadisromane
228	d2e30179Brockhaus-1911	Amalgam	Amalgamsilber
229	d2e30539Brockhaus-1911	Amathus	Amathusĭa
230	d2e30628Brockhaus-1911	Amaxiki	Hamaxiki
231	d2e30674Brockhaus-1911	Amazonen [2]	Amazonenpapagei
232	d2e30766Brockhaus-1911	Ambacht	Ambachtslehn
233	d2e30766Brockhaus-1911	Ambacht	Ambachtsleute
234	d2e30766Brockhaus-1911	Ambacht	Ambachtsrecht
235	d2e30811Brockhaus-1911	Ambassade	Ambassadeur
237	d2e31298Brockhaus-1911	Ambras	Ambraser
238	d2e31493Brockhaus-1911	Ameisen	Ameisensäure
239	d2e31493Brockhaus-1911	Ameisen	Ameiseneier
240	d2e31493Brockhaus-1911	Ameisen	Ameisenspiritus
241	d2e31493Brockhaus-1911	Ameisen	Ameisenfreunde
242	d2e31981Brockhaus-1911	Amerika	Nordamerika
243	d2e31981Brockhaus-1911	Amerika	Zentralamerika
244	d2e31981Brockhaus-1911	Amerika	Südamerikanische
245	d2e31981Brockhaus-1911	Amerika	Amerikanische
246	d2e31981Brockhaus-1911	Amerika	Nordamerikanisches
247	d2e31981Brockhaus-1911	Amerika	Südamerika
248	d2e32284Brockhaus-1911	a metà	a metà-Geschäfte
249	d2e32715Brockhaus-1911	Amme	Ammenzeugung
250	d2e32777Brockhaus-1911	Ammer [2]	Spornammer
251	d2e32852Brockhaus-1911	Ammer [3]	Oberammergau
252	d2e32852Brockhaus-1911	Ammer [3]	Ammergau
253	d2e32852Brockhaus-1911	Ammer [3]	Ammertal
254	d2e32852Brockhaus-1911	Ammer [3]	Unterammergau
255	d2e32852Brockhaus-1911	Ammer [3]	Ammersee
256	d2e32888Brockhaus-1911	Ammergau	Oberammergau
257	d2e33017Brockhaus-1911	Ammon	Ammonium
258	d2e33017Brockhaus-1911	Ammon	Ammonsoase
259	d2e33017Brockhaus-1911	Ammon	Ammonstadt
260	d2e33055Brockhaus-1911	Ammoniak	Ammoniakflüssigkeit
261	d2e33055Brockhaus-1911	Ammoniak	Ammoniakwasser
262	d2e33069Brockhaus-1911	Ammoniak [2]	Ammoniakgummi
263	d2e33165Brockhaus-1911	Ammonium	Ammoniumsulfhydrāt
264	d2e33165Brockhaus-1911	Ammonium	Ammoniumnitrāt
265	d2e33165Brockhaus-1911	Ammonium	Ammoniumnitrīt
266	d2e33165Brockhaus-1911	Ammonium	Ammoniumkarbonat
267	d2e33165Brockhaus-1911	Ammonium	Ammoniumsulfāt
268	d2e33165Brockhaus-1911	Ammonium	Ammoniumsalzen
269	d2e33165Brockhaus-1911	Ammonium	Ammoniumchlorīd
270	d2e33322Brockhaus-1911	Amnestie	Amnestieren
271	d2e33336Brockhaus-1911	Amnion	Amnionwasser
272	d2e33384Brockhaus-1911	Amok	Amokläufer
273	d2e33384Brockhaus-1911	Amok	Amoklaufen
274	d2e33474Brockhaus-1911	Amön	Amönität
275	d2e33685Brockhaus-1911	Amortisation	Amortisationsfonds
276	d2e33685Brockhaus-1911	Amortisation	Amortisationsverfahren
277	d2e34612Brockhaus-1911	Amsterdam [3]	Neuamsterdam
278	d2e34802Brockhaus-1911	Amu	Amu-darja
279	d2e35065Brockhaus-1911	Amylalkohol	Gärungsamylalkohol
280	d2e35079Brockhaus-1911	Amylazetat	Amylazetatlampe
281	d2e35209Brockhaus-1911	Ana	Taubmanniana
282	d2e35209Brockhaus-1911	Ana	Scaligerana
283	d2e35559Brockhaus-1911	Anakoluth(on)	Anakoluthīe
284	d2e35703Brockhaus-1911	Analog	Analogieschluß
285	d2e35703Brockhaus-1911	Analog	Analogismus
286	d2e35703Brockhaus-1911	Analog	Analogīe
287	d2e35757Brockhaus-1911	Analyse	Spektralanalyse
289	d2e35959Brockhaus-1911	Ananas	Ananasbatist
290	d2e35959Brockhaus-1911	Ananas	Ananasseide
291	d2e35959Brockhaus-1911	Ananas	Ananashanf
292	d2e35959Brockhaus-1911	Ananas	Ananassa
293	d2e36211Brockhaus-1911	Anastatisch	Anastatischer
294	d2e36225Brockhaus-1911	Anästhesie	Anästhesieren
295	d2e36291Brockhaus-1911	Anathem	Anathematisieren
296	d2e37127Brockhaus-1911	Andorra	Andorraner
297	d2e37219Brockhaus-1911	Andreas	Andreaskreuz
298	d2e37784Brockhaus-1911	Anemone	Kronenanemone
299	d2e37823Brockhaus-1911	Anerbe	Anerbenrecht
300	d2e37837Brockhaus-1911	Aneroid	Aneroidbarometer
301	d2e38004Brockhaus-1911	Angel	Angelfischerei
302	d2e38004Brockhaus-1911	Angel	Angelleinen
303	d2e38096Brockhaus-1911	Angelica	Archangelica
304	d2e38200Brockhaus-1911	Angeln [2]	Ostangeln
305	d2e38284Brockhaus-1911	Angelus	Angelusläuten
306	d2e38341Brockhaus-1911	Angerburg	Angerburger
307	d2e38876Brockhaus-1911	Angora	Angoraziege
308	d2e39279Brockhaus-1911	Anhydrid	Schwefelsäureanhydrid
309	d2e39405Brockhaus-1911	Anilin	Anilinblau
310	d2e39405Brockhaus-1911	Anilin	Anilinsalz
311	d2e39405Brockhaus-1911	Anilin	Rosanilin
312	d2e39405Brockhaus-1911	Anilin	Anilinschwarz
313	d2e39405Brockhaus-1911	Anilin	Anilinfarben
314	d2e39405Brockhaus-1911	Anilin	Anilinvergiftung
315	d2e39619Brockhaus-1911	Animos	Animosität
316	d2e39686Brockhaus-1911	Anis	Sternanis
317	d2e39686Brockhaus-1911	Anis	Aniskörner
318	d2e39686Brockhaus-1911	Anis	Anisöl
319	d2e39686Brockhaus-1911	Anis	Anisessenz
320	d2e39872Brockhaus-1911	Anker	Ankerkreuz
321	d2e39872Brockhaus-1911	Anker	Maueranker
322	d2e39872Brockhaus-1911	Anker	Bootsanker
323	d2e39872Brockhaus-1911	Anker	Verankern
324	d2e39998Brockhaus-1911	An-king	Ngan-king
325	d2e40447Brockhaus-1911	Annaburg	Annaburger
326	d2e40501Brockhaus-1911	Annahme [2]	Annahmevertrag
327	d2e40566Brockhaus-1911	Annam	monannamitischen
