ID	headword	compound
d3e749DamenConvLex-1834	Aal	Aale
d3e749DamenConvLex-1834	Aal	Meeraale
d3e749DamenConvLex-1834	Aal	Aalfischerei
d3e860DamenConvLex-1834	Abbadon (Mythologie)	Abbadona
d3e887DamenConvLex-1834	Abbé	Abbé's
d3e956DamenConvLex-1834	Abdachung	Abdachungen
d3e988DamenConvLex-1834	Abdruck	Abdrucke
d3e1008DamenConvLex-1834	Abel (Religion)	Abeliten
d3e1070DamenConvLex-1834	Abendmahl	Abendmahles
d3e1070DamenConvLex-1834	Abendmahl	Abendmahle
d3e1143DamenConvLex-1834	Abendstern	Abendsternes
d3e1198DamenConvLex-1834	Aberglaube	Aberglauben
d3e1508DamenConvLex-1834	Abnorm	Abnormität
d3e1872DamenConvLex-1834	Abt	Abtes
d3e2025DamenConvLex-1834	Accent (Ästhetik)	Accentes
d3e2025DamenConvLex-1834	Accent (Ästhetik)	Accentuirung
d3e2046DamenConvLex-1834	Accent (Musik)	Accentuirte
d3e2085DamenConvLex-1834	Achat	Achates
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Reichsacht
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Achtbuch
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Landacht
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Achtserklärung
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Achtschatzes
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Oberacht
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Achtschillings
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Achtbrief
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Gutachten
d3e2185DamenConvLex-1834	Acht, Achtserklärung	Unteracht
d3e2185DamenConvLex-1834	Acht, Achtserklärung	gemacht
d3e2253DamenConvLex-1834	Ackerbau	Ackerbaues
d3e2316DamenConvLex-1834	Act	Acte
d3e2316DamenConvLex-1834	Act	Actie
d3e2316DamenConvLex-1834	Act	Parlamentsacte
d3e2363DamenConvLex-1834	Activ	Activität
d3e2379DamenConvLex-1834	Adagio (Musik)	Adagio's
d3e2447DamenConvLex-1834	Adel	Erbadel
d3e2447DamenConvLex-1834	Adel	Erbadels
d3e2447DamenConvLex-1834	Adel	Adels
d3e2607DamenConvLex-1834	Adelheid, Gemahlin Lothar's II	Adelheide
d3e2724DamenConvLex-1834	Adept	Adepten
d3e2740DamenConvLex-1834	Aderlass (Heikunst)	Aderlasse
d3e2740DamenConvLex-1834	Aderlass (Heikunst)	Aderlasses
d3e2759DamenConvLex-1834	Adern (Heilkunst)	Milchadern
d3e2759DamenConvLex-1834	Adern (Heilkunst)	Schlagadern
d3e2759DamenConvLex-1834	Adern (Heilkunst)	Saugadern
d3e2759DamenConvLex-1834	Adern (Heilkunst)	Blutadern
d3e2790DamenConvLex-1834	Ades (Mythologie)	Hades
d3e2857DamenConvLex-1834	Aditi (Mythologie)	Aditinanana
d3e2926DamenConvLex-1834	Admiral	Contreadmirale
d3e3160DamenConvLex-1834	Aegypten (Geographie)	Aegyptens
d3e3201DamenConvLex-1834	Aegypten (Geschichte)	Aegyptens
d3e3758DamenConvLex-1834	Aesthetik	Aesthetiker
d3e3925DamenConvLex-1834	Affe	Affen
d3e3937DamenConvLex-1834	Affekt	Affektionen
d3e3937DamenConvLex-1834	Affekt	Affektation
d3e3937DamenConvLex-1834	Affekt	Grundaffekten
d3e4041DamenConvLex-1834	Afrika (Geographie)	Nordafrika
d3e4067DamenConvLex-1834	Afrika (Geschichte)	Afrika's
d3e4288DamenConvLex-1834	Agende (Religion)	Kirchenagende
d3e4306DamenConvLex-1834	Aggregat	Aggregationszustand
d3e4306DamenConvLex-1834	Aggregat	Aggregationszustände
d3e4670DamenConvLex-1834	Ahnen	Ahnentafel
d3e4670DamenConvLex-1834	Ahnen	Ahnenprobe
d3e4670DamenConvLex-1834	Ahnen	Ahnenthum
d3e4711DamenConvLex-1834	Ahorn (Botanik)	Ahornbaumes
d3e4711DamenConvLex-1834	Ahorn (Botanik)	Ahornsaft
d3e4711DamenConvLex-1834	Ahorn (Botanik)	Ahornbäumen
d3e4852DamenConvLex-1834	Akademie	Akademien
d3e4944DamenConvLex-1834	Akkord	Akkorden
d3e4944DamenConvLex-1834	Akkord	Akkorde
d3e5010DamenConvLex-1834	Alaun	Alaunschiefer
d3e5010DamenConvLex-1834	Alaun	Alaunwasser
d3e5629DamenConvLex-1834	Alkali oder Kali	Alkalische
d3e5629DamenConvLex-1834	Alkali oder Kali	Alkalien
d3e5629DamenConvLex-1834	Alkali oder Kali	Alkali
d3e6029DamenConvLex-1834	Allerheiligste	Allerheiligstes
d3e6133DamenConvLex-1834	Almosen	Almosenempfänger
d3e6133DamenConvLex-1834	Almosen	Almosengeben
d3e6133DamenConvLex-1834	Almosen	Almosenpfleger
d3e6133DamenConvLex-1834	Almosen	Almosensenkassen
d3e6159DamenConvLex-1834	Almosenier	Almoseniere
d3e6174DamenConvLex-1834	Aloe (Botanik)	Aloeholz
d3e6241DamenConvLex-1834	Alpen (Geographie)	Alpenrose
d3e6241DamenConvLex-1834	Alpen (Geographie)	Alpenpflanzen
d3e6241DamenConvLex-1834	Alpen (Geographie)	Alpenthälern
d3e6307DamenConvLex-1834	Alt (Musik)	Contraaltistinnen
d3e6307DamenConvLex-1834	Alt (Musik)	Altstimme
d3e6307DamenConvLex-1834	Alt (Musik)	Altstimmen
d3e6307DamenConvLex-1834	Alt (Musik)	Altsängerin
d3e6376DamenConvLex-1834	Alter	Lebensalter
d3e6566DamenConvLex-1834	Amadis	Amadisse
d3e6755DamenConvLex-1834	Amaranth	Amaranthenholz
d3e6755DamenConvLex-1834	Amaranth	Amaranthenarten
d3e6755DamenConvLex-1834	Amaranth	Amaranthkirsche
d3e6804DamenConvLex-1834	Amazonen	Amazonenkönigin
d3e6934DamenConvLex-1834	Ameise	Ameisenessig
d3e6934DamenConvLex-1834	Ameise	Ameisen
d3e7002DamenConvLex-1834	Amerika (Geographie)	nordamerikanische
d3e7002DamenConvLex-1834	Amerika (Geographie)	Südamerika
d3e7002DamenConvLex-1834	Amerika (Geographie)	Amerika's
d3e7002DamenConvLex-1834	Amerika (Geographie)	Nordamerika
