	EntryID	headword	compound
32	d2e79Herder-1854	Aach	Aachquelle
34	d2e164Herder-1854	Aal	Zitteraale
35	d2e268Herder-1854	Aar [1]	Adal-aar
37	d2e279Herder-1854	Aar [2]	Lauteraar
38	d2e279Herder-1854	Aar [2]	Aargau
39	d2e279Herder-1854	Aar [2]	Oberaar
40	d2e279Herder-1854	Aar [2]	Finsteraar
41	d2e568Herder-1854	Abandon	Abandonnirung
42	d2e727Herder-1854	Abbas	Abbassiden
43	d2e856Herder-1854	Abbreviatur	Abbreviaturen
44	d2e890Herder-1854	Abchasien	Kleinabchasien
45	d2e890Herder-1854	Abchasien	Großabchasien
49	d2e1153Herder-1854	Abelmosch	Abelmoschus
50	d2e1176Herder-1854	Abend	Abendweite
51	d2e1176Herder-1854	Abend	Abendpunkte
53	d2e1217Herder-1854	Abendmahl	Abendmahles
55	d2e1320Herder-1854	Aberdeen [2]	Aberdeen-Palmerston-Russel
56	d2e1402Herder-1854	Abgabe	Abgabensystem
57	d2e1402Herder-1854	Abgabe	Abgaben-Freiheit
59	d2e1669Herder-1854	Abiturient	Abiturientenexamen
60	d2e1747Herder-1854	Ablaß	Ablaßgewinnung
61	d2e1871Herder-1854	Abnorm	Abnormität
62	d2e2145Herder-1854	Abraxas	Abraxasgemmen
64	d2e2334Herder-1854	Abschnitt	Abschnittswinkel
66	d2e2452Herder-1854	Absolut	Absolutismus
67	d2e2462Herder-1854	Absolution	Absolutionsformel
68	d2e2650Herder-1854	Abt	Abtes
69	d2e2650Herder-1854	Abt	Abteien
70	d2e2650Herder-1854	Abt	Abtgrafen
71	d2e2814Herder-1854	Abusiv	Abusivcurs
72	d2e2990Herder-1854	Acajou	Acajouholz
73	d2e3032Herder-1854	Acanthus	Acanthusblatt
74	d2e3084Herder-1854	Acazie	Kugelacazie
75	d2e3232Herder-1854	Accent	Wortaccent
76	d2e3232Herder-1854	Accent	Redeaccent
77	d2e3232Herder-1854	Accent	Satzaccentes
78	d2e3232Herder-1854	Accent	Satzaccent
80	d2e3232Herder-1854	Accent	Sprachaccent
81	d2e3261Herder-1854	Accept	Acceptation
82	d2e3414Herder-1854	Accise	Lotterieaccise
83	d2e3414Herder-1854	Accise	Marktaccise
84	d2e3414Herder-1854	Accise	Acciseabgaben
85	d2e3414Herder-1854	Accise	Accise-Abgaben
87	d2e3525Herder-1854	Accord	Lieferungsaccord
88	d2e3525Herder-1854	Accord	Miethaccord
90	d2e3741Herder-1854	Acetyl	Acetyloxydhydrat
92	d2e4015Herder-1854	Achilles	Achillesinsel
93	d2e4131Herder-1854	Acht	Reichsacht
94	d2e4131Herder-1854	Acht	machte
95	d2e4131Herder-1854	Acht	Aberacht
96	d2e4504Herder-1854	Acte	Bundesacte
97	d2e4504Herder-1854	Acte	Schlußacte
98	d2e4514Herder-1854	Acten	Prozeßacten
99	d2e4514Herder-1854	Acten	Actenversendung
101	d2e4538Herder-1854	Actie	Actienwesen
102	d2e4538Herder-1854	Actie	Actiengesellschaften
103	d2e4538Herder-1854	Actie	Actiengesellschaft
104	d2e5188Herder-1854	Additional	Additionalartikel
106	d2e5332Herder-1854	Adelsberg	Adelsberger
107	d2e5439Herder-1854	Adern	Schlagadern
108	d2e5439Herder-1854	Adern	Saugadern
109	d2e5439Herder-1854	Adern	Blutadern
110	d2e5471Herder-1854	Adhäsion	Adhäsionsproceß
111	d2e5676Herder-1854	Adjutant	Bataillonsadjutanten
112	d2e5676Herder-1854	Adjutant	Flügeladjutanten
113	d2e5701Herder-1854	Adler	Steinadler
114	d2e5701Herder-1854	Adler	Seeadler
115	d2e5701Herder-1854	Adler	Kaiseradler
116	d2e5701Herder-1854	Adler	Fischadler
117	d2e5701Herder-1854	Adler	Goldadler
118	d2e5701Herder-1854	Adler	Flußadler
119	d2e5853Herder-1854	Admiral [1]	Contreadmiral
120	d2e6144Herder-1854	Ados	Adossiren
121	d2e6144Herder-1854	Ados	Adossement
124	d2e6358Herder-1854	Adrian	Hadrian
125	d2e6541Herder-1854	Adulter	Adulteration
126	d2e6575Herder-1854	Advent	Adventzeit
127	d2e6575Herder-1854	Advent	Adventszeit
128	d2e6588Herder-1854	Adverb	Adverbium
132	d2e8082Herder-1854	Affe [1]	Halbaffen
133	d2e8112Herder-1854	Affection	Affectionspreis
134	d2e8377Herder-1854	Afghanen, Afghanistan	Afghanenreich
135	d2e8449Herder-1854	Afrika	Centralafrika
136	d2e8449Herder-1854	Afrika	Nordafrikaʼs
137	d2e8449Herder-1854	Afrika	Südafrikaʼs
138	d2e8449Herder-1854	Afrika	Westafrika
140	d2e8449Herder-1854	Afrika	Afrikaʼs
141	d2e8449Herder-1854	Afrika	Nordafrika
142	d2e8716Herder-1854	Agar	Hagar
143	d2e9070Herder-1854	Agende	Agendenstreit
146	d2e9320Herder-1854	Agil	Agilität
147	d2e9330Herder-1854	Agilolf	Agilolfinger
148	d2e9762Herder-1854	Agon	Agonotheten
149	d2e9762Herder-1854	Agon	Agonistarchen
150	d2e10618Herder-1854	Ahnen [2]	Ahnentafel
151	d2e10618Herder-1854	Ahnen [2]	Ahnenprobe
152	d2e10618Herder-1854	Ahnen [2]	Ahnenreihe
153	d2e10628Herder-1854	Ahorn	Bergahornholz
154	d2e10628Herder-1854	Ahorn	Bergahorn
155	d2e10628Herder-1854	Ahorn	Ahorn-Maser
156	d2e10628Herder-1854	Ahorn	Bergahorns
157	d2e10628Herder-1854	Ahorn	Ahornholz
158	d2e10697Herder-1854	Ahr	Ahrweiler
159	d2e10697Herder-1854	Ahr	Ahrbleicher
160	d2e10697Herder-1854	Ahr	Ahrthal
161	d2e11039Herder-1854	Ailhaud	Ailhaudschen
162	d2e11322Herder-1854	Aiter [1]	Aiterach
164	d2e12463Herder-1854	Alant	Alantwein
165	d2e12555Herder-1854	Alarm	Alarmplätze
166	d2e12555Herder-1854	Alarm	Alarmsignale
167	d2e12578Herder-1854	Alaun	Alaunschiefer
168	d2e12578Herder-1854	Alaun	Alaunwerk
169	d2e12578Herder-1854	Alaun	Alaunfels
170	d2e12578Herder-1854	Alaun	Alaunstein
171	d2e12634Herder-1854	Alb [1]	Albbruck
173	d2e14306Herder-1854	Aleppo, Haleb	Aleppokrankheit
174	d2e14429Herder-1854	Aletsch	Aletschgletscher
175	d2e14429Herder-1854	Aletsch	Aletschhörner
176	d2e14847Herder-1854	Alexianer	Alexianerinen
177	d2e15265Herder-1854	Algier [1]	Algierer
178	d2e15421Herder-1854	Ali [3]	Thessalien
180	d2e15687Herder-1854	Alkali	Mineralalkalis
181	d2e15687Herder-1854	Alkali	Alkalien
182	d2e15687Herder-1854	Alkali	Pflanzenalkalis
183	d2e15716Herder-1854	Alkaloide	Pflanzenalkaloide
184	d2e15805Herder-1854	Alkmäon	Alkmäoniden
186	d2e16494Herder-1854	Allia	Alliatag
187	d2e16543Herder-1854	Allianz	Quadrupelallianz
188	d2e16725Herder-1854	Allod	Allodificiren
189	d2e16725Herder-1854	Allod	Allodialerbrecht
190	d2e17012Herder-1854	Alluvial	Alluvialboden
191	d2e17176Herder-1854	Almanach	Almanachen
193	d2e17438Herder-1854	Almosenier	Großalmoseniers
194	d2e17670Herder-1854	Alp [1]	Alpen
195	d2e17680Herder-1854	Alp [2]	Alporte
196	d2e17732Herder-1854	Alpen	Ostalpen
197	d2e17732Herder-1854	Alpen	Alpenwirthschaft
198	d2e17732Herder-1854	Alpen	Thuralpen
199	d2e17732Herder-1854	Alpen	Alpenbäche
200	d2e17732Herder-1854	Alpen	Alpenbewohner
201	d2e17732Herder-1854	Alpen	Uralpen
202	d2e17732Herder-1854	Alpen	Algäueralpen
203	d2e17732Herder-1854	Alpen	Voralpen
204	d2e17732Herder-1854	Alpen	Hochalpen
205	d2e17732Herder-1854	Alpen	Alpenwälder
206	d2e17732Herder-1854	Alpen	Alpenkette
207	d2e17732Herder-1854	Alpen	Alpengebirges
208	d2e17732Herder-1854	Alpen	Mittelalpen
209	d2e17732Herder-1854	Alpen	Westalpen
210	d2e17732Herder-1854	Alpen	Centralalpen
211	d2e17732Herder-1854	Alpen	Seealpen
212	d2e17732Herder-1854	Alpen	Alpenkräuter
213	d2e17732Herder-1854	Alpen	Berneralpen
214	d2e17732Herder-1854	Alpen	Kalkalpen
215	d2e17732Herder-1854	Alpen	Alpengebirge
216	d2e17732Herder-1854	Alpen	Nagelfluhealpen
217	d2e17882Herder-1854	Alpha	Alphabeths
218	d2e17973Herder-1854	Alpinen	Alpinenkanal
219	d2e18196Herder-1854	al segno, dal segno	dal segno
220	d2e18226Herder-1854	Alser	Alserbad
221	d2e18226Herder-1854	Alser	Alsergrund
222	d2e18288Herder-1854	Alster	Außenalster
223	d2e18288Herder-1854	Alster	Binnenalster
224	d2e18412Herder-1854	Altar	Brandaltar
226	d2e18412Herder-1854	Altar	Rauchaltar
227	d2e18504Herder-1854	Alte [2]	behalten
228	d2e18715Herder-1854	Alter	Uebergangsalter
229	d2e18715Herder-1854	Alter	Greisenalter
230	d2e18715Herder-1854	Alter	Jugendalter
231	d2e18715Herder-1854	Alter	Kindesalter
232	d2e18912Herder-1854	Alterthum	Alterthumskunde
233	d2e18912Herder-1854	Alterthum	Alterthumswissenschaft
234	d2e20542Herder-1854	Ambassade	Ambassadeur
235	d2e20802Herder-1854	Ambra	Ambrafett
236	d2e21184Herder-1854	Amerika	Nordamerika
237	d2e21184Herder-1854	Amerika	südamerikanische
238	d2e21269Herder-1854	Amethyst	Amethystos
240	d2e21473Herder-1854	Ammann [1]	Landammann
241	d2e21504Herder-1854	Amme [2]	Großammen
242	d2e21504Herder-1854	Amme [2]	Großamme
243	d2e21543Herder-1854	Ammer [1]	Unterammergau
244	d2e21567Herder-1854	Ammer [2]	Sporenammer
245	d2e21567Herder-1854	Ammer [2]	Buschammer
246	d2e21651Herder-1854	Ammoniak	Ammoniakgas
247	d2e22111Herder-1854	Ampfer	Sauerampfer
249	d2e22470Herder-1854	Amputation	Amputationen
250	d2e22470Herder-1854	Amputation	Amputationsstumpf
253	d2e22574Herder-1854	Amulet	Amuletenunwesen
255	d2e23193Herder-1854	Ananas	Ananaskästen
256	d2e23193Herder-1854	Ananas	Ananasfrucht
258	d2e23745Herder-1854	Andalusien	Vandalusien
