	EntryID	Headword	enumeration of hyponyms
0	d2e14263Meyers-1905	Absorption	Absorption des Lichtes
1	d2e147990Meyers-1905	Apfelbaum	Kalvillen,
2	d2e147990Meyers-1905	Apfelbaum	Schlotter-, Klapperäpfel,
3	d2e147990Meyers-1905	Apfelbaum	Gulderlinge,
4	d2e147990Meyers-1905	Apfelbaum	Rosenäpfel,
5	d2e147990Meyers-1905	Apfelbaum	Taubenäpfel,
6	d2e147990Meyers-1905	Apfelbaum	Pfundäpfel
7	d2e147990Meyers-1905	Apfelbaum	Rambourrenetten,
8	d2e147990Meyers-1905	Apfelbaum	Einfarbige
9	d2e147990Meyers-1905	Apfelbaum	Wachsrenetten,
10	d2e147990Meyers-1905	Apfelbaum	Borsdorfer Renetten,
11	d2e147990Meyers-1905	Apfelbaum	Rote Renetten,
12	d2e147990Meyers-1905	Apfelbaum	Graue Renetten
13	d2e147990Meyers-1905	Apfelbaum	Goldrenetten,
14	d2e147990Meyers-1905	Apfelbaum	Streiflinge,
15	d2e147990Meyers-1905	Apfelbaum	Spitzäpfel,
16	d2e147990Meyers-1905	Apfelbaum	Plattäpfel,
17	d2e391303Meyers-1905	Birnbaum [1]	Butterbirnen
18	d2e391303Meyers-1905	Birnbaum [1]	Halbbutterbirnen,
19	d2e391303Meyers-1905	Birnbaum [1]	Bergamotten
20	d2e391303Meyers-1905	Birnbaum [1]	Halbbergamotten,
21	d2e391303Meyers-1905	Birnbaum [1]	Grüne Langbirnen
22	d2e391303Meyers-1905	Birnbaum [1]	Flaschenbirnen
23	d2e391303Meyers-1905	Birnbaum [1]	Apothekerbirnen
24	d2e391303Meyers-1905	Birnbaum [1]	Rousseletten,
25	d2e391303Meyers-1905	Birnbaum [1]	Muskatellerbirne,
26	d2e391303Meyers-1905	Birnbaum [1]	Schmalzbirnen,
27	d2e391303Meyers-1905	Birnbaum [1]	Gewürzbirnen,
28	d2e391303Meyers-1905	Birnbaum [1]	Längliche Kochbirnen
29	d2e391303Meyers-1905	Birnbaum [1]	Rundliche Kochbirnen,
30	d2e391303Meyers-1905	Birnbaum [1]	Längliche Weinbirnen,
31	d2e391303Meyers-1905	Birnbaum [1]	Rundliche Weinbirnen,
32	d2e439894Meyers-1905	Bonaparte	Joseph B
33	d2e439894Meyers-1905	Bonaparte	Lucian B.
34	d2e439894Meyers-1905	Bonaparte	Ludwig B
35	d2e439894Meyers-1905	Bonaparte	Jérôme
36	d2e439894Meyers-1905	Bonaparte	Maria Anna Elisa
37	d2e439894Meyers-1905	Bonaparte	Marie Pauline
38	d2e439894Meyers-1905	Bonaparte	Maria Annunciata
39	d2e470475Meyers-1905	Branntweinsteuer	Rohstoffen
40	d2e470475Meyers-1905	Branntweinsteuer	Leitungsfähigkeit von Werkvorrichtungen:
41	d2e470475Meyers-1905	Branntweinsteuer	Fabrikatsteuern,
42	d2e470475Meyers-1905	Branntweinsteuer	Schanksteuer,
43	d2e470475Meyers-1905	Branntweinsteuer	Abfindung
44	d2e470475Meyers-1905	Branntweinsteuer	Lizenzen,
45	d2e470475Meyers-1905	Branntweinsteuer	Branntweinmonopol
46	d2e870204Meyers-1905	Dünger	Stickstoff:
47	d2e870204Meyers-1905	Dünger	Stickstoff und Phosphorsäure (Stickstoffphosphate):
48	d2e870204Meyers-1905	Dünger	Phosphorsäure (Phosphate):
49	d2e870204Meyers-1905	Dünger	Kali (Kalidünger):
50	d2e870204Meyers-1905	Dünger	Kali und Stickstoff:
51	d2e870204Meyers-1905	Dünger	Kali und Phosphorsäure:
52	d2e1059304Meyers-1905	Farbstoffe	Nitrofarbstoffe,
53	d2e1059304Meyers-1905	Farbstoffe	Azofarstoffe
54	d2e1059304Meyers-1905	Farbstoffe	Hydrazofarbstoffe
55	d2e1059304Meyers-1905	Farbstoffe	Azoxyfarbstoffe
56	d2e1059304Meyers-1905	Farbstoffe	Nitroso-
57	d2e1059304Meyers-1905	Farbstoffe	Chinonoximfarbstoffe
58	d2e1059304Meyers-1905	Farbstoffe	Ketonfarlbstoffe
59	d2e1059304Meyers-1905	Farbstoffe	Ketimidfarbstoffe
60	d2e1059304Meyers-1905	Farbstoffe	Triphenylmethanfarbstoffe
61	d2e1059304Meyers-1905	Farbstoffe	Indophenole
62	d2e1059304Meyers-1905	Farbstoffe	Oxazine
63	d2e1059304Meyers-1905	Farbstoffe	Thiazine, entsprechen den Oxazinen, enthalten aber an Stelle des verbindenden Sauerstoffatoms ein Schwefelatom.
64	d2e1059304Meyers-1905	Farbstoffe	Induline,
65	d2e1059304Meyers-1905	Farbstoffe	Azine,
66	d2e1059304Meyers-1905	Farbstoffe	Safranine,
67	d2e1059304Meyers-1905	Farbstoffe	Akridinfarbstoffe
68	d2e1059304Meyers-1905	Farbstoffe	Indigofarbstoffe
69	d2e1059304Meyers-1905	Farbstoffe	Chinolinfarbstoffe,
70	d2e1078247Meyers-1905	Feldspat	Kalifeldspat
71	d2e1078247Meyers-1905	Feldspat	Plagioklase,
72	d2e1110620Meyers-1905	Finanzwesen	privatrechtlichem Titel
73	d2e1110620Meyers-1905	Finanzwesen	Einnahmen aus gewerblicher Tätigkeit und Staatsvermögen.
74	d2e1110620Meyers-1905	Finanzwesen	Vergütungen für echt staatswirtschaftliche Leistungen.
75	d2e1110620Meyers-1905	Finanzwesen	Einnahmen aus Steuern.
76	d2e1110620Meyers-1905	Finanzwesen	Einnahmen aus Schenkungen
77	d2e1188051Meyers-1905	Freiwillige	Einjährig-F
78	d2e1188051Meyers-1905	Freiwillige	Zwei, Drei- oder Vierjährig-F
79	d2e1631245Meyers-1905	Huftiere	Lophiodonten
80	d2e1631245Meyers-1905	Huftiere	Paläotherinen
81	d2e1631245Meyers-1905	Huftiere	Tapire
82	d2e1631245Meyers-1905	Huftiere	Nashörner
83	d2e1631245Meyers-1905	Huftiere	Pferde
84	d2e1631245Meyers-1905	Huftiere	Einhufer
85	d2e1631245Meyers-1905	Huftiere	Flußpferde
86	d2e1631245Meyers-1905	Huftiere	Plumptiere
87	d2e1631245Meyers-1905	Huftiere	Schweine
88	d2e1631245Meyers-1905	Huftiere	Selenodonten
89	d2e1631245Meyers-1905	Huftiere	Kamele
90	d2e1631245Meyers-1905	Huftiere	Schwielensohler 
91	d2e1631245Meyers-1905	Huftiere	Zwergmoschustiere
92	d2e1631245Meyers-1905	Huftiere	Moschustiere
93	d2e1631245Meyers-1905	Huftiere	Hirsche
94	d2e1631245Meyers-1905	Huftiere	Giraffen
95	d2e1631245Meyers-1905	Huftiere	Abschüssige 
96	d2e1631245Meyers-1905	Huftiere	Horntiere
97	d2e1686608Meyers-1905	Infusorĭen	" <hi rend=""italic"">Holotricha,"
98	d2e1686608Meyers-1905	Infusorĭen	" <hi rend=""italic"">Heterotricha,"
99	d2e1686608Meyers-1905	Infusorĭen	" <hi rend=""italic"">Hypotricha,"
