	EntryID	Headword	synonyms
0	d2e13Meyers-1905	A [1]	a.:
1	d2e147990Meyers-1905	Apfelbaum	Wachsrenetten
2	d2e250092Meyers-1905	B [1]	b:
3	d2e539000Meyers-1905	C [1]	cr
4	d2e709437Meyers-1905	D [1]	d:
5	d2e717403Meyers-1905	Damen vom heiligen Herzen Jesu	vom Glauben Jesu
6	d2e799571Meyers-1905	Dietrich von Eilenburg	Landsberg
7	d2e1039874Meyers-1905	F [1]	C.S.
8	d2e1059304Meyers-1905	Farbstoffe	Chinonoximfarbstoffe
9	d2e1059304Meyers-1905	Farbstoffe	Bronzefarben
10	d2e1325471Meyers-1905	Gībraltar, Meerenge	Straße von
11	d2e1631245Meyers-1905	Huftiere	Einhufer
12	d2e1631245Meyers-1905	Huftiere	Plumptiere
13	d2e1631245Meyers-1905	Huftiere	Abschüssige 
14	d2e1910286Meyers-1905	Klettervögel	Tukane
15	d2e1910286Meyers-1905	Klettervögel	Hornvögel
16	d2e1910286Meyers-1905	Klettervögel	Hopfe
17	d2e1999774Meyers-1905	Krankenkassen	Fabrikkrankenkassen,
18	d2e2240591Meyers-1905	M	m. pr.
19	d2e2240591Meyers-1905	M	m. pr.
20	d2e2240591Meyers-1905	M	m. sin
21	d2e2502735Meyers-1905	N	N. ab E.
22	d2e2502735Meyers-1905	N	N.v. E.
23	d2e2510067Meyers-1905	Nagetiere	Halbhufer
24	d2e2510067Meyers-1905	Nagetiere	Trunratten
25	d2e2510067Meyers-1905	Nagetiere	Chiuchillen
26	d2e2610677Meyers-1905	O	O:
27	d2e2689818Meyers-1905	P	p.m.:
28	d2e2689818Meyers-1905	P	p.p.:
29	d2e2955208Meyers-1905	Q	Qu.
30	d2e2992911Meyers-1905	Raubtiere	Zibetkatzen
31	d2e3037001Meyers-1905	Reptilĭen	Seedrachen
32	d2e3037001Meyers-1905	Reptilĭen	Flugeidechsen,
33	d2e3037001Meyers-1905	Reptilĭen	Mosasaurier
34	d2e3037001Meyers-1905	Reptilĭen	Maaseidechsen,
35	d2e3037001Meyers-1905	Reptilĭen	Saurier
36	d2e3037001Meyers-1905	Reptilĭen	Ophidier
37	d2e3037001Meyers-1905	Reptilĭen	Chelonier
38	d2e3037001Meyers-1905	Reptilĭen	Lindwürmer
39	d2e3242795Meyers-1905	Schiffbau	Z
40	d2e3323457Meyers-1905	Schwimmvögel	Siebschnäbler
41	d2e3323457Meyers-1905	Schwimmvögel	Möven
42	d2e3323457Meyers-1905	Schwimmvögel	Ruderfüßer
43	d2e3449983Meyers-1905	Sperlingsvögel	Schlüpfer
44	d2e3449983Meyers-1905	Sperlingsvögel	Krähen
45	d2e3449983Meyers-1905	Sperlingsvögel	Trupiale
46	d2e3449983Meyers-1905	Sperlingsvögel	Tangaren
47	d2e3449983Meyers-1905	Sperlingsvögel	Weberfinken
48	d2e3449983Meyers-1905	Sperlingsvögel	Schmuckvögel, Fruchtvögel
49	d2e3533742Meyers-1905	Straußvögel	Dinornithiden
50	d2e3533742Meyers-1905	Straußvögel	Schnepfenstrauße
51	d2e3571030Meyers-1905	Symbōlik	symbolischer Theologie
52	d2e3729758Meyers-1905	U, u	U.S. A (Am.)
53	d2e3874100Meyers-1905	Watvögel	Guaraumas
