	EntryID	Headword	abbreviation
0	d2e61542Meyers-1905	Alabama	Ala
1	d2e80558Meyers-1905	Allegretto	"All<hi rend=""superscript"">tto"
2	d2e80615Meyers-1905	Allēgro	All°
3	d2e89550Meyers-1905	Alt [1]	a
4	d2e112262Meyers-1905	Ana [1]	ā ā
5	d2e136700Meyers-1905	Ante meridĭem	a. m
6	d2e152752Meyers-1905	Apothekergewicht	lb
7	d2e157986Meyers-1905	Ära	u. c
8	d2e183915Meyers-1905	Arpeggio	arp
9	d2e246465Meyers-1905	Avoirdupois	avdp
10	d2e287679Meyers-1905	Baronet	Bar., Bart., Bt
11	d2e442725Meyers-1905	Bonner Durchmusterung	B. D
12	d2e484797Meyers-1905	Brevi manu	b. m
13	d2e507601Meyers-1905	Brutto	Brutto
14	d2e578845Meyers-1905	Cavaliēre	Cav
15	d2e639387Meyers-1905	Circa	ca
16	d2e660568Meyers-1905	Colorādo [2]	Col
17	d2e660983Meyers-1905	Columbĭa [3]	D. C
18	d2e663044Meyers-1905	Commendatōre	Comm
19	d2e667217Meyers-1905	Confer	cf
20	d2e667689Meyers-1905	Congé	p. p. c
21	d2e668640Meyers-1905	Connecticut	Conn
22	d2e684748Meyers-1905	County-Council	C. C
23	d2e684769Meyers-1905	County-Court	C. C
24	d2e691053Meyers-1905	Crescendo	cresc
25	d2e710163Meyers-1905	Da capo	d. c
26	d2e714268Meyers-1905	Dakōta [1]	D. T
27	d2e734813Meyers-1905	Dat, donat, dedĭcat	d. d. d
28	d2e744560Meyers-1905	Dedit	ddt
29	d2e769104Meyers-1905	Destra	d. m
30	d2e802385Meyers-1905	Dii	D. M. S
31	d2e818988Meyers-1905	Divisi	div
32	d2e835296Meyers-1905	Doppelzentner	dz
33	d2e881975Meyers-1905	East	E
34	d2e891507Meyers-1905	Edĭdit	edd
35	d2e1011964Meyers-1905	Esquire	Esq
36	d2e1016955Meyers-1905	Et cetĕra	etc
37	d2e1031781Meyers-1905	Exempel	e. c
38	d2e1036131Meyers-1905	Expreß	p. expr
39	d2e1137273Meyers-1905	Florēn	fl
40	d2e1138804Meyers-1905	Florĭda [3]	Fla
41	d2e1157834Meyers-1905	Forte	f
42	d2e1164983Meyers-1905	Franco [1]	fr
43	d2e1251355Meyers-1905	Gauche	m. g
44	d2e1274299Meyers-1905	Geld und Brief	G.
45	d2e1274299Meyers-1905	Geld und Brief	G.
46	d2e1291209Meyers-1905	Georgĭa	Ga
47	d2e1308464Meyers-1905	Gesellschaft für Verbreitung christlicher Bildung	S. P. C. K.
48	d2e1454312Meyers-1905	Haben	cr
49	d2e1588114Meyers-1905	Hŏc est	h. e
50	d2e1614897Meyers-1905	Honourable	Hon
51	d2e1625687Meyers-1905	House of Commons	H. C
52	d2e1634882Meyers-1905	Hujus mensis	h. m
53	d2e1634882Meyers-1905	Hujus mensis	h. a
54	d2e1661680Meyers-1905	Idaho	Id
