	EntryID	Headword	authors
0	d2e17882Meyers-1905	Acācia	['Cham. ', 'et  ', 'Schlecht.', '']
1	d2e17882Meyers-1905	Acācia	['Guill  ', 'et  ', 'Perrott.', '']
2	d2e21426Meyers-1905	Achimĕnes	['Benth. ', 'et  ', 'Hook. ', 'Seem.']
3	d2e21577Meyers-1905	Aechmēa	['Ruiz  ', 'et  ', 'Pav.', '']
4	d2e29652Meyers-1905	Adenĭum	['Roem. ', 'et  ', 'Schult.', '']
5	d2e29652Meyers-1905	Adenĭum	['Roem. ', 'et  ', 'Schult.', '']
6	d2e30640Meyers-1905	Adiantum	['Langsd. ', 'et  ', 'Fisch. ', '']
7	d2e47458Meyers-1905	Agrostis	['Boiss. ', 'et  ', 'Reut. ', '']
8	d2e89487Meyers-1905	Alstroemerĭa	['R. ', 'et  ', 'Par.', '']
9	d2e114760Meyers-1905	Anamirta	['Wight  ', 'et  ', 'Arn. ', '']
10	d2e115259Meyers-1905	Anaphalis	['Benth. ', 'et  ', 'Hook. fil. ', 'Rafin.']
11	d2e138914Meyers-1905	Anthūrium	['Linden  ', 'et  ', 'Linden ', '']
12	d2e160483Meyers-1905	Aralĭa	['Sieb. ', 'et  ', 'Zucc. ', '']
13	d2e176218Meyers-1905	Aristolochĭa	['Cham, ', 'et  ', 'Schlecht.', '']
14	d2e194280Meyers-1905	Aeschynomene	['Guill. ', 'et  ', 'Kotschy)', '']
15	d2e200330Meyers-1905	Aspidospérma	['Mart. ', 'et  ', 'Zucc.', '']
16	d2e204610Meyers-1905	Astilbe	['Morr. ', 'et  ', 'Decne.', '']
17	d2e216430Meyers-1905	Attalĕa	['Humb. ', 'et  ', 'Bonpl.', '']
18	d2e219559Meyers-1905	Aucuba	['Hook. fil. ', 'et  ', 'Thoms.', '']
19	d2e251658Meyers-1905	Bablah	['Guill. ', 'et  ', 'Perott ', '']
20	d2e271755Meyers-1905	Bambūsa	['H. ', 'et  ', 'B. ', '']
21	d2e279503Meyers-1905	Bär [2]	['Hpr. ', 'et  ', 'Ehrb.', '']
22	d2e279503Meyers-1905	Bär [2]	['Lew. ', 'et  ', 'Clarke)', '']
23	d2e291465Meyers-1905	Bartl	['Bartl. ', 'et  ', 'Wendl.', '']
24	d2e315961Meyers-1905	Beauchamp [1]	['', 'et ', '', '']
25	d2e323628Meyers-1905	Begonĭa	['Link  ', 'et  ', 'Otto ', '']
26	d2e356744Meyers-1905	Berthollētia	['Humb. ', 'et  ', 'Bonpl.', '']
27	d2e356744Meyers-1905	Berthollētia	['Humb. ', 'et  ', 'Bonpl. ', '']
28	d2e395047Meyers-1905	Bismarckĭa nobĭlis	['Hildebr. ', 'et  ', 'Wendl.', '']
