	EntryID	Headword	Examples
0	d2e13Meyers-1905	A [1]	A. Br
1	d2e1442Meyers-1905	Aaltierchen	Rhabdonema nigrovenosum
2	d2e1977Meyers-1905	Aasblumen	Bolbophyllum Beccarii
3	d2e4105Meyers-1905	Abbreviaturen	an = ante
4	d2e4105Meyers-1905	Abbreviaturen	dno = domino
5	d2e7102Meyers-1905	Abessinien	Galla
6	d2e7102Meyers-1905	Abessinien	Galla
7	d2e7828Meyers-1905	Abfälle	Kohlenklein
8	d2e7828Meyers-1905	Abfälle	Steinkohlenasche
9	d2e7828Meyers-1905	Abfälle	Holzasche
10	d2e7828Meyers-1905	Abfälle	schweflige Säure
11	d2e7828Meyers-1905	Abfälle	Kiesabbrände
12	d2e7828Meyers-1905	Abfälle	Kiesabbrände
13	d2e19358Meyers-1905	Acerra [1]	A. philologica
14	d2e23898Meyers-1905	Ackerkulte	Dornengott
15	d2e23898Meyers-1905	Ackerkulte	Roggenhund
16	d2e23898Meyers-1905	Ackerkulte	Roggenwolf, Bilwitz, Bilmes
17	d2e23898Meyers-1905	Ackerkulte	Binsen
18	d2e23898Meyers-1905	Ackerkulte	Bilsenschnitter, Tauschlepper
19	d2e23898Meyers-1905	Ackerkulte	Dornengott
20	d2e23898Meyers-1905	Ackerkulte	Roggenhund
21	d2e23898Meyers-1905	Ackerkulte	Roggenwolf, Bilwitz, Bilmes
22	d2e23898Meyers-1905	Ackerkulte	Binsen
23	d2e23898Meyers-1905	Ackerkulte	Bilsenschnitter, Tauschlepper
24	d2e25389Meyers-1905	Act	A. of Parliament
25	d2e29291Meyers-1905	Adelsprädikat	de Dobbeler
26	d2e33523Meyers-1905	Adonischer Vers	Pallas honores
27	d2e37907Meyers-1905	Afrika	Kongokonferenz
28	d2e37907Meyers-1905	Afrika	Abessinien
29	d2e43053Meyers-1905	Agavefaser	Indiafaser
30	d2e43053Meyers-1905	Agavefaser	Indiafaser
31	d2e43381Meyers-1905	Agent	Agents de change
32	d2e54224Meyers-1905	Akademie	Kriegsakademien
33	d2e54224Meyers-1905	Akademie	Petersburg
34	d2e54224Meyers-1905	Akademie	Petersburg
35	d2e55325Meyers-1905	Akalēphen	Pelagia
36	d2e74792Meyers-1905	Algen	Ectocarpus
37	d2e108524Meyers-1905	Amphibrăchys	perītus
38	d2e108780Meyers-1905	Amphímăcer	fecĕrant
39	d2e117001Meyers-1905	Anazýklisch	Roma tibi subito motibus ibit amor:
40	d2e128303Meyers-1905	Anĭmus	A. injuriandi
41	d2e139157Meyers-1905	Antibacchīus	saltare
42	d2e143629Meyers-1905	Antispast	perillustris
43	d2e153007Meyers-1905	a potiōri	a p. fit denominatio
44	d2e164772Meyers-1905	Arbor	A, Dianae
45	d2e168805Meyers-1905	Archīv	Italien
46	d2e168805Meyers-1905	Archīv	Italien
47	d2e201068Meyers-1905	Assam	Handel
48	d2e201068Meyers-1905	Assam	Handel
49	d2e201669Meyers-1905	Assemblee	A. nationale constituante
50	d2e202679Meyers-1905	Assŏnanz	daga, alma
51	d2e227127Meyers-1905	Augia	A. dives
52	d2e239005Meyers-1905	Australien	Penck
53	d2e239005Meyers-1905	Australien	Penck
54	d2e252479Meyers-1905	Bacchīus	amabo
55	d2e258444Meyers-1905	Bagger	Greif
56	d2e258444Meyers-1905	Bagger	Kranbagger
57	d2e258444Meyers-1905	Bagger	Greif
58	d2e258444Meyers-1905	Bagger	Kranbagger
59	d2e273283Meyers-1905	Banden	aventuriers, bandits, brigands, cantatours
60	d2e277082Meyers-1905	Bankgebäude	Bureauräumen
61	d2e277082Meyers-1905	Bankgebäude	Bureauräumen
62	d2e278568Meyers-1905	Bantu	umu-ntu
63	d2e298419Meyers-1905	Bastardpflanzen	Digitalis purpurea lutea
64	d2e312230Meyers-1905	Bayern	Rhein
65	d2e323816Meyers-1905	Begräbnisplatz	Hebräer
66	d2e323816Meyers-1905	Begräbnisplatz	Hebräer
67	d2e330304Meyers-1905	Belgĭen	Gerichtsverfassung
68	d2e330304Meyers-1905	Belgĭen	Rechtspflege
69	d2e352524Meyers-1905	Bern [1]	Berner Oberlandes
70	d2e352524Meyers-1905	Bern [1]	Berner Oberlandes
71	d2e369172Meyers-1905	Bevölkerung	Jastrow
72	d2e369172Meyers-1905	Bevölkerung	Jastrow
73	d2e385509Meyers-1905	Bill [2]	B. of exchange
74	d2e412129Meyers-1905	Blindenanstalten	Deutschland
75	d2e418964Meyers-1905	Blütenfarben	Myosotis versicolor
76	d2e418964Meyers-1905	Blütenfarben	Viola calcarata
77	d2e419288Meyers-1905	Blütenstand	Echium
78	d2e422371Meyers-1905	Board	B. of control
79	d2e426662Meyers-1905	Bodenholde Pflanzen	Anthyllis vulneraria, Astrantia major
80	d2e428017Meyers-1905	Bodmer	Bächtold
81	d2e428017Meyers-1905	Bodmer	Bächtold
82	d2e429575Meyers-1905	Bogenflügel	Klaviergambe
83	d2e429575Meyers-1905	Bogenflügel	Bogenklavier
84	d2e429575Meyers-1905	Bogenflügel	Klaviergambe
85	d2e429575Meyers-1905	Bogenflügel	Bogenklavier
86	d2e435301Meyers-1905	Bökel	Beukelsz
87	d2e435301Meyers-1905	Bökel	Willem
88	d2e435301Meyers-1905	Bökel	Beukelsz
89	d2e435301Meyers-1905	Bökel	Willem
90	d2e443544Meyers-1905	Bonum	bona acquisita
91	d2e455146Meyers-1905	Botanische Gärten	Kolb
92	d2e455146Meyers-1905	Botanische Gärten	Willkomm
93	d2e455146Meyers-1905	Botanische Gärten	Rees
94	d2e455146Meyers-1905	Botanische Gärten	Wigand
95	d2e455146Meyers-1905	Botanische Gärten	Pfitzer
96	d2e455146Meyers-1905	Botanische Gärten	Goebel
97	d2e455146Meyers-1905	Botanische Gärten	Eichler
98	d2e455146Meyers-1905	Botanische Gärten	Garcke
99	d2e455146Meyers-1905	Botanische Gärten	Urban
100	d2e455146Meyers-1905	Botanische Gärten	Urban
101	d2e463264Meyers-1905	Brachiāl	arteria brachialis
102	d2e465705Meyers-1905	Brahmanen	Fick
103	d2e465705Meyers-1905	Brahmanen	Fick
104	d2e466596Meyers-1905	Brakteāten	FRIDERICVS IMPERATO(R), B(E)RNH(A)RDVS . SVM . EGO . DNHARIVS (denarius), BVRCHARD . HELT . DVCIS BERN
105	d2e474202Meyers-1905	Braunkohle	Nordamerika
106	d2e474202Meyers-1905	Braunkohle	Vollert
107	d2e474202Meyers-1905	Braunkohle	Schneider
108	d2e474202Meyers-1905	Braunkohle	Vollert
109	d2e474202Meyers-1905	Braunkohle	Schneider
110	d2e489456Meyers-1905	Briōso	Allegro b
111	d2e501907Meyers-1905	Brüdergemeine	selbständige
112	d2e501907Meyers-1905	Brüdergemeine	selbständige
113	d2e504086Meyers-1905	Brunieren	Brünieren
114	d2e504086Meyers-1905	Brunieren	Brünieren
115	d2e504674Meyers-1905	Brunnenflora	Micrococcus ureae, Bacillus putidus
116	d2e509960Meyers-1905	Buchbinden	Kleinbetriebe
117	d2e509960Meyers-1905	Buchbinden	Kleinbetriebe
118	d2e518034Meyers-1905	Buffo	Duetto buffo, Aria buffa
119	d2e520995Meyers-1905	Bulgarien	Bergbau
120	d2e520995Meyers-1905	Bulgarien	Bergbau
121	d2e539000Meyers-1905	C [1]	circus
122	d2e539000Meyers-1905	C [1]	C/73
123	d2e545765Meyers-1905	Calciumsulfurēte	Kalkschwefelleber
124	d2e545765Meyers-1905	Calciumsulfurēte	Kalkschwefelleber
125	d2e551030Meyers-1905	Camĕra	C. imperialis
126	d2e555097Meyers-1905	Cand.	Cand. phil. (philologiae
127	d2e558988Meyers-1905	Capĭta	C. papaveris
128	d2e563011Meyers-1905	Carême [1]	Le Petit C
129	d2e566420Meyers-1905	Carole	Christmas carols
130	d2e567629Meyers-1905	Carrāra [2]	karrarischen Marmors
131	d2e567629Meyers-1905	Carrāra [2]	karrarischen Marmors
132	d2e575271Meyers-1905	Castrum	Castera Vetera
133	d2e578002Meyers-1905	Causa	c. appellabilis
134	d2e578002Meyers-1905	Causa	c. efficiens
135	d2e581305Meyers-1905	Cédille	ca, lecon, reçu
136	d2e591023Meyers-1905	Chagrin [2]	Chagrinpapier
137	d2e591023Meyers-1905	Chagrin [2]	Chagrinleinwand
138	d2e591023Meyers-1905	Chagrin [2]	Chagrinpapier
139	d2e591023Meyers-1905	Chagrin [2]	Chagrinleinwand
140	d2e599910Meyers-1905	Charta [1]	C. Augusta
141	d2e604663Meyers-1905	Chemīe	Kekule, Frankland, Berthelot, Hofmann, Wurtz, Buttlerow, Williamson, Wislicenus
142	d2e604663Meyers-1905	Chemīe	Kekule, Frankland, Berthelot, Hofmann, Wurtz, Buttlerow, Williamson, Wislicenus
143	d2e606431Meyers-1905	Chemische Zeichen	Al
144	d2e608509Meyers-1905	Cherubīni	Picchianti
145	d2e608509Meyers-1905	Cherubīni	Picchianti
146	d2e615818Meyers-1905	Chinesische Sprache und Literatur	ai, iü, iua, iuei
147	d2e615818Meyers-1905	Chinesische Sprache und Literatur	tschī
148	d2e625325Meyers-1905	Chorĭambus	impatiens
149	d2e627424Meyers-1905	Christian [1]	Ernst
150	d2e638063Meyers-1905	Cinchōna	Berg
151	d2e638063Meyers-1905	Cinchōna	Berg
152	d2e640519Meyers-1905	Cis [1]	Gallia cispadana
153	d2e653668Meyers-1905	Code	C. rural, C. de la pêche, de la chasse, C. constitutionnel
154	d2e659139Meyers-1905	Collum	c. uteri
155	d2e662370Meyers-1905	Comes	C. sacrarum largitionum
156	d2e663161Meyers-1905	Commercĭum	C. animi et corporis
157	d2e665165Meyers-1905	Con	c. abbandono
158	d2e668853Meyers-1905	Coenobĭum	Volvox
159	d2e670551Meyers-1905	Constrictor	C. am
160	d2e675499Meyers-1905	Cordĭa	Sebesten, schwarze Brustbeeren
161	d2e675499Meyers-1905	Cordĭa	Sebesten, schwarze Brustbeeren
162	d2e685342Meyers-1905	Cour	c. d'assises
163	d2e692557Meyers-1905	Crimen	C. ambitus
164	d2e695264Meyers-1905	Crowther	Samuel
165	d2e695264Meyers-1905	Crowther	Samuel
166	d2e696037Meyers-1905	Crux [1]	C. interpretum
167	d2e708280Meyers-1905	Cytĭsus	Besenginster, Besenkraut, Besen
168	d2e708280Meyers-1905	Cytĭsus	Binsenpfriemen, Pfriemenstrauch
169	d2e708280Meyers-1905	Cytĭsus	Besenginster, Besenkraut, Besen
170	d2e708280Meyers-1905	Cytĭsus	Binsenpfriemen, Pfriemenstrauch
171	d2e750730Meyers-1905	Dekurĭo	Decurio equitum
172	d2e752744Meyers-1905	Delicĭae	D. poetarum Italorum, D. poet. Gallorum, D. poet. Germanorum
173	d2e761116Meyers-1905	Depōnens	sequitur
174	d2e776302Meyers-1905	Deutscher Orden	Konrad
175	d2e776302Meyers-1905	Deutscher Orden	Thüringen
176	d2e776302Meyers-1905	Deutscher Orden	Konrad
177	d2e776302Meyers-1905	Deutscher Orden	Thüringen
178	d2e777915Meyers-1905	Deutsches Recht	Norddeutschen Bundes
179	d2e777915Meyers-1905	Deutsches Recht	Norddeutschen Bundes
180	d2e779165Meyers-1905	Deutschland	Seebädern
181	d2e779165Meyers-1905	Deutschland	Pianofortes, Konzertflügeln
182	d2e779165Meyers-1905	Deutschland	Pianinos
183	d2e779165Meyers-1905	Deutschland	Siegmund
184	d2e785730Meyers-1905	Devīsen	Suum cuique
185	d2e791078Meyers-1905	Dianthus	einfarbige
186	d2e791078Meyers-1905	Dianthus	Salamander
187	d2e791078Meyers-1905	Dianthus	Feuerfaxen
188	d2e791078Meyers-1905	Dianthus	Flameusen
189	d2e791078Meyers-1905	Dianthus	Pikotten
190	d2e791078Meyers-1905	Dianthus	Bandblumen
191	d2e791078Meyers-1905	Dianthus	Bizarden
192	d2e791078Meyers-1905	Dianthus	Konkordien
193	d2e791078Meyers-1905	Dianthus	einfarbige
194	d2e791078Meyers-1905	Dianthus	Salamander
195	d2e791078Meyers-1905	Dianthus	Feuerfaxen
196	d2e791078Meyers-1905	Dianthus	Flameusen
197	d2e791078Meyers-1905	Dianthus	Pikotten
198	d2e791078Meyers-1905	Dianthus	Bandblumen
199	d2e791078Meyers-1905	Dianthus	Bizarden
200	d2e791078Meyers-1905	Dianthus	Konkordien
201	d2e791660Meyers-1905	Diärĕsis	Haemorrhagia per diaeresin
202	d2e792029Meyers-1905	Diastŏle	Prīamides
203	d2e792455Meyers-1905	Diatōnisch	c-h, c-des, cis-d
204	d2e792455Meyers-1905	Diatōnisch	c-cis, d-des
205	d2e792455Meyers-1905	Diatōnisch	cis-des, fisis-g, a-heses
206	d2e798803Meyers-1905	Dièse	ut diese
207	d2e824543Meyers-1905	Doktor	D. angelicus
208	d2e834228Meyers-1905	Doppelkreuz	f
