	EntryID	Headword	Hypernym	Author
0	d2e1110Meyers-1905	Aale	Anguilla vulgaris	Flem
1	d2e1296Meyers-1905	Aalmutter	Zoarces viviparus	L
2	d2e1442Meyers-1905	Aaltierchen	Rhabdonema nigrovenosum	Rud
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti	Ehrenb
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti	Ehrenb
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti glutinis	Ehrenb
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti glutinis	Ehrenb
4	d2e1442Meyers-1905	Aaltierchen	Tylenchus scandens	Schn
5	d2e1442Meyers-1905	Aaltierchen	T. devastatrix	
6	d2e1442Meyers-1905	Aaltierchen	T. Hafensteini	
7	d2e1442Meyers-1905	Aaltierchen	Heterodera Schachtii	A. Schmidt
8	d2e2082Meyers-1905	Aaskäfer	Silpha atrata	
9	d2e2082Meyers-1905	Aaskäfer	Silphidae opaca	L
10	d2e2082Meyers-1905	Aaskäfer	Necrophorus vespillo	L
11	d2e5536Meyers-1905	Abēlia	Linnaea	Gronov
12	d2e9136Meyers-1905	Abĭes	Pinus	L
13	d2e12335Meyers-1905	Abrōma	Abrōma angustum	
14	d2e12436Meyers-1905	Abrus	Abrus precatorius	L
15	d2e16833Meyers-1905	Abutĭlon	Abutĭlon Avicennae	Gärtn
16	d2e16833Meyers-1905	Abutĭlon	Abutĭlon esculentum	St. Hil
17	d2e16833Meyers-1905	Abutĭlon	Abutĭlon indicum	G. Don
18	d2e16833Meyers-1905	Abutĭlon	Abutĭlon insigne	Planch
19	d2e17882Meyers-1905	Acācia	pycnantha	Benth
20	d2e17882Meyers-1905	Acācia	Acācia melanoxylon	B. Br
21	d2e17882Meyers-1905	Acācia	Acācia excelsa	Benth
22	d2e17882Meyers-1905	Acācia	Acācia decurrens	Willd
23	d2e17882Meyers-1905	Acācia	Acācia penninervis	Sieber
24	d2e17882Meyers-1905	Acācia	Acācia dealbata	
25	d2e17882Meyers-1905	Acācia	Acācia floribunda	Willd
26	d2e17882Meyers-1905	Acācia	Acācia arabica	Willd
27	d2e17882Meyers-1905	Acācia	Acācia nilotica	Del
28	d2e17882Meyers-1905	Acācia	Acācia vera	
29	d2e17882Meyers-1905	Acācia	Acācia horrida	Willd
30	d2e17882Meyers-1905	Acācia	Acācia Seyal	Det
31	d2e17882Meyers-1905	Acācia	Acācia fistula	Schweinf
