	EntryID	Headword	Hyponym
0	d2e13Meyers-1905	A [1]	AA. LL. M.
1	d2e13Meyers-1905	A [1]	A. SS.
2	d2e13Meyers-1905	A [1]	A. Br
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti, A. glutinis
4	d2e1442Meyers-1905	Aaltierchen	A. Schmidt
5	d2e2579Meyers-1905	Abälard	A. et Alexandre de Hales créateurs de la méthode scolastique
6	d2e3678Meyers-1905	Abbeokūta	A. and the Cameroon mountains
7	d2e5069Meyers-1905	Abd ul Hamid	A. et son règne
8	d2e5069Meyers-1905	Abd ul Hamid	A. intime
9	d2e10997Meyers-1905	Abonnement	A. suspendu
10	d2e12335Meyers-1905	Abrōma	A. angustum
11	d2e12436Meyers-1905	Abrus	A. precatorius
12	d2e16833Meyers-1905	Abutĭlon	A. Avicennae
13	d2e16833Meyers-1905	Abutĭlon	A. esculentum
14	d2e16833Meyers-1905	Abutĭlon	A. indicum
15	d2e16833Meyers-1905	Abutĭlon	A. insigne
16	d2e17882Meyers-1905	Acācia	A. melanoxylon
17	d2e17882Meyers-1905	Acācia	A. excelsa
18	d2e17882Meyers-1905	Acācia	A. decurrens
19	d2e17882Meyers-1905	Acācia	A. penninervis
20	d2e17882Meyers-1905	Acācia	A. dealbata
21	d2e17882Meyers-1905	Acācia	A. floribunda
22	d2e17882Meyers-1905	Acācia	A. dealbata
23	d2e17882Meyers-1905	Acācia	A. arabica
24	d2e17882Meyers-1905	Acācia	A. nilotica
25	d2e17882Meyers-1905	Acācia	A. vera
26	d2e17882Meyers-1905	Acācia	A. horrida
27	d2e17882Meyers-1905	Acācia	A. Seyal
28	d2e17882Meyers-1905	Acācia	A. fistula
29	d2e17882Meyers-1905	Acācia	A. sphaerocephala
30	d2e17882Meyers-1905	Acācia	A. stenocarpa
31	d2e17882Meyers-1905	Acācia	A. Senegal
32	d2e17882Meyers-1905	Acācia	A. Verek
33	d2e17882Meyers-1905	Acācia	A. anthelmintica
34	d2e17882Meyers-1905	Acācia	A. Catechu
35	d2e18378Meyers-1905	Acanthus	A. mollis
36	d2e18378Meyers-1905	Acanthus	A. spinosus
37	d2e18378Meyers-1905	Acanthus	A. ilicifolius
38	d2e18378Meyers-1905	Acanthus	A. arabica
39	d2e18378Meyers-1905	Acanthus	A. spinosus
40	d2e18673Meyers-1905	Accentus ecelesiastĭci	A. e
41	d2e19358Meyers-1905	Acerra [1]	A. philologica
42	d2e19835Meyers-1905	Acētum	A. aromaticum
43	d2e19835Meyers-1905	Acētum	A. glaciale
44	d2e19835Meyers-1905	Acētum	A. pyrolignosum
45	d2e19835Meyers-1905	Acētum	A. plumbi s. saturninum
46	d2e19835Meyers-1905	Acētum	A. vini
47	d2e19835Meyers-1905	Acētum	A. scillae
48	d2e20642Meyers-1905	Achatschnecke	A. mauritiana
49	d2e20642Meyers-1905	Achatschnecke	A. perdix
50	d2e20642Meyers-1905	Achatschnecke	A. zebra
51	d2e20642Meyers-1905	Achatschnecke	A. lubrica
52	d2e21107Meyers-1905	Achillēa [1]	A. Ptarmica
53	d2e21107Meyers-1905	Achillēa [1]	A. nana
54	d2e21107Meyers-1905	Achillēa [1]	A. moschata
55	d2e21426Meyers-1905	Achimĕnes	A. grandiflora
56	d2e21426Meyers-1905	Achimĕnes	A. mexicana
57	d2e21426Meyers-1905	Achimĕnes	A. amabilis
58	d2e21541Meyers-1905	Achlya	A. prolifora
59	d2e21541Meyers-1905	Achlya	A. prolifera
60	d2e21577Meyers-1905	Aechmēa	A. spectabilis
61	d2e21577Meyers-1905	Aechmēa	A. distichantha
62	d2e21577Meyers-1905	Aechmēa	A. rhodocyanea
63	d2e23139Meyers-1905	Acĭdum	A. aceticum
64	d2e23139Meyers-1905	Acĭdum	A. arsenicicum
65	d2e23139Meyers-1905	Acĭdum	A. arsenicosum
66	d2e23139Meyers-1905	Acĭdum	A. benzoicum
67	d2e23139Meyers-1905	Acĭdum	A. boricum
68	d2e23139Meyers-1905	Acĭdum	A. butyricum
69	d2e23139Meyers-1905	Acĭdum	A. camphoricum
70	d2e23139Meyers-1905	Acĭdum	A. carbolicum
71	d2e23139Meyers-1905	Acĭdum	A. carbonicum
72	d2e23139Meyers-1905	Acĭdum	A. chloricum
73	d2e23139Meyers-1905	Acĭdum	A. chloronitrosum
74	d2e23139Meyers-1905	Acĭdum	A. chromicum
75	d2e23139Meyers-1905	Acĭdum	A. cinnamylicum
76	d2e23139Meyers-1905	Acĭdum	A. citricum
77	d2e23139Meyers-1905	Acĭdum	A. cresolicum
78	d2e23139Meyers-1905	Acĭdum	A. formicicum
79	d2e23139Meyers-1905	Acĭdum	A. gallicum
80	d2e23139Meyers-1905	Acĭdum	A. gallotannicum
81	d2e23139Meyers-1905	Acĭdum	A. hydrobromicum
82	d2e23139Meyers-1905	Acĭdum	A. hydrochloricum
83	d2e23139Meyers-1905	Acĭdum	A. hydrocyanicum
