	EntryID	Headword	Origin language	Lemma synonym
1	d2e549Meyers-1905	Aa	schwed	Å
1	d2e549Meyers-1905	Aa	dän	Aa
1	d2e549Meyers-1905	Aa	lat	aqua
3	d2e649Meyers-1905	Aachen	franz	Aix la Chapelle
3	d2e649Meyers-1905	Aachen	lat	Aquae
28	d2e2551Meyers-1905	Abăkus	griech	abax
29	d2e2579Meyers-1905	Abälard	lat	Abaelardus
54	d2e3870Meyers-1905	Abbitte	lat	Deprecatio injuriae
79	d2e5808Meyers-1905	Abend	lat	Occidens
86	d2e6322Meyers-1905	Abenteuer	mittelhochd	âventiure
86	d2e6322Meyers-1905	Abenteuer	franz	aventure
86	d2e6322Meyers-1905	Abenteuer	mittellat	adventura
102	d2e6647Meyers-1905	Aberglaube	lat	Superstitio
107	d2e6927Meyers-1905	Aberraute	lat	abrotanum
150	d2e10575Meyers-1905	Abmagerung	lat	Macies
162	d2e11032Meyers-1905	Abonnent	franz	Abonné
166	d2e11148Meyers-1905	Abortieren	lat	abortus
168	d2e11231Meyers-1905	Abortivmittel	lat	Abortiva
199	d2e13598Meyers-1905	Absentismus	engl	absenteeism
215	d2e14484Meyers-1905	Abspannung	lat	Relaxatio
224	d2e15176Meyers-1905	Abstrakten	franz	Abrégés
231	d2e15535Meyers-1905	Abszeß	lat	abscessus
296	d2e20874Meyers-1905	Achēne	lat	Achaenium
313	d2e21923Meyers-1905	Achse	lat	Axis
314	d2e22022Meyers-1905	Achsel	lat	Axilla
317	d2e22334Meyers-1905	Acht [2]	althochd	âhta
317	d2e22334Meyers-1905	Acht [2]	mittelhochd	achte
395	d2e27587Meyers-1905	Adauli	engl	adowly
398	d2e27698Meyers-1905	Adda	lat	Addua
409	d2e28114Meyers-1905	Additionalakte	franz	Acte additionnel
422	d2e29123Meyers-1905	Adelphismus	griech	adelphos
464	d2e30878Meyers-1905	Ädīlen	lat	aedes
490	d2e31862Meyers-1905	Adler [2]	span	Aquila
506	d2e32650Meyers-1905	Admirāl [2]	arab	amîr
506	d2e32650Meyers-1905	Admirāl [2]	franz	amiral
526	d2e33709Meyers-1905	Adour	lat	Aturius
538	d2e34227Meyers-1905	Adrett	franz	adroit
558	d2e34861Meyers-1905	A dur	ital	La maggiore
558	d2e34861Meyers-1905	A dur	franz	La majeur
558	d2e34861Meyers-1905	A dur	engl	A major
567	d2e35171Meyers-1905	Advocati ecclesĭae	lat	Defensores Actores ecclesiae
619	d2e37025Meyers-1905	Affidāvit	lat	affido
631	d2e37303Meyers-1905	Affrös	franz	affreux
662	d2e41926Meyers-1905	Agāpen	griech	agápē
668	d2e42865Meyers-1905	Ägātische Inseln	ital	Egadi
675	d2e43268Meyers-1905	Agénde	lat	agenda
704	d2e44693Meyers-1905	Agio	ital	Aggio
707	d2e44837Meyers-1905	Ägir	got	ahwa
733	d2e45696Meyers-1905	Agōgik	griech	agōgē
749	d2e46280Meyers-1905	Agrarbanken	lat	ager
764	d2e47587Meyers-1905	Agrūmen	ital	agro
778	d2e49508Meyers-1905	Ägyptĭa	franz	Toiles égyptiennes
789	d2e50524Meyers-1905	Ahnen	althochd	ano
789	d2e50524Meyers-1905	Ahnen	mittelhochd	an
792	d2e51090Meyers-1905	Ährchen	lat	spicula
821	d2e52544Meyers-1905	Aimoīn	lat	Aimoinus
858	d2e54224Meyers-1905	Akademie	lat	academĭa
862	d2e55242Meyers-1905	Akadien	engl	Acadia
862	d2e55242Meyers-1905	Akadien	franz	l Acadie
862	d2e55242Meyers-1905	Akadien	indian	cadie
884	d2e56189Meyers-1905	Aki [2]	engl	ackey
898	d2e56807Meyers-1905	Akkompagnement	ital	accompagnaménto
899	d2e56830Meyers-1905	Akkord [1]	franz	accord
971	d2e60333Meyers-1905	Aktuar	lat	Actuarius
984	d2e60746Meyers-1905	Akzent	lat	accentus
991	d2e61090Meyers-1905	Akzession	lat	accessio
992	d2e61145Meyers-1905	Akzéssit	lat	accessit
993	d2e61202Meyers-1905	Akzĭdens	lat	accidens
1037	d2e63315Meyers-1905	Alaun	lat	Alumen
1044	d2e64077Meyers-1905	Albanagĭum	mittellat	jus albanagii
1044	d2e64077Meyers-1905	Albanagĭum	franz	Droit d aubaine
1045	d2e64118Meyers-1905	Albanergebirge	ital	Colli Albani Monti
1062	d2e65524Meyers-1905	Albert [2]	lat	Albertus
1072	d2e66393Meyers-1905	Albināgii jus	lat	Albinagium
1073	d2e66473Meyers-1905	Albīnos	span	albino
