	EntryID	Headword	meaning
0	d2e549Meyers-1905	Aa	Wasser
1	d2e549Meyers-1905	Aa	Fluß
2	d2e2551Meyers-1905	Abăkus	Tafel
3	d2e2551Meyers-1905	Abăkus	Platte
4	d2e5399Meyers-1905	Abel [1]	Sohn
5	d2e5399Meyers-1905	Abel [1]	habal
6	d2e5750Meyers-1905	Abenaki	Männer des Ostens
7	d2e6819Meyers-1905	Aberrātio delicti	Abirrung des Verbrechens
8	d2e6819Meyers-1905	Aberrātio delicti	des Stoßes
9	d2e7102Meyers-1905	Abessinien	Ägypten etc.
10	d2e9486Meyers-1905	Abiturient	demnächst Abgehender
11	d2e10801Meyers-1905	Abo	Markt
12	d2e11375Meyers-1905	Ab ovo	vom Ei an
13	d2e12523Meyers-1905	Abruzzen	Italien
14	d2e15535Meyers-1905	Abszeß	Weg-
15	d2e15535Meyers-1905	Abszeß	Fortgang
16	d2e16714Meyers-1905	Abu Simbel	Vater der Kornähre
17	d2e18924Meyers-1905	Accoménda	anvertrauen
18	d2e22334Meyers-1905	Acht [2]	Verfolgung
19	d2e25087Meyers-1905	Acre	Acker
20	d2e26318Meyers-1905	Adalbert	der an Geschlecht Glänzende
21	d2e27643Meyers-1905	Ad bestĭas	zu den Tieren
22	d2e28114Meyers-1905	Additionalakte	Zusatzakte
23	d2e29549Meyers-1905	Adenet	der kleine Adam
24	d2e30495Meyers-1905	Ad hoc	für dieses
25	d2e31530Meyers-1905	Ad latus	zur Seite
26	d2e32650Meyers-1905	Admirāl [2]	Oberbefehlshaber
27	d2e33402Meyers-1905	Adonāi	Herr
28	d2e34403Meyers-1905	Adriatisches Meer	Mittelmeerländer
29	d2e34445Meyers-1905	Adrittūra	geradezu
30	d2e34445Meyers-1905	Adrittūra	direkt
31	d2e37337Meyers-1905	Afghanistan	Stammland
32	d2e37337Meyers-1905	Afghanistan	Zentralasien
33	d2e37337Meyers-1905	Afghanistan	Persien
34	d2e41926Meyers-1905	Agāpen	Liebe
35	d2e43268Meyers-1905	Agénde	was getan werden soll
36	d2e43381Meyers-1905	Agent	ein Handelnder
37	d2e43961Meyers-1905	Agglutination	Verklebung
38	d2e44837Meyers-1905	Ägir	Wasser
39	d2e44837Meyers-1905	Ägir	Wassermann
40	d2e45653Meyers-1905	Agnus Dēi	Lamm Gottes
41	d2e46356Meyers-1905	Agrarische Gesetze	Ackergesetze
42	d2e47048Meyers-1905	Agriménsor	Feldmesser
43	d2e50358Meyers-1905	Ahmed	der Preisenswerte
44	d2e52696Meyers-1905	Aino [1]	Mensch
45	d2e52696Meyers-1905	Aino [1]	Barbaren
46	d2e56014Meyers-1905	Akephālen	Kopflose
47	d2e56449Meyers-1905	Akkermán	Weißenburg
48	d2e56807Meyers-1905	Akkompagnement	Begleitung
49	d2e56830Meyers-1905	Akkord [1]	Übereinstimmung
50	d2e57149Meyers-1905	Akkumulātor [1]	Sammler
51	d2e58818Meyers-1905	Akschehr	weiße Stadt
52	d2e60746Meyers-1905	Akzent	Beigesang
53	d2e61090Meyers-1905	Akzession	Beitritt
54	d2e61145Meyers-1905	Akzéssit	er ist hinzugekommen
55	d2e61240Meyers-1905	Akzidentālien	Zufälligkeiten
56	d2e61407Meyers-1905	Ala [2]	Flügel
57	d2e61513Meyers-1905	Alabāma	Hier ruhen wir
58	d2e62989Meyers-1905	Alaschehr	bunte Stadt
59	d2e63870Meyers-1905	Alba [2]	weiß
60	d2e64077Meyers-1905	Albanagĭum	Fremdlingsrecht
61	d2e64118Meyers-1905	Albanergebirge	Umgebung von Rom
62	d2e66996Meyers-1905	Albrecht [1]	der an Geschlecht Glänzende
63	d2e68354Meyers-1905	Alcalá	Kastell
64	d2e69729Meyers-1905	Alderman	Ältester
65	d2e70461Meyers-1905	Aleiptes	Einsalber
66	d2e70895Meyers-1905	Alençonspitzen	points de France
67	d2e70975Meyers-1905	Aleppobeule	Jahresbeule
68	d2e71078Meyers-1905	Alért	auf der Hut
69	d2e71565Meyers-1905	Alexander [1]	der Männerbeschützende
70	d2e73971Meyers-1905	Alfons	der an Geschlecht Auszuzeichnende
71	d2e74729Meyers-1905	Algebra	Wiederherstellung
72	d2e75955Meyers-1905	Algier	die Insel
73	d2e76477Meyers-1905	Alhámbra	rote
74	d2e76613Meyers-1905	Alhidāde	Lineal
75	d2e76613Meyers-1905	Alhidāde	Zeiger am Astrolabium
76	d2e77417Meyers-1905	Aliquid haeret	etwas bleibt hängen
77	d2e78115Meyers-1905	Alkalde	Richter
78	d2e79625Meyers-1905	Alkoven	Gewölbe
79	d2e79625Meyers-1905	Alkoven	Zelt
80	d2e80174Meyers-1905	Allargando	breiter werdend
81	d2e81112Meyers-1905	Allergläubigster Sohn der Kirche	allergetreuest
82	d2e82100Meyers-1905	Alligatoren	Eidechse
83	d2e82954Meyers-1905	Allopathie	ander
84	d2e82954Meyers-1905	Allopathie	leiden
85	d2e83113Meyers-1905	Allotmentsystem	Los
86	d2e83113Meyers-1905	Allotmentsystem	Anteil
87	d2e84471Meyers-1905	Almería [1]	Auslug
88	d2e84471Meyers-1905	Almería [1]	Wartturm
89	d2e84747Meyers-1905	Almosen	Mitleiden
90	d2e86012Meyers-1905	Alpen [1]	hoch
91	d2e86012Meyers-1905	Alpen [1]	Berg
92	d2e91504Meyers-1905	Alter ego	das andre Ich
93	d2e91667Meyers-1905	Alternatīvo	abwechselnd
94	d2e93900Meyers-1905	Altruismus	ein andrer
95	d2e94497Meyers-1905	Altvordern	frühere
96	d2e96277Meyers-1905	Amadēus	Liebegott
97	d2e100241Meyers-1905	Ambulanz	Umherwandeln
98	d2e101514Meyers-1905	Amenorrhöe	ohne Monatsfluß
99	d2e101756Meyers-1905	American Protective Association	Amerikanischer Schutzverein
100	d2e104711Meyers-1905	Amme	Mutter
101	d2e104711Meyers-1905	Amme	Großmutter
102	d2e106767Meyers-1905	Amöben	Wechselnde
103	d2e108120Meyers-1905	Amphibĭen	doppellebige Tiere
104	d2e108524Meyers-1905	Amphibrăchys	auf beiden Seiten kurz
105	d2e108780Meyers-1905	Amphímăcer	an beiden Seiten lang
106	d2e109084Meyers-1905	Amphitheater	Rundtheater
107	d2e112874Meyers-1905	Anadyoméne	Auftauchende
108	d2e114357Meyers-1905	Anam	beruhigter Süden
109	d2e116087Meyers-1905	Anasarka	Hautwassersucht
110	d2e116513Meyers-1905	Anatomīe	Aufschneidung
111	d2e116513Meyers-1905	Anatomīe	Zergliederung
112	d2e117001Meyers-1905	Anazýklisch	umdrehbar
113	d2e118165Meyers-1905	Andaménto	Gang
114	d2e118315Meyers-1905	Andelang	Handschuh
115	d2e119839Meyers-1905	Andrēas	der Männliche
116	d2e121630Meyers-1905	Anemomēter	Windmesser
117	d2e122832Meyers-1905	Angărus	verkündigen
118	d2e123122Meyers-1905	Angel [1]	Stachel
119	d2e123122Meyers-1905	Angel [1]	Spitze
120	d2e125031Meyers-1905	Anglesey [1]	Insel der Angler
121	d2e126684Meyers-1905	Anhalt	Provinz Sachsen
122	d2e127093Meyers-1905	Anhydrīde	wasserlos
123	d2e127211Meyers-1905	Anhydrít	wasserlos
124	d2e128984Meyers-1905	Anker [2]	das Gekrümmte
125	d2e130686Meyers-1905	Anna [2]	Gnade
126	d2e131317Meyers-1905	Annāten	Jahrgelder
127	d2e132997Meyers-1905	Anonȳm	namenlos
128	d2e136081Meyers-1905	Antagonismus	Widerstreit
129	d2e136373Meyers-1905	Antecēdens	Vorhergehende
130	d2e137417Meyers-1905	Anthologie	Blumenlese
131	d2e138600Meyers-1905	Anthropometrie	Menschenmessung
132	d2e138686Meyers-1905	Anthropophagie	Menschenfresserei
133	d2e139314Meyers-1905	Antichrist	Widerchrist
134	d2e142812Meyers-1905	Antiphōn	Gegenstimme
135	d2e142894Meyers-1905	Antipoden	Gegenfüßler
136	d2e143629Meyers-1905	Antispast	widerstrebend
137	d2e143907Meyers-1905	Antizipation	Vorausergreifung
138	d2e143907Meyers-1905	Antizipation	Vorausnahme
139	d2e147600Meyers-1905	Apennīn	Felsenspitze
140	d2e151676Meyers-1905	Aposiopēsis	Verschweigung
141	d2e152543Meyers-1905	Apostrophe	Wegwendung
142	d2e152615Meyers-1905	Apotheke	Niederlage
143	d2e155028Meyers-1905	Après nous le déluge	nach uns [komme] die Sündflut!
144	d2e155259Meyers-1905	April	weil der Frühling alles öffnet
145	d2e155518Meyers-1905	Apsis	Rundung
146	d2e155518Meyers-1905	Apsis	Gewölbe
147	d2e156487Meyers-1905	Aquarĭum	Wasserbehälter
148	d2e156667Meyers-1905	Äquātor	gleich machen
149	d2e156918Meyers-1905	Aquavīt	Lebenswasser
150	d2e157159Meyers-1905	Aquilēge	Wasserspürer
151	d2e157253Meyers-1905	Äquilibrismus	Gleichgewicht
152	d2e157274Meyers-1905	Äquilibristen	Gleichgewicht
153	d2e157986Meyers-1905	Ära	Grundzahl
154	d2e157986Meyers-1905	Ära	Grundeinheit
155	d2e161715Meyers-1905	Araukāner	Rebellen
156	d2e161715Meyers-1905	Araukāner	Krieger
157	d2e162069Meyers-1905	Arbeit [2]	Mühsal
158	d2e162069Meyers-1905	Arbeit [2]	Not
159	d2e165180Meyers-1905	Arcānum	geheim
160	d2e166166Meyers-1905	Archiāter	Oberarzt
161	d2e170075Meyers-1905	Ardennen [1]	Belgien
162	d2e170797Meyers-1905	Aremorĭca	am Meer
163	d2e171342Meyers-1905	Areopāg	Areshügel
164	d2e173675Meyers-1905	Argonauten	Argoschiffer
165	d2e175158Meyers-1905	Arĭer	der Arier
166	d2e175158Meyers-1905	Arĭer	Vornehme
167	d2e176436Meyers-1905	Aristŏn mĕn hydōr	das Beste ist das Wasser
168	d2e177230Meyers-1905	Arkade	Bogen
169	d2e177918Meyers-1905	Arktos	Bärin
170	d2e178952Meyers-1905	Armee	bewaffnete Mach:
171	d2e180958Meyers-1905	Armillārsphäre	Ringkugel
172	d2e183915Meyers-1905	Arpeggio	Harfe
173	d2e185692Meyers-1905	Arrowroot	Pfeilwurz
174	d2e191707Meyers-1905	Arzt	Oberarzt
175	d2e192652Meyers-1905	Asbest	unverbrennlich
176	d2e193608Meyers-1905	Aschenbrödel	schmutziger Küchenjunge
177	d2e195135Meyers-1905	Aserbeidschan	Persien
178	d2e198893Meyers-1905	Asmodi	Verderber
179	d2e198893Meyers-1905	Asmodi	Dämon
180	d2e200994Meyers-1905	Assai [1]	genügend
181	d2e200994Meyers-1905	Assai [1]	sehr
182	d2e201461Meyers-1905	Asseln [1]	Gleichfüßer
183	d2e202157Meyers-1905	Assimilation	Verähnlichung
184	d2e202679Meyers-1905	Assŏnanz	Anklang
