	EntryID	Headword	originlanguage
0	d2e1603Meyers-1905	Aar [2]	holländ.,
1	d2e2431Meyers-1905	Abaddon	hebr.,
2	d2e2551Meyers-1905	Abăkus	lat.,
3	d2e2776Meyers-1905	Abandon	franz.,
4	d2e2804Meyers-1905	Abandonnieren	franz.,
5	d2e3050Meyers-1905	Abatjour	franz.,
6	d2e3092Meyers-1905	Abattement	franz.,
7	d2e3142Meyers-1905	Abba	hebräisch-chald.,
8	d2e4336Meyers-1905	Abdallah	arab.,
9	d2e5025Meyers-1905	Abduktōren	lat.,
10	d2e6348Meyers-1905	Aber-...	kelt.,
11	d2e6802Meyers-1905	Aberratio	lat.,
12	d2e6819Meyers-1905	Aberrātio delicti	lat.,
13	d2e9205Meyers-1905	Abigáil	hebr.,
14	d2e9220Meyers-1905	Abigieren	lat.,
15	d2e9285Meyers-1905	Abimélech	hebr.,
16	d2e9486Meyers-1905	Abiturient	neulat.,
17	d2e9506Meyers-1905	Ab Jove principium	lat.,
18	d2e9994Meyers-1905	Ablation	lat.,
19	d2e10689Meyers-1905	Abner	hebr.,
20	d2e10997Meyers-1905	Abonnement	franz.,
21	d2e11375Meyers-1905	Ab ovo	lat.,
22	d2e11842Meyers-1905	Abrasion	lat.,
23	d2e12242Meyers-1905	Abricot	franz.,
24	d2e12557Meyers-1905	Absălom	hebr.,
25	d2e12617Meyers-1905	Absarĭi	mittellat.,
26	d2e14263Meyers-1905	Absorption	lat.,
27	d2e15159Meyers-1905	Abstrakt	lat.,
28	d2e15218Meyers-1905	Abstraktion	lat.,
29	d2e16471Meyers-1905	Abulīe	griech.,
30	d2e16714Meyers-1905	Abu Simbel	arab.,
31	d2e18621Meyers-1905	Accelerándo	ital.,
32	d2e18750Meyers-1905	Acciaccatūra	ital.,
33	d2e18924Meyers-1905	Accoménda	mittellat.,
34	d2e18953Meyers-1905	Accompagnāto	ital.,
35	d2e19011Meyers-1905	Accouchement	frz.,
36	d2e19046Meyers-1905	Accrescendo	ital.,
37	d2e20210Meyers-1905	Achalandieren	franz.,
38	d2e24645Meyers-1905	à condition	franz.,
39	d2e24915Meyers-1905	à coup perdu	franz.,
40	d2e25003Meyers-1905	Acquit	franz.,
41	d2e25087Meyers-1905	Acre	engl.,
42	d2e25389Meyers-1905	Act	engl.,
43	d2e25612Meyers-1905	Acte	franz.,
44	d2e25807Meyers-1905	Action de jouissance	franz.,
45	d2e26214Meyers-1905	Adagio	ital.,
46	d2e27643Meyers-1905	Ad bestĭas	lat.,
47	d2e27739Meyers-1905	Addénda	lat.,
48	d2e27801Meyers-1905	Addieren	lat.,
49	d2e28239Meyers-1905	Adduktōren	lat.,
50	d2e28291Meyers-1905	A découvert	franz.,
51	d2e30360Meyers-1905	Adhäsion	lat.,
52	d2e30495Meyers-1905	Ad hoc	lat.,
53	d2e30695Meyers-1905	Adiaphōn	griech.,
54	d2e30712Meyers-1905	Adiáphora	griech.,
55	d2e30764Meyers-1905	Aedicŭla	lat.,
56	d2e30798Meyers-1905	Adieu	franz.,
57	d2e31017Meyers-1905	Adipocire	franz.,
58	d2e31100Meyers-1905	à discrétion	franz.,
59	d2e31262Meyers-1905	Adjoint	franz.,
60	d2e31379Meyers-1905	Adjunktion	lat.,
61	d2e31530Meyers-1905	Ad latus	lat.,
62	d2e32619Meyers-1905	Admirābel	lat.,
63	d2e32959Meyers-1905	Admission temporaire	franz.,
64	d2e32973Meyers-1905	Admittātur	lat.,
65	d2e33079Meyers-1905	Adnexe	lat.,
66	d2e33402Meyers-1905	Adonāi	hebr.,
67	d2e33689Meyers-1905	Adoucieren	franz.,
68	d2e33779Meyers-1905	Adquest	lat.,
69	d2e33929Meyers-1905	Adrasteia	griech.,
70	d2e34972Meyers-1905	Advent	lat.,
71	d2e35157Meyers-1905	Advertiser	engl.,
72	d2e35312Meyers-1905	Advozieren	lat.,
73	d2e35600Meyers-1905	Aërobāt	griech.,
74	d2e35765Meyers-1905	Aërolithen	griech.,
75	d2e35779Meyers-1905	Aëromechānik	griech.,
76	d2e35913Meyers-1905	Aërostāt	franz.,
77	d2e35997Meyers-1905	Aërostier	franz.,
78	d2e36345Meyers-1905	Affaire	franz.,
79	d2e36988Meyers-1905	Affiche	franz.,
80	d2e37011Meyers-1905	Affichieren	franz.,
81	d2e37126Meyers-1905	Affíx	lat.,
82	d2e37289Meyers-1905	Affront	franz.,
83	d2e37724Meyers-1905	à fonds perdu	franz.,
84	d2e41481Meyers-1905	Agacieren	franz.,
85	d2e41659Meyers-1905	Agalmatolith	griech.,
86	d2e42601Meyers-1905	Agates blanches	franz.,
87	d2e43162Meyers-1905	Aged	engl.,
88	d2e43358Meyers-1905	Agens	lat.,
89	d2e43381Meyers-1905	Agent	lat.,
90	d2e43539Meyers-1905	Agents provocateurs	franz.,
