	EntryID	Headword	sogenannt
0	d2e1442Meyers-1905	Aaltierchen	Ascaris
1	d2e6819Meyers-1905	Aberrātio delicti	error in persona
2	d2e19086Meyers-1905	Accursĭus	Glossa ordinaria
3	d2e28346Meyers-1905	Adel [3]	noblesse de la robe
4	d2e28346Meyers-1905	Adel [3]	Titulados
5	d2e91684Meyers-1905	Alternatīvobligation	facultas alternativa
6	d2e125123Meyers-1905	Anglikanische Kirche	Queen Anne's Bounty
7	d2e128356Meyers-1905	Anĭo	Cascata grande
8	d2e175534Meyers-1905	Ariósto	Cinque canti
9	d2e195622Meyers-1905	Asiāgo	Sette comuni
10	d2e202381Meyers-1905	Assīsen	grandes
11	d2e225407Meyers-1905	Auge [1]	tapetum lucidum
12	d2e228010Meyers-1905	Augsburgische Konfession	Confessio Tetrapolitana
13	d2e228010Meyers-1905	Augsburgische Konfession	Confutatio
14	d2e228010Meyers-1905	Augsburgische Konfession	editio princeps
15	d2e228010Meyers-1905	Augsburgische Konfession	Conf Aug. invariata
16	d2e228010Meyers-1905	Augsburgische Konfession	Conf. Aug. variata
17	d2e239005Meyers-1905	Australien	Grammar Schools, Collegiate Schools
18	d2e255325Meyers-1905	Bad [1]	Thermae novae
19	d2e267726Meyers-1905	Ball [2]	Bals parés
20	d2e267835Meyers-1905	Ballāde	envoi
21	d2e267835Meyers-1905	Ballāde	Border-ballads
22	d2e271306Meyers-1905	Bamberg [1]	Bambergensis
23	d2e271538Meyers-1905	Bambergische Halsgerichtsordnung	Brandenburgica
24	d2e271538Meyers-1905	Bambergische Halsgerichtsordnung	Carolina
25	d2e275775Meyers-1905	Banken	Banco giro
26	d2e275775Meyers-1905	Banken	monti
27	d2e286006Meyers-1905	Barletta	Campo del sangue
28	d2e332774Meyers-1905	Bellegarde [1]	Perte du Rhône
29	d2e358404Meyers-1905	Berufung [2]	reformatio in pejus
30	d2e374393Meyers-1905	Bibel	Septuaginta
31	d2e423174Meyers-1905	Boccaccio	Deo gratias
32	d2e426162Meyers-1905	Bodenbesitzreform	Socialistes rationels
33	d2e449743Meyers-1905	Borough	pocket boroughs
34	d2e455467Meyers-1905	Bote	maîtres coureurs royaux
35	d2e463982Meyers-1905	Brachylŏgus juris civīlis	B
36	d2e472175Meyers-1905	Brasilische Literatur	Arcadia ultramarina
37	d2e472175Meyers-1905	Brasilische Literatur	poetas mineiros
38	d2e484496Meyers-1905	Breve	Chirographa
39	d2e529426Meyers-1905	Burgundische Gesetzbücher	Breviarium
40	d2e543197Meyers-1905	Ça ira	Carillon national
41	d2e550194Meyers-1905	Cambridge [1]	non-collegiate-students
42	d2e550194Meyers-1905	Cambridge [1]	Hostel
