	EntryID	Headword	term	lang	synonym
0	d2e649Meyers-1905	Aachen		franz.	Aix-la-Chapelle
1	d2e3870Meyers-1905	Abbitte		lat.	Deprecatio injuriae
2	d2e10575Meyers-1905	Abmagerung		lat.	Macies
3	d2e11032Meyers-1905	Abonnent		franz.	Abonné
4	d2e11231Meyers-1905	Abortivmittel		lat.	Abortiva
5	d2e13598Meyers-1905	Absentismus		engl.	absenteeism
6	d2e15176Meyers-1905	Abstrakten		franz.	Abrégés
7	d2e15535Meyers-1905	Abszeß		lat.	abscessus
8	d2e16606Meyers-1905	Abundántia	a 	altfranz.	Dame Habonde
9	d2e20874Meyers-1905	Achēne		lat.	Achaenium
10	d2e22022Meyers-1905	Achsel		lat.	Axilla
11	d2e22334Meyers-1905	Acht [2]		althochd.	âhta
12	d2e22334Meyers-1905	Acht [2]	r Wolf 	altnord.	vargr
13	d2e27587Meyers-1905	Adauli		engl.	adowly
14	d2e27698Meyers-1905	Adda		lat.	Addua
15	d2e28114Meyers-1905	Additionalakte		franz.	Acte additionnel
16	d2e31862Meyers-1905	Adler [2]		span.	Aquila
17	d2e34861Meyers-1905	A dur		ital.	La maggiore
18	d2e37303Meyers-1905	Affrös		franz.	affreux
19	d2e44837Meyers-1905	Ägir	entlehnt 	angels.	egesa
20	d2e45462Meyers-1905	Agni	Feuers 	lat.	ignis
21	d2e49508Meyers-1905	Ägyptĭa		franz.	Toiles égyptiennes
22	d2e50524Meyers-1905	Ahnen		althochd.	ano
23	d2e53228Meyers-1905	Ais	t 	ital.	la
24	d2e55242Meyers-1905	Akadien		engl.	Acadia
25	d2e56189Meyers-1905	Aki [2]		engl.	ackey
26	d2e56830Meyers-1905	Akkord [1]		franz.	accord
27	d2e59105Meyers-1905	Aktie	n 	franz.	action de jouissance
28	d2e60333Meyers-1905	Aktuar		lat.	Actuarius
29	d2e60746Meyers-1905	Akzent		lat.	accentus
30	d2e61090Meyers-1905	Akzession		lat.	accessio
31	d2e61145Meyers-1905	Akzéssit		lat.	accessit
32	d2e61202Meyers-1905	Akzĭdens		lat.	accidens
33	d2e63315Meyers-1905	Alaun		lat.	Alumen
34	d2e64118Meyers-1905	Albanergebirge		ital.	Colli Albani, Monti Laziali
35	d2e68354Meyers-1905	Alcalá	s 	lat.	Complutum
36	d2e69808Meyers-1905	Aldĭen		langob.	Aldiones
37	d2e70975Meyers-1905	Aleppobeule		arab.	habb essene
38	d2e76613Meyers-1905	Alhidāde		arab.	al 'idade
39	d2e77302Meyers-1905	Alinĕa		lat.	a linea
40	d2e78115Meyers-1905	Alkalde		span.	alcalde
41	d2e79791Meyers-1905	All		griech.	pan
