	EntryID	Headword	term	author
0	d2e1110Meyers-1905	Aale	['Anguilla vulgaris']	['  Flem']
1	d2e1296Meyers-1905	Aalmutter	['Z. viviparus']	['  L']
2	d2e1442Meyers-1905	Aaltierchen	['Rhabdonema nigrovenosum']	['  Rud']
3	d2e1442Meyers-1905	Aaltierchen	['Anguillula aceti, A. glutinis']	['  Ehrenb']
4	d2e1442Meyers-1905	Aaltierchen	['Tylenchus scandens']	['  Schn']
5	d2e1442Meyers-1905	Aaltierchen	['T. devastatrix']	['  Kühn', '']
6	d2e1442Meyers-1905	Aaltierchen	['T. Hafensteini']	['  Kühn', '']
7	d2e1442Meyers-1905	Aaltierchen	['Heterodera Schachtii', '  A. Schmidt']	['']
8	d2e2082Meyers-1905	Aaskäfer	['Silpha atrata']	['  Leach', '']
9	d2e2082Meyers-1905	Aaskäfer	['S. opaca']	['  L']
10	d2e2082Meyers-1905	Aaskäfer	['Necrophorus vespillo']	['  L']
11	d2e5536Meyers-1905	Abēlia	['Linnaea']	['  Gronov']
12	d2e9136Meyers-1905	Abĭes	['Pinus']	['  L']
13	d2e12335Meyers-1905	Abrōma	['A. angustum']	['  L. fil', '']
14	d2e12436Meyers-1905	Abrus	['A. precatorius']	['  L']
15	d2e16833Meyers-1905	Abutĭlon	['A. Avicennae']	['  Gärtn']
16	d2e16833Meyers-1905	Abutĭlon	['A. esculentum']	['  St. Hil']
17	d2e16833Meyers-1905	Abutĭlon	['A. indicum', '  G. Don']	['']
18	d2e16833Meyers-1905	Abutĭlon	['A. insigne']	['  Planch']
19	d2e17882Meyers-1905	Acācia	['pycnantha']	['  Benth']
20	d2e17882Meyers-1905	Acācia	['A. melanoxylon', '  B. Br']	[]
21	d2e17882Meyers-1905	Acācia	['A. excelsa']	['  Benth']
22	d2e17882Meyers-1905	Acācia	['A. decurrens']	['  Willd']
23	d2e17882Meyers-1905	Acācia	['A. penninervis', '  Sieber']	['']
24	d2e17882Meyers-1905	Acācia	['A. dealbata']	['  Link', '']
25	d2e17882Meyers-1905	Acācia	['A. floribunda']	['  Willd']
26	d2e17882Meyers-1905	Acācia	['A. arabica']	['  Willd']
27	d2e17882Meyers-1905	Acācia	['A. nilotica']	['  Del']
28	d2e17882Meyers-1905	Acācia	[', A. vera']	[]
29	d2e17882Meyers-1905	Acācia	['A. horrida']	['  Willd']
30	d2e17882Meyers-1905	Acācia	['A. Seyal', '  Det']	['']
31	d2e17882Meyers-1905	Acācia	['A. fistula', '  Schweinf']	[]
32	d2e17882Meyers-1905	Acācia	[]	['Cham', '. ']
33	d2e17882Meyers-1905	Acācia	['et', '  Schlecht']	[]
34	d2e17882Meyers-1905	Acācia	['A. stenocarpa']	['  Hochst']
35	d2e17882Meyers-1905	Acācia	['A. Senegal']	['  Willd']
36	d2e17882Meyers-1905	Acācia	[]	['Guill', '  ']
37	d2e17882Meyers-1905	Acācia	['et', '  Perrott']	[]
38	d2e17882Meyers-1905	Acācia	['A. anthelmintica']	['  Baill']
39	d2e17882Meyers-1905	Acācia	['A. Catechu']	['  Willd']
40	d2e18378Meyers-1905	Acanthus	['A. mollis']	['  L']
41	d2e18378Meyers-1905	Acanthus	['A. spinosus']	['  L']
42	d2e18378Meyers-1905	Acanthus	['A. ilicifolius']	['  L']
43	d2e20642Meyers-1905	Achatschnecke	['A. mauritiana']	['  Lam']
44	d2e20642Meyers-1905	Achatschnecke	['A. perdix']	['  Lam']
45	d2e20642Meyers-1905	Achatschnecke	['A. zebra']	['  Lam']
46	d2e20642Meyers-1905	Achatschnecke	['A. lubrica']	['  Brug']
47	d2e21107Meyers-1905	Achillēa [1]	['A. Ptarmica']	['  L']
48	d2e21107Meyers-1905	Achillēa [1]	['A. nana']	['  L']
49	d2e21107Meyers-1905	Achillēa [1]	['A. moschata']	['  Wulf', '']
50	d2e21426Meyers-1905	Achimĕnes	['A. grandiflora']	['  DC', '']
51	d2e21426Meyers-1905	Achimĕnes	[]	['Benth', '. ']
52	d2e21426Meyers-1905	Achimĕnes	['et']	['  Hook']
53	d2e21426Meyers-1905	Achimĕnes	['Scheeria mexicana']	['  Seem']
54	d2e21426Meyers-1905	Achimĕnes	['A. amabilis']	['  DC']
55	d2e21541Meyers-1905	Achlya	['A. prolifera', '  Nees v. Es']	[]
56	d2e21577Meyers-1905	Aechmēa	[]	['Ruiz', '  ']
57	d2e21577Meyers-1905	Aechmēa	['et']	['  Pav']
58	d2e21577Meyers-1905	Aechmēa	['A. spectabilis']	['  Brongn']
59	d2e21577Meyers-1905	Aechmēa	['A. distichantha']	['  Lem']
60	d2e21577Meyers-1905	Aechmēa	['A. rhodocyanea']	['  Hook']
61	d2e24272Meyers-1905	Ackerschnecke	['Limax']	['  L']
62	d2e24272Meyers-1905	Ackerschnecke	['L. maximus']	['  L']
63	d2e24677Meyers-1905	Aconītum	['A. Napellus']	['  L']
64	d2e24677Meyers-1905	Aconītum	['A. ferox', '  Wallich']	[]
65	d2e24677Meyers-1905	Aconītum	['A. heterophyllum', '  Wallich']	[]
66	d2e24677Meyers-1905	Aconītum	['A. variegatum']	['  L']
67	d2e24677Meyers-1905	Aconītum	['A. Stoerkeanum', '  Rchb']	[]
68	d2e24677Meyers-1905	Aconītum	['A. Lycoctonum']	['  L']
69	d2e24677Meyers-1905	Aconītum	['A. Anthora']	['  L']
70	d2e24822Meyers-1905	Acŏrus	['A. Calamus']	['  L']
71	d2e24822Meyers-1905	Acŏrus	['A. gramineus']	['  Ait', '']
