	EntryID	Headword	terms	origin
86	d2e6322Meyers-1905	Abenteuer	['aventure', 'adventura']	['aus dem franz', 'aus dem mittellat']
232	d2e15598Meyers-1905	Abt [1]	[]	['v. syr']
391	d2e27491Meyers-1905	Adar	['Adda-ru']	['v. assyr']
422	d2e29123Meyers-1905	Adelphismus	['adelphos']	['v. griech']
454	d2e30581Meyers-1905	Adiabatisch	['diabasis']	['v. griech']
464	d2e30878Meyers-1905	Ädīlen	['aedes']	['v. lat']
506	d2e32650Meyers-1905	Admirāl [2]	['amîr', 'alis', 'amiral', 'admirandus']	['v. arab']
619	d2e37025Meyers-1905	Affidāvit	['affido']	['v. lat']
662	d2e41926Meyers-1905	Agāpen	['agápē']	['v. griech']
675	d2e43268Meyers-1905	Agénde	['agenda']	['v. lat']
707	d2e44837Meyers-1905	Ägir	['ahwa']	['v. altnord']
733	d2e45696Meyers-1905	Agōgik	['agōgē']	['v. griech']
749	d2e46280Meyers-1905	Agrarbanken	['ager']	['v. lat']
764	d2e47587Meyers-1905	Agrūmen	['agro']	['v. ital']
1073	d2e66473Meyers-1905	Albīnos	['albino']	['v. span']
1126	d2e70357Meyers-1905	Aleatōrisch	['alea']	['v. lat']
1142	d2e71078Meyers-1905	Alért	"[""all' erta""]"	['v. ital']
1193	d2e76457Meyers-1905	Alhāma	[]	['v. arab']
1220	d2e78115Meyers-1905	Alkalde	['alqadi']	['v. arab']
1233	d2e79625Meyers-1905	Alkoven	['al-qobbah']	['v. arab']
1283	d2e82100Meyers-1905	Alligatoren	['el lagarto']	['v. span']
1302	d2e82954Meyers-1905	Allopathie	['allos, »', 'pathein']	['v. griech']
1304	d2e83113Meyers-1905	Allotmentsystem	['allot']	['v. engl']
1337	d2e84471Meyers-1905	Almería [1]	['almárja']	['v. arab']
1342	d2e84747Meyers-1905	Almosen	['eleëmosyne']	['v. griech']
1364	d2e86012Meyers-1905	Alpen [1]	['alp', 'alb']	['v. kelt']
1384	d2e88906Meyers-1905	Alraun [1]	['rûna']	['v. got']
1438	d2e93900Meyers-1905	Altruismus	['altrui']	['vom ital']
1444	d2e94497Meyers-1905	Altvordern	['vordoro']	['v. althochdtsch']
1453	d2e94766Meyers-1905	Aluminĭum	['alumen']	['v. lat']
1496	d2e97676Meyers-1905	Amarillfieber	['amarillo']	['v. span']
1632	d2e107314Meyers-1905	Amortisation	['amortir']	['v. franz']
1638	d2e107542Meyers-1905	Ampel	[]	['v. lat']
