	EntryID	Headword	title source
0	d2e13Meyers-1905	A [1]	Austriae est imperare orbi universo (od. imperium orbis universi),
1	d2e451Meyers-1905	A [2]	A B C D E F G A
2	d2e1110Meyers-1905	Aale	Voyage d'exploration sur le littoral de la France et de l'Italie
3	d2e2579Meyers-1905	Abälard	Scito te ipsum«, »Dialogus inter Philosophum, Judaeum et Christianum
4	d2e2579Meyers-1905	Abälard	A. et Alexandre de Hales créateurs de la méthode scolastique
5	d2e3244Meyers-1905	Abbadie	Observations relatives á la physique du globe faites an Brésil et en Éthiopie
6	d2e3244Meyers-1905	Abbadie	Géographie de l'Éthiopie: ce que j'ai entendu, etc
7	d2e3586Meyers-1905	Abbe	Treatise on meteorological apparatus and methods
8	d2e3586Meyers-1905	Abbe	Preparatory studies for deductive methods in storm and weather predictions
9	d2e3586Meyers-1905	Abbe	Annual Summary and Review of progress in meteorology
10	d2e4105Meyers-1905	Abbreviaturen	Dictionnaire des abbreviations latines et françaises du moyen-âge
11	d2e4658Meyers-1905	Abd el Kader	Rappel à l'intelligent, avis à l'indifferent
12	d2e4658Meyers-1905	Abd el Kader	A., sa vie politique et militaire
13	d2e5042Meyers-1905	Abd ul Asis	La Turquie sous le règne d'A
14	d2e5069Meyers-1905	Abd ul Hamid	A history of Abdul Hamed and Selim III
15	d2e5069Meyers-1905	Abd ul Hamid	Comment on sauve un empire. Le sultan A. et son œuvre
16	d2e5425Meyers-1905	Abel [2]	N. H. A., sa vie et son action scientifique
17	d2e5425Meyers-1905	Abel [2]	On recent investigations and applications of explosive agents
18	d2e5425Meyers-1905	Abel [2]	Electricity as applied to explosive purposes
19	d2e5791Meyers-1905	Abencerragen	Les aventures du dernier des Abencérages
20	d2e6438Meyers-1905	Abercromby	Lieutenant-general Sir Ralph A., a memoir
21	d2e7102Meyers-1905	Abessinien	Journals detailing their proceedings in the kingdom of Shoa
22	d2e7102Meyers-1905	Abessinien	Ob servations on the geology and zoology of Abyssinio
23	d2e7102Meyers-1905	Abessinien	Viaggio e missione cattolica fra i Mensa, Bogos, e gli Habab
24	d2e7102Meyers-1905	Abessinien	A history of the Abyssinian expedition
25	d2e7102Meyers-1905	Abessinien	Record of the expedition to Abyssinia
26	d2e7102Meyers-1905	Abessinien	Report on the survey operations, Abyssinia
27	d2e7102Meyers-1905	Abessinien	A narrative of captivity in Abyssinia
28	d2e7102Meyers-1905	Abessinien	Ricordi di un prigioniero di guerra nella Scioia
