	EntryID	Headword	term	title translation
0	d2e1110Meyers-1905	Aale	Edelfische 	Physostomi
1	d2e1270Meyers-1905	Aalmolch	Aalmolche 	Amphiumidae
2	d2e1296Meyers-1905	Aalmutter	Schleimfische 	Blennidae
3	d2e2082Meyers-1905	Aaskäfer	Höhlen 	Leptoderus
4	d2e2226Meyers-1905	Ab [1]	Freudentag 	chamischa assar b'Ab
5	d2e2551Meyers-1905	Abăkus	Deckplatte 	a b
6	d2e2579Meyers-1905	Abälard	Begriffe 	universalia
7	d2e3830Meyers-1905	Abbisse	Kiefernmarkkäfer 	Hylesinus piniperda
8	d2e5612Meyers-1905	Abelmoschus	Bastfaser 	Bandakai fibre
9	d2e5963Meyers-1905	Abendmahl	Opfer 	oblatio
10	d2e5963Meyers-1905	Abendmahl	Dankgebet 	eucharistia
11	d2e5963Meyers-1905	Abendmahl	Opfer 	thysia, sacrificium
12	d2e6386Meyers-1905	Aberavon	Hafenstadt 	municipal borough
13	d2e6512Meyers-1905	Aberdeen [1]	Hauptstadt 	royal burgh
14	d2e6589Meyers-1905	Abergavenny	Stadt 	municipal borough
15	d2e7049Meyers-1905	Aberystwith	Hafenstadt 	municipal borough
16	d2e7102Meyers-1905	Abessinien	Christdorn 	Zizyphus
17	d2e7102Meyers-1905	Abessinien	Kusso 	Hagenia abyssinica
18	d2e7102Meyers-1905	Abessinien	Gibarra 	Rhynchopetalum montanum
19	d2e7102Meyers-1905	Abessinien	Kugeldisteln 	Echinops
20	d2e7102Meyers-1905	Abessinien	wurmtreibenden 	Hagenia, Moussena
21	d2e7102Meyers-1905	Abessinien	Fliege 	Tsaltsalya
22	d2e9299Meyers-1905	Abingdon	Stadt 	municipal borough
23	d2e9323Meyers-1905	Ab instantia	Freisprechung 	absolutio ab actione
24	d2e12436Meyers-1905	Abrus	Gewicht 	Rati
25	d2e13900Meyers-1905	Absolution	Erkenntnis 	absolutorium decretum
26	d2e14447Meyers-1905	Absorptionsprinzip	werden 	poena maior absorbet minorem
27	d2e16606Meyers-1905	Abundántia	Gefolge 	dominae nocturnae
28	d2e17882Meyers-1905	Acācia	Nutzholz 	Blackwood
29	d2e18884Meyers-1905	Accólti	Sekretär 	abbreviatore
30	d2e18924Meyers-1905	Accoménda	Kapitalist 	commendator
31	d2e18924Meyers-1905	Accoménda	Unternehmer 	tractator, commendatarius
32	d2e19063Meyers-1905	Accrington	Stadt 	municipal borough
33	d2e20992Meyers-1905	Achĕron	See 	Acherusia palus
34	d2e26444Meyers-1905	Adam [1]	Erde 	terra rossa
35	d2e27491Meyers-1905	Adar	Esther 	Taanith esther
36	d2e28346Meyers-1905	Adel [3]	Stimme 	sessionem et votum
37	d2e28346Meyers-1905	Adel [3]	Majorat 	mayorazgo
38	d2e28346Meyers-1905	Adel [3]	Grafen 	Earl
39	d2e28346Meyers-1905	Adel [3]	Urkunden 	letters patent
40	d2e28346Meyers-1905	Adel [3]	Aussprüche 	verdict
41	d2e28346Meyers-1905	Adel [3]	Tod 	attainder
42	d2e29143Meyers-1905	Adelsberg	Grottenolms 	Proteus anguineus
43	d2e29549Meyers-1905	Adenet	Kapellmeister 	roi des ménestrels
44	d2e29718Meyers-1905	Adenoīde Vegetationen	haben 	Aprosexia nasalis
45	d2e30878Meyers-1905	Ädīlen	kurulische 	curules
46	d2e30878Meyers-1905	Ädīlen	Edikt 	Edictum aedilicium
47	d2e31356Meyers-1905	Adjunkt	Nachfolge 	cum spe succedendi
48	d2e31550Meyers-1905	Adler [1]	Bussarde 	Buteoninae
49	d2e31550Meyers-1905	Adler [1]	Falken 	Falconidae
50	d2e31550Meyers-1905	Adler [1]	Weihen 	Milvinae
51	d2e32056Meyers-1905	Adlerfisch	Umberfische 	Sciaenidae
52	d2e32585Meyers-1905	Administrātor	Konkurs 	a. massae, bonorum
53	d2e34084Meyers-1905	Adresse	Kreis 	county, parish
54	d2e36228Meyers-1905	Aëtius	Bauern 	Bagaudae
55	d2e36492Meyers-1905	Affen	Makakos 	Inuus ecaudatus
56	d2e36492Meyers-1905	Affen	Schwanz 	Pitheciina
57	d2e36492Meyers-1905	Affen	Wickelschwanz 	Cebina
58	d2e37233Meyers-1905	Affrettando	beschleunigt 	più mosso
59	d2e37337Meyers-1905	Afghanistan	Stinkasant 	Asa foetida
60	d2e37907Meyers-1905	Afrika	Dattelpalmenart 	Phoenix Jubae
61	d2e37907Meyers-1905	Afrika	Zedernart 	Cedrus atlantica
62	d2e37907Meyers-1905	Afrika	Ginstersträucher 	Retama
63	d2e37907Meyers-1905	Afrika	Koloquinten 	Citrullus Colocynthis
64	d2e37907Meyers-1905	Afrika	Dattelpalme 	Phoenix dactylifera
65	d2e37907Meyers-1905	Afrika	Palmenart 	Hyphaene Argun
66	d2e37907Meyers-1905	Afrika	Euphratpappel 	Populus euphratica
67	d2e37907Meyers-1905	Afrika	Dumpalme 	Hyphaene thebaica
68	d2e37907Meyers-1905	Afrika	Apocynee 	Adenium
69	d2e37907Meyers-1905	Afrika	Baobab 	Adansonia digitata
