	EntryID	headword	compound
0	d2e13Meyers-1905	A [1]	magister
1	d2e13Meyers-1905	A [1]	Magister
2	d2e13Meyers-1905	A [1]	vormittags
3	d2e13Meyers-1905	A [1]	Redensarten
4	d2e13Meyers-1905	A [1]	Stadt
5	d2e13Meyers-1905	A [1]	liberalium
6	d2e13Meyers-1905	A [1]	Erschaffung
7	d2e13Meyers-1905	A [1]	marco
8	d2e13Meyers-1905	A [1]	imperare
9	d2e13Meyers-1905	A [1]	Sanskrit
10	d2e13Meyers-1905	A [1]	Augustus
11	d2e13Meyers-1905	A [1]	Romam
12	d2e13Meyers-1905	A [1]	unbekannte
13	d2e13Meyers-1905	A [1]	praeteriti
14	d2e13Meyers-1905	A [1]	Erbauung
15	d2e13Meyers-1905	A [1]	langen
16	d2e13Meyers-1905	A [1]	Fahrplänen
17	d2e13Meyers-1905	A [1]	mittags
18	d2e13Meyers-1905	A [1]	dato
19	d2e13Meyers-1905	A [1]	American
20	d2e13Meyers-1905	A [1]	Altes
21	d2e13Meyers-1905	A [1]	entstandenes
23	d2e13Meyers-1905	A [1]	Paris
24	d2e13Meyers-1905	A [1]	Akten
25	d2e13Meyers-1905	A [1]	Maßeinheit
26	d2e13Meyers-1905	A [1]	Nordamerika
27	d2e13Meyers-1905	A [1]	ultima
28	d2e13Meyers-1905	A [1]	beraubendes
29	d2e13Meyers-1905	A [1]	Aulus
30	d2e13Meyers-1905	A [1]	überhaupt
31	d2e13Meyers-1905	A [1]	man
32	d2e13Meyers-1905	A [1]	klangreichste
33	d2e13Meyers-1905	A [1]	conditae
34	d2e13Meyers-1905	A [1]	Jahre
35	d2e13Meyers-1905	A [1]	avance
36	d2e13Meyers-1905	A [1]	Actum
37	d2e13Meyers-1905	A [1]	hat
38	d2e13Meyers-1905	A [1]	Kaisers
39	d2e13Meyers-1905	A [1]	anerkannter
40	d2e13Meyers-1905	A [1]	Zahlzeichen
41	d2e13Meyers-1905	A [1]	Álpha
42	d2e13Meyers-1905	A [1]	Theaterzetteln
43	d2e13Meyers-1905	A [1]	Alphabets
44	d2e13Meyers-1905	A [1]	Apathie
45	d2e13Meyers-1905	A [1]	Vokale
46	d2e13Meyers-1905	A [1]	Landes
47	d2e13Meyers-1905	A [1]	Arizona
48	d2e13Meyers-1905	A [1]	Acta
49	d2e13Meyers-1905	A [1]	Kaiser
50	d2e13Meyers-1905	A [1]	Konsulatsverweser
51	d2e13Meyers-1905	A [1]	Akademischer
52	d2e13Meyers-1905	A [1]	Sanctorum
53	d2e13Meyers-1905	A [1]	privativum
54	d2e13Meyers-1905	A [1]	Anfang
55	d2e13Meyers-1905	A [1]	Omega
56	d2e13Meyers-1905	A [1]	Ampere
57	d2e13Meyers-1905	A [1]	Wahlspruch
58	d2e13Meyers-1905	A [1]	Mittelalter
60	d2e13Meyers-1905	A [1]	zusammen
61	d2e13Meyers-1905	A [1]	Alle
62	d2e13Meyers-1905	A [1]	praesentis
63	d2e13Meyers-1905	A [1]	franz
65	d2e13Meyers-1905	A [1]	Lautwert
66	d2e13Meyers-1905	A [1]	langem
67	d2e13Meyers-1905	A [1]	Dato
68	d2e13Meyers-1905	A [1]	Auf
69	d2e13Meyers-1905	A [1]	Laut
70	d2e13Meyers-1905	A [1]	Verkehrssprache
71	d2e13Meyers-1905	A [1]	kaufmänn
72	d2e13Meyers-1905	A [1]	Das
73	d2e13Meyers-1905	A [1]	untertan
74	d2e13Meyers-1905	A [1]	Buchhaltung
75	d2e13Meyers-1905	A [1]	papier
76	d2e13Meyers-1905	A [1]	Jahres
77	d2e13Meyers-1905	A [1]	Bollandisten
78	d2e13Meyers-1905	A [1]	ausmacht
79	d2e13Meyers-1905	A [1]	Alpha
80	d2e13Meyers-1905	A [1]	Abkürzung
81	d2e13Meyers-1905	A [1]	darübergeschriebenem
82	d2e13Meyers-1905	A [1]	Buchstaben
83	d2e13Meyers-1905	A [1]	das
84	d2e13Meyers-1905	A [1]	Umlauts
85	d2e13Meyers-1905	A [1]	Kaiserin
86	d2e13Meyers-1905	A [1]	Abkürzungen
87	d2e13Meyers-1905	A [1]	supra
88	d2e13Meyers-1905	A [1]	Vorname
89	d2e13Meyers-1905	A [1]	Autornamen
90	d2e13Meyers-1905	A [1]	Laute
91	d2e13Meyers-1905	A [1]	Hauptmann
92	d2e13Meyers-1905	A [1]	Jahresbestimmungen
93	d2e13Meyers-1905	A [1]	Association
94	d2e13Meyers-1905	A [1]	naturwissenschaftlichen
95	d2e13Meyers-1905	A [1]	Alphabet
96	d2e13Meyers-1905	A [1]	Austria
97	d2e13Meyers-1905	A [1]	machten
98	d2e13Meyers-1905	A [1]	etwa
99	d2e13Meyers-1905	A [1]	Alter
100	d2e13Meyers-1905	A [1]	conditam
101	d2e13Meyers-1905	A [1]	Austriae
102	d2e13Meyers-1905	A [1]	Testament
103	d2e13Meyers-1905	A [1]	Aussprachen
104	d2e13Meyers-1905	A [1]	Artium
105	d2e13Meyers-1905	A [1]	Anno
106	d2e13Meyers-1905	A [1]	Offenbarung
107	d2e13Meyers-1905	A [1]	Augusta
108	d2e13Meyers-1905	A [1]	lat
109	d2e13Meyers-1905	A [1]	Mathematik
110	d2e13Meyers-1905	A [1]	julianischen
111	d2e13Meyers-1905	A [1]	acta
112	d2e13Meyers-1905	A [1]	Alte
113	d2e13Meyers-1905	A [1]	natum
114	d2e13Meyers-1905	A [1]	laufenden
115	d2e13Meyers-1905	A [1]	Johannis
116	d2e13Meyers-1905	A [1]	antimeridiano
117	d2e13Meyers-1905	A [1]	Aleph
