	EntryID	Headword	division
0	d2e1110Meyers-1905	Aale	Edelfische
1	d2e2932Meyers-1905	Abasa	Reichsrats
2	d2e4273Meyers-1905	Abchasien	Abchasen
3	d2e12275Meyers-1905	Abriß	Landesaufnahme
4	d2e23592Meyers-1905	Ackerbeete	Ackers
5	d2e34084Meyers-1905	Adresse	Reichstags
6	d2e44030Meyers-1905	Aggregāten	Sympetalen
7	d2e55325Meyers-1905	Akalēphen	Cölenteraten
8	d2e61407Meyers-1905	Ala [2]	Bundesreiterei
9	d2e74792Meyers-1905	Algen	Thallophyten
10	d2e75285Meyers-1905	Algenpilze	Pilze
11	d2e76271Meyers-1905	Algonkische Formation	paläozoischen Formationsgruppe
12	d2e81221Meyers-1905	Allerheiligstes	Tempel
13	d2e81221Meyers-1905	Allerheiligstes	Stiftshütte
14	d2e96987Meyers-1905	Amaltheentone	mittlern Lias
15	d2e98391Meyers-1905	Amazonenstrom	Kordilleren
16	d2e101837Meyers-1905	Amerika	Geological
17	d2e108823Meyers-1905	Amphineuren	Weichtiere
18	d2e110427Meyers-1905	Amtsbezirk	Kreises
19	d2e124854Meyers-1905	Angiospérmen	Pflanzenreichs
20	d2e126469Meyers-1905	Angulātusschichten	untern Lias
21	d2e126684Meyers-1905	Anhalt	Meistbesteuerten
22	d2e126684Meyers-1905	Anhalt	Innern
23	d2e152888Meyers-1905	Apothekerrat	Ministeriums
24	d2e155518Meyers-1905	Apsis	Kirche
25	d2e169701Meyers-1905	Arcuātenkalk	Juraformation
26	d2e175201Meyers-1905	Ariëtenkalk	Juraformation
27	d2e191861Meyers-1905	Ärztekammern	Ministeriums
28	d2e193068Meyers-1905	Asch [3]	Großen
29	d2e195994Meyers-1905	Asiatisches Departement	russischen Ministeriums
30	d2e223359Meyers-1905	Aufnahme, topographische	Landesaufnahme
31	d2e225407Meyers-1905	Auge [1]	Wirbeltiere
32	d2e237202Meyers-1905	Ausspruch	Vermögens
33	d2e238332Meyers-1905	Austern	Schließmuskels
34	d2e243976Meyers-1905	Avantgarde	Infanterie
35	d2e245699Meyers-1905	Avicŭla contorta-Zone	Triasformation
36	d2e257791Meyers-1905	Baeyer	Generalstabs
37	d2e275775Meyers-1905	Banken	Bank
38	d2e278877Meyers-1905	Bapaume	Prinzen
39	d2e291978Meyers-1905	Bartonische Stufe	Tertiärformation
40	d2e298889Meyers-1905	Bastĭan	königlichen Museen
41	d2e299473Meyers-1905	Basuto	Ostbetschuanen
42	d2e302629Meyers-1905	Bauakademie	Technischen
43	d2e312230Meyers-1905	Bayern	Industrie
44	d2e316269Meyers-1905	Beaugency	Großherzogs
45	d2e329959Meyers-1905	Belfort	Generals
46	d2e338301Meyers-1905	Benkendorf	eignen Kanzlei
47	d2e338727Meyers-1905	Bennigsen	Auswärtigen
48	d2e347393Meyers-1905	Bergkalk	Steinkohlenformation
49	d2e350110Meyers-1905	Beritt	Eskadron
50	d2e353372Meyers-1905	Berner Alpen	Westalpen
51	d2e353881Meyers-1905	Bernhardi	Großen
52	d2e354641Meyers-1905	Bernstein [1]	Hautflügler
53	d2e368776Meyers-1905	Beuth	Finanzministeriums
54	d2e372290Meyers-1905	Bezirk	Staatsgebietes
55	d2e389713Meyers-1905	Birch	Britischen
56	d2e397805Meyers-1905	Björlin	schwedischen Generalstabes
57	d2e403268Meyers-1905	Blättermagen	Magens
58	d2e416834Meyers-1905	Blumner	Akademie
59	d2e422434Meyers-1905	Boas [2]	Field
60	d2e435184Meyers-1905	Bojische Gneisstufe	Laurentischen
61	d2e455309Meyers-1905	Botanische Zentralstelle für die Kolonien	Auswärtigen
62	d2e455309Meyers-1905	Botanische Zentralstelle für die Kolonien	botanischen Museums
63	d2e461530Meyers-1905	Box	Pferdestalles
64	d2e467827Meyers-1905	Brandeis, Eugen	Auswärtigen
65	d2e469177Meyers-1905	Brandpilze	Gesundheitsamtes
66	d2e482829Meyers-1905	Brese-Winiary	Kriegsministeriums
67	d2e485875Meyers-1905	Brief [1]	mohammedanischen Literatur
68	d2e486847Meyers-1905	Brieger	Instituts
69	d2e490554Meyers-1905	Britisches Museum	Sammlung
70	d2e492122Meyers-1905	Bröckelschiefer	untern Buntsandsteins
71	d2e505637Meyers-1905	Brüssel	Handschriften
72	d2e505637Meyers-1905	Brüssel	gedruckten Bücher
73	d2e506455Meyers-1905	Brustflosser	Fische
74	d2e513532Meyers-1905	Buchka	Auswärtigen
75	d2e520995Meyers-1905	Bulgarien	Komitees
76	d2e522497Meyers-1905	Bülow [2]	Großen
77	d2e538613Meyers-1905	Bytschkow	Akademie
78	d2e538613Meyers-1905	Bytschkow	russischen Generalstabs
79	d2e545181Meyers-1905	Calceŏlaschiefer	Devonischen
80	d2e547816Meyers-1905	Callovien	mittlern Juraformation
81	d2e561135Meyers-1905	Caradocsandstein	Silurischen
82	d2e563745Meyers-1905	Carinātae	Vögel
83	d2e584745Meyers-1905	Centrospermae	dikotylen Pflanzen
84	d2e590290Meyers-1905	Chabarowsk	Reichsbank
85	d2e607278Meyers-1905	Chenopodĭazeen	Zentrospermen
86	d2e618362Meyers-1905	Chirotheriumsandstein	Buntsandsteins
87	d2e625519Meyers-1905	Choripetalen	natürlichen Pflanzensystems
88	d2e628055Meyers-1905	Christiansand	Norwegischen
89	d2e641053Meyers-1905	Cistiflōren	Dikotyledonen
90	d2e650821Meyers-1905	Clymenĭenkalk	Devonischen
91	d2e654919Meyers-1905	Cohausen	preußischen Armee
92	d2e656465Meyers-1905	Coler	Kriegsministeriums
93	d2e674724Meyers-1905	Corallien	obern Juraformation
94	d2e675289Meyers-1905	Corda, August Karl Joseph	vaterländischen Museums
95	d2e677087Meyers-1905	Cornbrash	Juraformation
96	d2e678677Meyers-1905	Coronātenschichten	Juraformation
97	d2e680589Meyers-1905	Cortēz, Fernando	Spanier
98	d2e685577Meyers-1905	Courcel	politischen Angelegenheiten
99	d2e705473Meyers-1905	Cyklanthazeen	Spadicifloren
100	d2e706482Meyers-1905	Cyperazeen	Glumifloren
101	d2e717475Meyers-1905	Damerow	Kultusministeriums
102	d2e717511Meyers-1905	Dames	Museums
103	d2e728037Meyers-1905	Dante Alighieri	Gedichts
104	d2e734278Meyers-1905	Daschkow	kaiserlichen Akademie
105	d2e747498Meyers-1905	Dehn	königlichen Bibliothek
106	d2e748801Meyers-1905	Deistersandstein	Wealdenformation
107	d2e750730Meyers-1905	Dekurĭo	Einwohner
108	d2e753359Meyers-1905	Delitzsch [2]	Königlichen
109	d2e764460Meyers-1905	Derwisch	Rifa
110	d2e778575Meyers-1905	Deutsch-französischer Krieg von 1870/71	Großen
111	d2e779165Meyers-1905	Deutschland	Verkehrstruppen
112	d2e793438Meyers-1905	Dicerātenkalke	Juraformation
113	d2e794756Meyers-1905	Diclīnus	Linnéschen
114	d2e796567Meyers-1905	Dieffenbach	Charitékrankenhauses
115	d2e802836Meyers-1905	Dikotyledonen	bedecktsamigen Blütenpflanzen
116	d2e802836Meyers-1905	Dikotyledonen	Pflanzenreiches
117	d2e809163Meyers-1905	Diospyrīnen	Sympetalen
118	d2e809512Meyers-1905	Diözēse	Präfektur
119	d2e823562Meyers-1905	Dogger	Juraformation
120	d2e825605Meyers-1905	Dolgorukij	kaiserlichen Eignen
121	d2e835039Meyers-1905	Doppeltier	Saugwürmer
122	d2e846185Meyers-1905	Draper	Universität
123	d2e851171Meyers-1905	Drenteln	Geheimen
124	d2e852289Meyers-1905	Drewjanen	Polaben
125	d2e853966Meyers-1905	Drömling	in Sachsen
126	d2e868966Meyers-1905	Du Moulin-Eckart	Technischen
