	EntryID	Headword	genera
29	d2e1296Meyers-1905	Aalmutter	Stachelflosser
217	d2e5612Meyers-1905	Abelmoschus	Malvazeen
518	d2e12335Meyers-1905	Abrōma	Sterkuliazeen
523	d2e12436Meyers-1905	Abrus	Leguminosen
729	d2e16833Meyers-1905	Abutĭlon	Malvazeen
770	d2e17882Meyers-1905	Acācia	Leguminosen
782	d2e18378Meyers-1905	Acanthus	Akanthazeen
879	d2e20642Meyers-1905	Achatschnecke	Lungenschnecken
901	d2e21107Meyers-1905	Achillēa [1]	Kompositen
913	d2e21426Meyers-1905	Achimĕnes	Gesneriazeen
919	d2e21577Meyers-1905	Aechmēa	Bromeliazeen
1050	d2e24489Meyers-1905	Acocanthĕra	Apocynazeen
1058	d2e24677Meyers-1905	Aconītum	Ranunkulazeen
1061	d2e24822Meyers-1905	Acŏrus	Arazeen
1079	d2e25246Meyers-1905	Acrocōmia	Palmen
1087	d2e25437Meyers-1905	Actaea	Ranunkulazeen
1097	d2e25677Meyers-1905	Actinocrīnus	Haarsterne
1161	d2e27320Meyers-1905	Adansonĭa	Malvazeen
1243	d2e29497Meyers-1905	Adenanthera	Leguminosen
1249	d2e29652Meyers-1905	Adenĭum	Apocynazeen
1253	d2e29761Meyers-1905	Adenóphora	Kampanulazeen
1415	d2e33445Meyers-1905	Adōnis [1]	Ranunkulazeen
1523	d2e35557Meyers-1905	Aërĭdes	Orchidazeen
1599	d2e37172Meyers-1905	Affodill	Asphodelus
1685	d2e41750Meyers-1905	Agamen	Erdagamen
1692	d2e41897Meyers-1905	Agapanthus	Liliazeen
1697	d2e42082Meyers-1905	Agaricus	Hypholoma
1697	d2e42082Meyers-1905	Agaricus	Psalliota
1697	d2e42082Meyers-1905	Agaricus	Pholiota
1697	d2e42082Meyers-1905	Agaricus	Clitopilus
1697	d2e42082Meyers-1905	Agaricus	Collybia
1697	d2e42082Meyers-1905	Agaricus	Tricholoma
1697	d2e42082Meyers-1905	Agaricus	Armillaria
1697	d2e42082Meyers-1905	Agaricus	Lepiota
1697	d2e42082Meyers-1905	Agaricus	Amanita
1710	d2e42687Meyers-1905	Agathis	Koniferen
1716	d2e42845Meyers-1905	Agathósma	Rutazeen
1721	d2e42951Meyers-1905	Agave	Amaryllidazeen
1742	d2e43610Meyers-1905	Agerātum	Kompositen
1811	d2e45130Meyers-1905	Aegle	Rutazeen
1814	d2e45196Meyers-1905	Aglei	Aquilegia
1816	d2e45239Meyers-1905	Aglossa	Kleinschmetterlinge
1847	d2e45870Meyers-1905	Aegopōdium	Umbelliferen
1898	d2e47088Meyers-1905	Agrimonĭa	Rosazeen
1909	d2e47366Meyers-1905	Agropȳrum	Gramineen
1910	d2e47414Meyers-1905	Agrostemma	Karyophyllazeen
1912	d2e47458Meyers-1905	Agrostis	Gramineen
1935	d2e48044Meyers-1905	Aguti	Nagetiere
2002	d2e50863Meyers-1905	Ahorn	Acerazeen
2063	d2e52315Meyers-1905	Ailanthus	Simarubazeen
2090	d2e52961Meyers-1905	Aira	Gramineen
2176	d2e55694Meyers-1905	Akaroīdharz	Xanthorrhoea
2188	d2e55922Meyers-1905	Akelei	Aquilegia
2452	d2e62359Meyers-1905	Aland [1]	Karpfen
2460	d2e62552Meyers-1905	Alánt	Inula
2543	d2e64775Meyers-1905	Albătros	Schwimmvögel
2623	d2e66711Meyers-1905	Albizzia	Leguminosen
2659	d2e67827Meyers-1905	Albūgo	Cystopus
2706	d2e68710Meyers-1905	Alchemilla	Rosazeen
2813	d2e71345Meyers-1905	Aleurītes	Euphorbiazeen
