	EntryID	Headword	group
0	d2e1110Meyers-1905	Aale	Apodes
2	d2e5963Meyers-1905	Abendmahl	Jünger
4	d2e9394Meyers-1905	Abiponen	Guaycuru
5	d2e26799Meyers-1905	Adamello	südlichen Zuges
6	d2e34737Meyers-1905	Adūla	Rheinwaldhorns
7	d2e40551Meyers-1905	Afrikanische Sprachen	Nilsprachen
8	d2e41750Meyers-1905	Agamen	beiden Familien
9	d2e48146Meyers-1905	Ägypten	Nager
10	d2e68009Meyers-1905	Albuminoīde	Bindegewebes
11	d2e69379Meyers-1905	Aldebāran	Hyaden
12	d2e72978Meyers-1905	Alexandrinische Kunst	Nils
13	d2e74676Meyers-1905	Algäu	nördlichen Kalkalpen
14	d2e86034Meyers-1905	Alpen [2]	Mont
15	d2e86034Meyers-1905	Alpen [2]	Dent
16	d2e86034Meyers-1905	Alpen [2]	Rheinwaldhorns
17	d2e86034Meyers-1905	Alpen [2]	Afritzer
18	d2e86034Meyers-1905	Alpen [2]	Montblanc
19	d2e96377Meyers-1905	Amadīnen	Prachtfinken
20	d2e101837Meyers-1905	Amerika	Süderdteile
21	d2e101837Meyers-1905	Amerika	amerikanischen Staaten
22	d2e109005Meyers-1905	Amphisbaenidae	Eidechsen
23	d2e135435Meyers-1905	Ansonbai	Peronsinseln
24	d2e136853Meyers-1905	Antēnor	Tyrannenmörder
25	d2e137555Meyers-1905	Antholz	Hohen
26	d2e138381Meyers-1905	Anthropologie	Primaten
28	d2e148624Meyers-1905	Aphanīt	Melaphyre
29	d2e153155Meyers-1905	Appalachen [2]	Tschokta
30	d2e153667Meyers-1905	Appenzeller Alpen	Glarner
31	d2e165791Meyers-1905	Archegosaurĭer	Stegokephalen
32	d2e178028Meyers-1905	Arlberg	nördlichen Kalkalpen
33	d2e183871Meyers-1905	Arowaken	Nu
34	d2e196057Meyers-1905	Asien	Arktiker
35	d2e201461Meyers-1905	Asseln [1]	Ringelkrebse
36	d2e210503Meyers-1905	Athenodōros	Laokoon
37	d2e211256Meyers-1905	Äthiopische Sprache und Literatur	semitischen Sprachen
38	d2e213414Meyers-1905	Atlantosaurĭer	Dinosaurier
39	d2e219861Meyers-1905	Audĭentes	in Kirchenbuße
40	d2e248341Meyers-1905	Azalĕa	Erikazeengattung
41	d2e248818Meyers-1905	Azine	aromatischen Körper
42	d2e269586Meyers-1905	Balme [2]	Dent
43	d2e291065Meyers-1905	Bartholdi	Helvetia
44	d2e292784Meyers-1905	Barўum [1]	Erdalkalimetalle
45	d2e293868Meyers-1905	Basanīt	Basalte
46	d2e294137Meyers-1905	Baschkiren	Mongolen
47	d2e299473Meyers-1905	Basuto	Bantusprachen
48	d2e318233Meyers-1905	Becherquallen	Akalephen
49	d2e320569Meyers-1905	Bedscha	hamitischen Sprachen
50	d2e337467Meyers-1905	Benga	Bantusprachen
51	d2e338281Meyers-1905	Benk	Austria
52	d2e340752Meyers-1905	Benzolreihe	aromatischen Körper
53	d2e344023Meyers-1905	Bergamasker Alpen	südlichen Kalkalpen
54	d2e349981Meyers-1905	Beringinsel	Kommandeurinseln
55	d2e353372Meyers-1905	Berner Alpen	Finsteraarhorns
56	d2e368206Meyers-1905	Beutelquallen	Akalephen
57	d2e373631Meyers-1905	Biafrabai	vier Guineainseln
58	d2e383397Meyers-1905	Bildhauerkunst	Ostgiebels
59	d2e383397Meyers-1905	Bildhauerkunst	Eirene
60	d2e383397Meyers-1905	Bildhauerkunst	Niobe
61	d2e383397Meyers-1905	Bildhauerkunst	Ganymed
62	d2e383397Meyers-1905	Bildhauerkunst	Menelaos
63	d2e383397Meyers-1905	Bildhauerkunst	predigenden Johannes
64	d2e383397Meyers-1905	Bildhauerkunst	Grazien
65	d2e383397Meyers-1905	Bildhauerkunst	Grafen
66	d2e389258Meyers-1905	Biosen	Zuckerarten
67	d2e391303Meyers-1905	Birnbaum [1]	Pflanzengattung
68	d2e402552Meyers-1905	Blastoideen	Haarsterne
69	d2e418334Meyers-1905	Blutegel	Ringelwürmer
70	d2e424471Meyers-1905	Bockkäfer	Molorchini
71	d2e431119Meyers-1905	Böhmen	Kubany
72	d2e437562Meyers-1905	Bologna [3]	Okeanos
73	d2e451610Meyers-1905	Borstenwürmer	Ringelwürmer
74	d2e463308Meyers-1905	Brachiāta	Haarsterne
