	EntryID	Headword	pronunciation
0	d2e1027Meyers-1905	Aalborg	ōl-
1	d2e1209Meyers-1905	Aalesund	ōl-
2	d2e1241Meyers-1905	Aall	ōl
3	d2e1690Meyers-1905	Aardal	ōr-
4	d2e1738Meyers-1905	Aarestrup	ōr-
5	d2e1843Meyers-1905	Aarhus	ōr-
6	d2e1997Meyers-1905	Aasen	ōsen
7	d2e2776Meyers-1905	Abandon	ăbangdóng,
8	d2e2804Meyers-1905	Abandonnieren	ăbangd-
9	d2e2818Meyers-1905	Abano Bagni	ábano
10	d2e3050Meyers-1905	Abatjour	ăba-schūr
11	d2e3092Meyers-1905	Abattement	ăbatt'máng
12	d2e3111Meyers-1905	Abauj-Torna	ába-uj-
13	d2e3363Meyers-1905	Abbas [1]	abbâß
14	d2e3559Meyers-1905	Abbazia	-dsĭa
15	d2e3736Meyers-1905	Abbeville	abb'wil'
16	d2e3927Meyers-1905	Abbot	äbbet
17	d2e3959Meyers-1905	Abbotsford	äbbetsförd
18	d2e5322Meyers-1905	A'Beckett	ä-bécket
19	d2e6322Meyers-1905	Abenteuer	aventǖre
20	d2e6348Meyers-1905	Aber-...	äbber-
21	d2e6386Meyers-1905	Aberavon	äbberēwen
22	d2e6403Meyers-1905	Abercarn	äbberkārn
23	d2e6418Meyers-1905	Abercorn	äbber-
24	d2e6438Meyers-1905	Abercromby	äbberkrömbĭ
25	d2e6464Meyers-1905	Aberdare [1]	äbberdǟr
26	d2e6478Meyers-1905	Aberdare [2]	äbberdǟr
27	d2e6495Meyers-1905	Aberdaregebirge	äbberdǟr-,
28	d2e6495Meyers-1905	Aberdaregebirge	rēndsch
29	d2e6512Meyers-1905	Aberdeen [1]	äbberdīn
30	d2e6533Meyers-1905	Aberdeen [2]	äbberdīn
31	d2e6575Meyers-1905	Aberdeenshire	äbberdīnschĭr
32	d2e6589Meyers-1905	Abergavenny	äbbergĕwénnĭ
33	d2e6609Meyers-1905	Abergeldie Castle	äbbergéldĭ
34	d2e6626Meyers-1905	Abergele	äbbergélle
35	d2e6787Meyers-1905	Abernethy	äbbernīthì
36	d2e6970Meyers-1905	Abersychan	äbberßicken
37	d2e7018Meyers-1905	Abertillery	äbbertillerĭ
38	d2e7049Meyers-1905	Aberystwith	äbberistĭth
39	d2e9064Meyers-1905	Abhorrers	äbb-hórr-,
40	d2e9271Meyers-1905	Abilene	ebbilīni
41	d2e9299Meyers-1905	Abingdon	äbbingd'n
42	d2e10370Meyers-1905	Ablis	-li
43	d2e10801Meyers-1905	Abo	ōbo;
44	d2e10997Meyers-1905	Abonnement	-māng
45	d2e11055Meyers-1905	Abony	ábonj
46	d2e11069Meyers-1905	Abonyi	ābonji
47	d2e11308Meyers-1905	About	ābú
48	d2e11679Meyers-1905	Abrahamovicz	-mówitsch
49	d2e11728Meyers-1905	Abram	ēbrĕm
50	d2e11816Meyers-1905	Abrányi	ábrānji
51	d2e12242Meyers-1905	Abricot	-kó
52	d2e13598Meyers-1905	Absentismus	-tī-īsm,
53	d2e18197Meyers-1905	Acajouholz	-schu-
54	d2e18621Meyers-1905	Accelerándo	attsche-
55	d2e18750Meyers-1905	Acciaccatūra	atscha-,
56	d2e18765Meyers-1905	Acciajuóli	atscha-
57	d2e18953Meyers-1905	Accompagnāto	-panjā-,
58	d2e19011Meyers-1905	Accouchement	ackūschmáng
59	d2e19011Meyers-1905	Accouchement	-ör
60	d2e19046Meyers-1905	Accrescendo	ackreschéndo,
61	d2e19063Meyers-1905	Accrington	äckringt'n
62	d2e19246Meyers-1905	Acerbi	atschérbi
63	d2e19272Meyers-1905	Acerénza	atsch-
64	d2e19375Meyers-1905	Acerra [2]	atsch-
65	d2e20210Meyers-1905	Achalandieren	aschalangd
66	d2e21045Meyers-1905	à cheval-Stellung	a-schwall-
67	d2e21093Meyers-1905	Achill	äckil,
68	d2e21368Meyers-1905	Achillīni	ak-
69	d2e21683Meyers-1905	Achonry	äckenrei
70	d2e23380Meyers-1905	Acircāle	atschi-
71	d2e24539Meyers-1905	Açoka [2]	aßoka
72	d2e24580Meyers-1905	Acollas	-lá
73	d2e24645Meyers-1905	à condition	kongdißjóng
74	d2e24915Meyers-1905	à coup perdu	ku
75	d2e24963Meyers-1905	Acqui	ackwi,
76	d2e25003Meyers-1905	Acquit	ackí
77	d2e25023Meyers-1905	Acquit à caution	aki-t-a
78	d2e25087Meyers-1905	Acre	ēkr,
79	d2e25358Meyers-1905	Ács	ātsch
80	d2e25372Meyers-1905	Acsády	átschādi
81	d2e25389Meyers-1905	Act	äckt
