	EntryID	Headword	variety
0	d2e29143Meyers-1905	Adelsberg	Grottenolms
1	d2e37337Meyers-1905	Afghanistan	arabischen Alphabets
2	d2e87496Meyers-1905	Alpenpflanzen	Vegetation
3	d2e117053Meyers-1905	Anbetung	Fürsten
4	d2e123850Meyers-1905	Angelsächsische Sprache und Literatur	Dänen
5	d2e151267Meyers-1905	Apologie	Volkes
6	d2e184652Meyers-1905	Arrest [1]	Gefangenenwärters
7	d2e204137Meyers-1905	Ästhetik	Idee
8	d2e217369Meyers-1905	Attische Basis	ionischen Stils
9	d2e225942Meyers-1905	Augengneis	Gn
10	d2e238332Meyers-1905	Austern	folgenden Art
11	d2e260861Meyers-1905	Bahrrecht	Gerichts
12	d2e273176Meyers-1905	Bandel	Kaisers
13	d2e275775Meyers-1905	Banken	Mobiliarbanken
14	d2e288864Meyers-1905	Barrès	Provinzen
15	d2e289990Meyers-1905	Bart [1]	schwarzen Bartes
16	d2e297290Meyers-1905	Bassetthorn	Altklarinette
17	d2e323089Meyers-1905	Begeisterung	Gottheit
18	d2e339139Meyers-1905	Bentham	Gefängnisse
19	d2e362557Meyers-1905	Bestandsgründung	Buchen
20	d2e376444Meyers-1905	Bibliothekgebäude	Saalbibliotheken
21	d2e424283Meyers-1905	Bocken	Pferde
22	d2e427800Meyers-1905	Bodfeld	Papstes
23	d2e429341Meyers-1905	Bogen [3]	Bogens
24	d2e451715Meyers-1905	Bort [1]	Diamanten
25	d2e480082Meyers-1905	Bremen [4]	Bremer
26	d2e511609Meyers-1905	Bucher	Handwerks
27	d2e517773Meyers-1905	Büffel	gemeinen Büffels
28	d2e534571Meyers-1905	Bustamīt	Rhodonits
29	d2e541458Meyers-1905	Caderas	Oberengadins
30	d2e562736Meyers-1905	Carducci	Dichters
31	d2e597442Meyers-1905	Charakteristik	Maschine
32	d2e613195Meyers-1905	China [3]	Kaisers
33	d2e664871Meyers-1905	Comte [2]	Theologen
34	d2e721863Meyers-1905	Dampfschiff	Volldecker
35	d2e725963Meyers-1905	Danĭel	Verfassers
36	d2e727741Meyers-1905	Dannemōra	braunen Granats
37	d2e733606Meyers-1905	Darwinismus	Kletterpflanzen
38	d2e741826Meyers-1905	Deck	Schiffes
39	d2e777108Meyers-1905	Deutsche Sprache	Rheingebiets
40	d2e777108Meyers-1905	Deutsche Sprache	Mittelmains
41	d2e777108Meyers-1905	Deutsche Sprache	Flachlandes
42	d2e777108Meyers-1905	Deutsche Sprache	Breslauer
43	d2e777108Meyers-1905	Deutsche Sprache	Deutschen
44	d2e778575Meyers-1905	Deutsch-französischer Krieg von 1870/71	Kaisers
45	d2e793919Meyers-1905	Dichtung der Naturvölker	Wiederholung
46	d2e822301Meyers-1905	Dock	Absetzdocks
47	d2e840073Meyers-1905	Doubles	Begleitfiguren
48	d2e845354Meyers-1905	Drama [1]	Chors
49	d2e848465Meyers-1905	Drei	Zahl
50	d2e875521Meyers-1905	Durchsacken	Schiffes
51	d2e916152Meyers-1905	Eisenbahnbau	Oberbaues
52	d2e926987Meyers-1905	Eisspiele	Association
53	d2e930336Meyers-1905	Eläolithsyenit	Syenits
54	d2e935536Meyers-1905	Elektrische Influenz	Glasstabes
55	d2e962443Meyers-1905	Engadin	Romanischen
56	d2e968690Meyers-1905	Englisch Horn	Oboe
57	d2e981367Meyers-1905	Epiphyten	Standortes
58	d2e990877Meyers-1905	Erdkohle	Braunkohle
59	d2e1013322Meyers-1905	Essigsäure	Essigferments
60	d2e1029826Meyers-1905	Ewer	Ewers
61	d2e1045635Meyers-1905	Fahlerz	Arsenfahlerzes
62	d2e1047583Meyers-1905	Fährte	Tieres
63	d2e1047583Meyers-1905	Fährte	Hundes
64	d2e1094058Meyers-1905	Festungssystem	Festung
65	d2e1110620Meyers-1905	Finanzwesen	Staates
66	d2e1125495Meyers-1905	Flagge	Kaisers
67	d2e1129838Meyers-1905	Flaxman	Bildhauerkunst
68	d2e1135198Meyers-1905	Fliegender Paß	Pferdes
69	d2e1153738Meyers-1905	Formkohle	Braunkohle
70	d2e1178495Meyers-1905	Französische Sprache	Herzogtums
71	d2e1205323Meyers-1905	Fuchs [1]	Rotfuchses
72	d2e1210673Meyers-1905	Fund [1]	Fundes
73	d2e1259966Meyers-1905	Gefängnishygiene	Gefangenen
74	d2e1262726Meyers-1905	Gefühl	Einzelnen
75	d2e1265314Meyers-1905	Geheimnis	Leibes
76	d2e1297432Meyers-1905	Germanen	ostelbischen Deutschen
77	d2e1309613Meyers-1905	Gesicht [2]	Sehpurpurs
78	d2e1325171Meyers-1905	Gibbons	Selbstverwaltung
79	d2e1338679Meyers-1905	Glagolica	Slawen
80	d2e1362344Meyers-1905	Goldene Rose	Kardinalkollegiums
81	d2e1379053Meyers-1905	Gouachemalerei	Aquarellmalerei
82	d2e1406616Meyers-1905	Griechische Musik	Unterquinte
83	d2e1406616Meyers-1905	Griechische Musik	Oberquinte
84	d2e1407019Meyers-1905	Griechische Sprache	Homerischen
85	d2e1434786Meyers-1905	Guiart des Moulins	Moulins
86	d2e1434786Meyers-1905	Guiart des Moulins	Moulins
87	d2e1448814Meyers-1905	Gymnasium	humanistischen Gymnasiums
88	d2e1451862Meyers-1905	Haare	Deutschen
89	d2e1461729Meyers-1905	Hahnentritt [2]	Pferdes
90	d2e1465620Meyers-1905	Halberstadt [2]	Stadt
91	d2e1472307Meyers-1905	Halsgericht	Kriminalrichters
92	d2e1480647Meyers-1905	Handel	Kommissionshandels
93	d2e1486690Meyers-1905	Handschriftendeutung	Menschen
94	d2e1487203Meyers-1905	Handwerk	Handwerks
95	d2e1509600Meyers-1905	Hauptverhandlung	Richter
96	d2e1510657Meyers-1905	Hausflaggen	Reedereien
97	d2e1519551Meyers-1905	Hebel [2]	Umgegend
